"Step","benford - valid_arithmetic_perfect","benford - valid_arithmetic_perfect__MIN","benford - valid_arithmetic_perfect__MAX"
"844","78.58","78.58","78.58"
"845","78.82","78.82","78.82"
"846","77.63","77.63","77.63"
"847","77.73","77.73","77.73"
"848","77.99","77.99","77.99"
"849","78.12","78.12","78.12"
"850","78.15","78.15","78.15"
"851","77.77","77.77","77.77"
"852","78.27","78.27","78.27"
"853","78.81","78.81","78.81"
"854","78.02","78.02","78.02"
"855","79.12","79.12","79.12"
"856","77.61","77.61","77.61"
"857","77.77","77.77","77.77"
"858","78.59","78.59","78.59"
"859","77.79","77.79","77.79"
"860","78.97","78.97","78.97"
"861","77.89","77.89","77.89"
"862","77.74","77.74","77.74"
"863","77.92","77.92","77.92"
"864","78.18","78.18","78.18"
"865","78.89","78.89","78.89"
"866","79.16","79.16","79.16"
"867","78.84","78.84","78.84"
"868","78.39","78.39","78.39"
"869","79.45","79.45","79.45"
"870","78.46","78.46","78.46"
"871","78.2","78.2","78.2"
"872","78.87","78.87","78.87"
"873","79.08","79.08","79.08"
"874","79.63","79.63","79.63"
"875","78.28","78.28","78.28"
"876","78.48","78.48","78.48"
"877","78.74","78.74","78.74"
"878","79.17","79.17","79.17"
"879","78.51","78.51","78.51"
"880","79.42","79.42","79.42"
"881","78.46","78.46","78.46"
"882","78.6","78.6","78.6"
"883","78.92","78.92","78.92"
"884","79.03","79.03","79.03"
"885","78.45","78.45","78.45"
"886","79.24","79.24","79.24"
"887","78.8","78.8","78.8"
"888","79.52","79.52","79.52"
"889","79.63","79.63","79.63"
"890","79.51","79.51","79.51"
"891","79.64","79.64","79.64"
"892","78.37","78.37","78.37"
"893","78.66","78.66","78.66"
"894","77.79","77.79","77.79"
"895","78.69","78.69","78.69"
"896","78.4","78.4","78.4"
"897","79.59","79.59","79.59"
"898","78.62","78.62","78.62"
"899","79.21","79.21","79.21"
"900","79.51","79.51","79.51"
"901","79.76","79.76","79.76"
"902","78.72","78.72","78.72"
"903","78.86","78.86","78.86"
"904","78.49","78.49","78.49"
"905","78.8","78.8","78.8"
"906","78.93","78.93","78.93"
"907","79.54","79.54","79.54"
"908","79.4","79.4","79.4"
"909","79.13","79.13","79.13"
"910","79.13","79.13","79.13"
"911","79.14","79.14","79.14"
"912","79.74","79.74","79.74"
"913","78.78","78.78","78.78"
"914","79.07","79.07","79.07"
"915","79","79","79"
"916","79.44","79.44","79.44"
"917","79.67","79.67","79.67"
"918","78.34","78.34","78.34"
"919","79.58","79.58","79.58"
"920","79.25","79.25","79.25"
"921","79.6","79.6","79.6"
"922","78.75","78.75","78.75"
"923","78.93","78.93","78.93"
"924","78.84","78.84","78.84"
"925","79.87","79.87","79.87"
"926","79.21","79.21","79.21"
"927","79.16","79.16","79.16"
"928","79.07","79.07","79.07"
"929","79.5","79.5","79.5"
"930","80.11","80.11","80.11"
"931","79.18","79.18","79.18"
"932","78.56","78.56","78.56"
"933","79.68","79.68","79.68"
"934","79.83","79.83","79.83"
"935","79.7","79.7","79.7"
"936","80.19","80.19","80.19"
"937","79.22","79.22","79.22"
"938","79.7","79.7","79.7"
"939","79.34","79.34","79.34"
"940","79.9","79.9","79.9"
"941","79.78","79.78","79.78"
"942","79.98","79.98","79.98"
"943","79.75","79.75","79.75"
"944","80","80","80"
"945","80.37","80.37","80.37"
"946","79.71","79.71","79.71"
"947","79.64","79.64","79.64"
"948","79.49","79.49","79.49"
"949","79.57","79.57","79.57"
"950","80.51","80.51","80.51"
"951","79.34","79.34","79.34"
"952","79.07","79.07","79.07"
"953","79.82","79.82","79.82"
"954","79.67","79.67","79.67"
"955","80.06","80.06","80.06"
"956","80.35","80.35","80.35"
"957","79.41","79.41","79.41"
"958","79.75","79.75","79.75"
"959","79.94","79.94","79.94"
"960","79.46","79.46","79.46"
"961","80.71","80.71","80.71"
"962","79.78","79.78","79.78"
"963","80.39","80.39","80.39"
"964","79.38","79.38","79.38"
"965","80.7","80.7","80.7"
"966","79.95","79.95","79.95"
"967","80.26","80.26","80.26"
"968","80.32","80.32","80.32"
"969","80.62","80.62","80.62"
"970","80.62","80.62","80.62"
"971","79.6","79.6","79.6"
"972","79.95","79.95","79.95"
"973","80.24","80.24","80.24"
"974","80.15","80.15","80.15"
"975","80.6","80.6","80.6"
"976","79.99","79.99","79.99"
"977","80.21","80.21","80.21"
"978","79.66","79.66","79.66"
"979","80.32","80.32","80.32"
"980","79.74","79.74","79.74"
"981","79.71","79.71","79.71"
"982","80.36","80.36","80.36"
"983","80.14","80.14","80.14"
"984","80.42","80.42","80.42"
"985","80.83","80.83","80.83"
"986","79.38","79.38","79.38"
"987","80.87","80.87","80.87"
"988","79.77","79.77","79.77"
"989","80.19","80.19","80.19"
"990","80.31","80.31","80.31"
"991","80.31","80.31","80.31"
"992","81.08","81.08","81.08"
"993","80.44","80.44","80.44"
"994","80.74","80.74","80.74"
"995","81.17","81.17","81.17"
"996","80.16","80.16","80.16"
"997","80.12","80.12","80.12"
"998","81.05","81.05","81.05"
"999","80.34","80.34","80.34"
"1000","80.29","80.29","80.29"
"1001","80.5","80.5","80.5"
"1002","80.13","80.13","80.13"
"1003","79.76","79.76","79.76"
"1004","79.84","79.84","79.84"
"1005","80.48","80.48","80.48"
"1006","81.24","81.24","81.24"
"1007","79.64","79.64","79.64"
"1008","79.82","79.82","79.82"
"1009","81.08","81.08","81.08"
"1010","80.9","80.9","80.9"
"1011","80.9","80.9","80.9"
"1012","80.13","80.13","80.13"
"1013","80.73","80.73","80.73"
"1014","80.73","80.73","80.73"
"1015","80.66","80.66","80.66"
"1016","80.41","80.41","80.41"
"1017","80.24","80.24","80.24"
"1018","80.87","80.87","80.87"
"1019","80.65","80.65","80.65"
"1020","81","81","81"
"1021","80.18","80.18","80.18"
"1022","81.3","81.3","81.3"
"1023","81.12","81.12","81.12"
"1024","81.35","81.35","81.35"
"1025","80.33","80.33","80.33"
"1026","80.31","80.31","80.31"
"1027","80.57","80.57","80.57"
"1028","80.96","80.96","80.96"
"1029","80.72","80.72","80.72"
"1030","80.96","80.96","80.96"
"1031","80.99","80.99","80.99"
"1032","80.19","80.19","80.19"
"1033","80.68","80.68","80.68"
"1034","80.53","80.53","80.53"
"1035","80.91","80.91","80.91"
"1036","81.28","81.28","81.28"
"1037","80.87","80.87","80.87"
"1038","81.01","81.01","81.01"
"1039","81.21","81.21","81.21"
"1040","80.86","80.86","80.86"
"1041","80.74","80.74","80.74"
"1042","81.22","81.22","81.22"
"1043","81.33","81.33","81.33"
"1044","80.67","80.67","80.67"
"1045","80.87","80.87","80.87"
"1046","81.51","81.51","81.51"
"1047","81.41","81.41","81.41"
"1048","81.53","81.53","81.53"
"1049","81.4","81.4","81.4"
"1050","80.7","80.7","80.7"
"1051","80.89","80.89","80.89"
"1052","81.18","81.18","81.18"
"1053","80.37","80.37","80.37"
"1054","81.01","81.01","81.01"
"1055","81.25","81.25","81.25"
"1056","81.5","81.5","81.5"
"1057","81.01","81.01","81.01"
"1058","80.84","80.84","80.84"
"1059","81.19","81.19","81.19"
"1060","81.01","81.01","81.01"
"1061","81.14","81.14","81.14"
"1062","81.18","81.18","81.18"
"1063","81.08","81.08","81.08"
"1064","81.11","81.11","81.11"
"1065","80.93","80.93","80.93"
"1066","80.75","80.75","80.75"
"1067","81.62","81.62","81.62"
"1068","81.32","81.32","81.32"
"1069","81.25","81.25","81.25"
"1070","81.41","81.41","81.41"
"1071","80.93","80.93","80.93"
"1072","81.23","81.23","81.23"
"1073","81.32","81.32","81.32"
"1074","81.54","81.54","81.54"
"1075","81.73","81.73","81.73"
"1076","81.91","81.91","81.91"
"1077","80.98","80.98","80.98"
"1078","80.85","80.85","80.85"
"1079","80.85","80.85","80.85"
"1080","81.69","81.69","81.69"
"1081","81.17","81.17","81.17"
"1082","81.65","81.65","81.65"
"1083","81.1","81.1","81.1"
"1084","81.38","81.38","81.38"
"1085","80.68","80.68","80.68"
"1086","80.99","80.99","80.99"
"1087","81.48","81.48","81.48"
"1088","81.56","81.56","81.56"
"1089","81.21","81.21","81.21"
"1090","81.99","81.99","81.99"
"1091","81.51","81.51","81.51"
"1092","81.24","81.24","81.24"
"1093","82.17","82.17","82.17"
"1094","81.09","81.09","81.09"
"1095","81.38","81.38","81.38"
"1096","81.63","81.63","81.63"
"1097","81.55","81.55","81.55"
"1098","80.9","80.9","80.9"
"1099","81.62","81.62","81.62"
"1100","80.44","80.44","80.44"
"1101","81.65","81.65","81.65"
"1102","81.76","81.76","81.76"
"1103","81.29","81.29","81.29"
"1104","81.2","81.2","81.2"
"1105","81.62","81.62","81.62"
"1106","81.22","81.22","81.22"
"1107","81.31","81.31","81.31"
"1108","81.23","81.23","81.23"
"1109","81.45","81.45","81.45"
"1110","81.35","81.35","81.35"
"1111","81.5","81.5","81.5"
"1112","81.81","81.81","81.81"
"1113","81.72","81.72","81.72"
"1114","81.19","81.19","81.19"
"1115","81.69","81.69","81.69"
"1116","82.49","82.49","82.49"
"1117","81.35","81.35","81.35"
"1118","81.03","81.03","81.03"
"1119","81.98","81.98","81.98"
"1120","81.26","81.26","81.26"
"1121","81.21","81.21","81.21"
"1122","81.76","81.76","81.76"
"1123","81.56","81.56","81.56"
"1124","81.83","81.83","81.83"
"1125","81.95","81.95","81.95"
"1126","81.31","81.31","81.31"
"1127","82.25","82.25","82.25"
"1128","80.93","80.93","80.93"
"1129","81.34","81.34","81.34"
"1130","81.16","81.16","81.16"
"1131","81.39","81.39","81.39"
"1132","82.04","82.04","82.04"
"1133","81.75","81.75","81.75"
"1134","81.94","81.94","81.94"
"1135","81.33","81.33","81.33"
"1136","81.84","81.84","81.84"
"1137","81.37","81.37","81.37"
"1138","81.79","81.79","81.79"
"1139","81.48","81.48","81.48"
"1140","82.04","82.04","82.04"
"1141","82.08","82.08","82.08"
"1142","81.83","81.83","81.83"
"1143","80.99","80.99","80.99"
"1144","82.57","82.57","82.57"
"1145","82.82","82.82","82.82"
"1146","81.55","81.55","81.55"
"1147","82.05","82.05","82.05"
"1148","81.81","81.81","81.81"
"1149","81.79","81.79","81.79"
"1150","81.83","81.83","81.83"
"1151","82.04","82.04","82.04"
"1152","82.31","82.31","82.31"
"1153","82.15","82.15","82.15"
"1154","81.64","81.64","81.64"
"1155","81.62","81.62","81.62"
"1156","82.05","82.05","82.05"
"1157","82.39","82.39","82.39"
"1158","82.1","82.1","82.1"
"1159","82.11","82.11","82.11"
"1160","81.84","81.84","81.84"
"1161","81.92","81.92","81.92"
"1162","82.11","82.11","82.11"
"1163","81.94","81.94","81.94"
"1164","81.97","81.97","81.97"
"1165","81.88","81.88","81.88"
"1166","81.39","81.39","81.39"
"1167","82.16","82.16","82.16"
"1168","81.96","81.96","81.96"
"1169","81.94","81.94","81.94"
"1170","81.27","81.27","81.27"
"1171","81.93","81.93","81.93"
"1172","81.44","81.44","81.44"
"1173","82","82","82"
"1174","82.15","82.15","82.15"
"1175","82.38","82.38","82.38"
"1176","81.84","81.84","81.84"
"1177","81.12","81.12","81.12"
"1178","82.45","82.45","82.45"
"1179","82.23","82.23","82.23"
"1180","82.99","82.99","82.99"
"1181","81.2","81.2","81.2"
"1182","81.92","81.92","81.92"
"1183","82.06","82.06","82.06"
"1184","82.24","82.24","82.24"
"1185","81.84","81.84","81.84"
"1186","81.85","81.85","81.85"
"1187","82.66","82.66","82.66"
"1188","82.19","82.19","82.19"
"1189","81.71","81.71","81.71"
"1190","82.28","82.28","82.28"
"1191","82.22","82.22","82.22"
"1192","81.78","81.78","81.78"
"1193","82.74","82.74","82.74"
"1194","81.93","81.93","81.93"
"1195","82.84","82.84","82.84"
"1196","81.88","81.88","81.88"
"1197","82.16","82.16","82.16"
"1198","82.11","82.11","82.11"
"1199","82.59","82.59","82.59"
"1200","81.52","81.52","81.52"
"1201","82.57","82.57","82.57"
"1202","82.14","82.14","82.14"
"1203","82.03","82.03","82.03"
"1204","82.27","82.27","82.27"
"1205","82.07","82.07","82.07"
"1206","82.29","82.29","82.29"
"1207","82.82","82.82","82.82"
"1208","82.65","82.65","82.65"
"1209","82.08","82.08","82.08"
"1210","81.7","81.7","81.7"
"1211","81.94","81.94","81.94"
"1212","82.1","82.1","82.1"
"1213","82.1","82.1","82.1"
"1214","82.41","82.41","82.41"
"1215","82.33","82.33","82.33"
"1216","81.85","81.85","81.85"
"1217","82.09","82.09","82.09"
"1218","82.34","82.34","82.34"
"1219","82.32","82.32","82.32"
"1220","82.07","82.07","82.07"
"1221","82.47","82.47","82.47"
"1222","82.2","82.2","82.2"
"1223","82.03","82.03","82.03"
"1224","82.61","82.61","82.61"
"1225","81.95","81.95","81.95"
"1226","82.34","82.34","82.34"
"1227","82.82","82.82","82.82"
"1228","82.54","82.54","82.54"
"1229","82.57","82.57","82.57"
"1230","82.9","82.9","82.9"
"1231","82.54","82.54","82.54"
"1232","82.17","82.17","82.17"
"1233","82.59","82.59","82.59"
"1234","82.12","82.12","82.12"
"1235","82.35","82.35","82.35"
"1236","82.64","82.64","82.64"
"1237","81.96","81.96","81.96"
"1238","82.29","82.29","82.29"
"1239","82.14","82.14","82.14"
"1240","83.27","83.27","83.27"
"1241","82.76","82.76","82.76"
"1242","82.73","82.73","82.73"
"1243","83.35","83.35","83.35"
"1244","82.3","82.3","82.3"
"1245","82.19","82.19","82.19"
"1246","82.87","82.87","82.87"
"1247","82.19","82.19","82.19"
"1248","82.7","82.7","82.7"
"1249","82.72","82.72","82.72"
"1250","82.27","82.27","82.27"
"1251","83.08","83.08","83.08"
"1252","82.41","82.41","82.41"
"1253","82.61","82.61","82.61"
"1254","83.13","83.13","83.13"
"1255","82.62","82.62","82.62"
"1256","82.77","82.77","82.77"
"1257","82.74","82.74","82.74"
"1258","82.48","82.48","82.48"
"1259","82.93","82.93","82.93"
"1260","82.92","82.92","82.92"
"1261","82.82","82.82","82.82"
"1262","82.69","82.69","82.69"
"1263","82.43","82.43","82.43"
"1264","82.45","82.45","82.45"
"1265","82.52","82.52","82.52"
"1266","82.43","82.43","82.43"
"1267","83.04","83.04","83.04"
"1268","82.2","82.2","82.2"
"1269","82.89","82.89","82.89"
"1270","82.67","82.67","82.67"
"1271","82.87","82.87","82.87"
"1272","82.4","82.4","82.4"
"1273","82.47","82.47","82.47"
"1274","82.76","82.76","82.76"
"1275","82.72","82.72","82.72"
"1276","82.92","82.92","82.92"
"1277","82.87","82.87","82.87"
"1278","82.98","82.98","82.98"
"1279","82.02","82.02","82.02"
"1280","82.4","82.4","82.4"
"1281","83.33","83.33","83.33"
"1282","83.14","83.14","83.14"
"1283","83.2","83.2","83.2"
"1284","82.79","82.79","82.79"
"1285","83.38","83.38","83.38"
"1286","82.2","82.2","82.2"
"1287","82.99","82.99","82.99"
"1288","83.55","83.55","83.55"
"1289","82.83","82.83","82.83"
"1290","82.11","82.11","82.11"
"1291","82.51","82.51","82.51"
"1292","82.27","82.27","82.27"
"1293","82.95","82.95","82.95"
"1294","82.5","82.5","82.5"
"1295","81.83","81.83","81.83"
"1296","83.19","83.19","83.19"
"1297","82.24","82.24","82.24"
"1298","82.41","82.41","82.41"
"1299","82.95","82.95","82.95"
"1300","82.36","82.36","82.36"
"1301","83.32","83.32","83.32"
"1302","82.64","82.64","82.64"
"1303","83.18","83.18","83.18"
"1304","82.79","82.79","82.79"
"1305","82.13","82.13","82.13"
"1306","82.63","82.63","82.63"
"1307","82.46","82.46","82.46"
"1308","83.36","83.36","83.36"
"1309","82.53","82.53","82.53"
"1310","83.1","83.1","83.1"
"1311","82.71","82.71","82.71"
"1312","82.12","82.12","82.12"
"1313","83.39","83.39","83.39"
"1314","83.52","83.52","83.52"
"1315","82.28","82.28","82.28"
"1316","83.04","83.04","83.04"
"1317","83.7","83.7","83.7"
"1318","83.25","83.25","83.25"
"1319","82.3","82.3","82.3"
"1320","82.27","82.27","82.27"
"1321","82.39","82.39","82.39"
"1322","83.29","83.29","83.29"
"1323","82.81","82.81","82.81"
"1324","82.71","82.71","82.71"
"1325","82.23","82.23","82.23"
"1326","82.76","82.76","82.76"
"1327","82.6","82.6","82.6"
"1328","82.8","82.8","82.8"
"1329","83.8","83.8","83.8"
"1330","82.9","82.9","82.9"
"1331","83.63","83.63","83.63"
"1332","82.86","82.86","82.86"
"1333","82.89","82.89","82.89"
"1334","83","83","83"
"1335","82.96","82.96","82.96"
"1336","84.12","84.12","84.12"
"1337","82.67","82.67","82.67"
"1338","82.95","82.95","82.95"
"1339","83.28","83.28","83.28"
"1340","83.48","83.48","83.48"
"1341","83.14","83.14","83.14"
"1342","83.45","83.45","83.45"
"1343","83.29","83.29","83.29"
"1344","83.26","83.26","83.26"
"1345","82.21","82.21","82.21"
"1346","83.04","83.04","83.04"
"1347","83","83","83"
"1348","83.11","83.11","83.11"
"1349","83.04","83.04","83.04"
"1350","83.56","83.56","83.56"
"1351","83.25","83.25","83.25"
"1352","82.52","82.52","82.52"
"1353","82.22","82.22","82.22"
"1354","82.88","82.88","82.88"
"1355","83.64","83.64","83.64"
"1356","82.8","82.8","82.8"
"1357","82.6","82.6","82.6"
"1358","82.57","82.57","82.57"
"1359","82.91","82.91","82.91"
"1360","82.38","82.38","82.38"
"1361","82.42","82.42","82.42"
"1362","83.16","83.16","83.16"
"1363","83.58","83.58","83.58"
"1364","82.08","82.08","82.08"
"1365","83.03","83.03","83.03"
"1366","83.24","83.24","83.24"
"1367","83.05","83.05","83.05"
"1368","83.23","83.23","83.23"
"1369","83.17","83.17","83.17"
"1370","82.62","82.62","82.62"
"1371","83.31","83.31","83.31"
"1372","83.28","83.28","83.28"
"1373","83.42","83.42","83.42"
"1374","82.75","82.75","82.75"
"1375","82.68","82.68","82.68"
"1376","82.98","82.98","82.98"
"1377","83.5","83.5","83.5"
"1378","82.95","82.95","82.95"
"1379","83.07","83.07","83.07"
"1380","82.36","82.36","82.36"
"1381","83.08","83.08","83.08"
"1382","83.07","83.07","83.07"
