"Step","benford - valid_arithmetic_perfect","benford - valid_arithmetic_perfect__MIN","benford - valid_arithmetic_perfect__MAX"
"196","58.87","58.87","58.87"
"197","60.73","60.73","60.73"
"198","59.79","59.79","59.79"
"199","60.14","60.14","60.14"
"200","60.43","60.43","60.43"
"201","60.67","60.67","60.67"
"202","61.03","61.03","61.03"
"203","59.29","59.29","59.29"
"204","60.53","60.53","60.53"
"205","61.13","61.13","61.13"
"206","61.37","61.37","61.37"
"207","61.26","61.26","61.26"
"208","62.35","62.35","62.35"
"209","62.1","62.1","62.1"
"210","63.07","63.07","63.07"
"211","62.79","62.79","62.79"
"212","63.01","63.01","63.01"
"213","62.37","62.37","62.37"
"214","62.42","62.42","62.42"
"215","63.77","63.77","63.77"
"216","62.51","62.51","62.51"
"217","63.2","63.2","63.2"
"218","63.72","63.72","63.72"
"219","63.29","63.29","63.29"
"220","63.56","63.56","63.56"
"221","63.5","63.5","63.5"
"222","63.85","63.85","63.85"
"223","63.67","63.67","63.67"
"224","64.01","64.01","64.01"
"225","63.29","63.29","63.29"
"226","63.86","63.86","63.86"
"227","63.24","63.24","63.24"
"228","63.76","63.76","63.76"
"229","63.44","63.44","63.44"
"230","64.51","64.51","64.51"
"231","64.24","64.24","64.24"
"232","64.42","64.42","64.42"
"233","64.52","64.52","64.52"
"234","63.82","63.82","63.82"
"235","63.83","63.83","63.83"
"236","64.52","64.52","64.52"
"237","63.6","63.6","63.6"
"238","64.36","64.36","64.36"
"239","63.77","63.77","63.77"
"240","64.69","64.69","64.69"
"241","65.17","65.17","65.17"
"242","64.38","64.38","64.38"
"243","64.19","64.19","64.19"
"244","65.17","65.17","65.17"
"245","63.99","63.99","63.99"
"246","65.23","65.23","65.23"
"247","64.8","64.8","64.8"
"248","64.97","64.97","64.97"
"249","64.62","64.62","64.62"
"250","64.18","64.18","64.18"
"251","65.17","65.17","65.17"
"252","65.25","65.25","65.25"
"253","64.72","64.72","64.72"
"254","63.54","63.54","63.54"
"255","65.02","65.02","65.02"
"256","65.09","65.09","65.09"
"257","65.05","65.05","65.05"
"258","65.1","65.1","65.1"
"259","65.28","65.28","65.28"
"260","64.78","64.78","64.78"
"261","65.31","65.31","65.31"
"262","64.01","64.01","64.01"
"263","65.3","65.3","65.3"
"264","65.72","65.72","65.72"
"265","64.96","64.96","64.96"
"266","65.61","65.61","65.61"
"267","64.86","64.86","64.86"
"268","65.01","65.01","65.01"
"269","64.92","64.92","64.92"
"270","64.98","64.98","64.98"
"271","65.47","65.47","65.47"
"272","65.24","65.24","65.24"
"273","65.95","65.95","65.95"
"274","65.95","65.95","65.95"
"275","65.34","65.34","65.34"
"276","65.5","65.5","65.5"
"277","65.93","65.93","65.93"
"278","66.06","66.06","66.06"
"279","66.36","66.36","66.36"
"280","65.37","65.37","65.37"
"281","66.73","66.73","66.73"
"282","65.57","65.57","65.57"
"283","66.04","66.04","66.04"
"284","67.02","67.02","67.02"
"285","66.93","66.93","66.93"
"286","67.47","67.47","67.47"
"287","67.28","67.28","67.28"
"288","66.94","66.94","66.94"
"289","66.88","66.88","66.88"
"290","67.33","67.33","67.33"
"291","67.12","67.12","67.12"
"292","66.43","66.43","66.43"
"293","67.53","67.53","67.53"
"294","67.72","67.72","67.72"
"295","67.5","67.5","67.5"
"296","68.01","68.01","68.01"
"297","67.64","67.64","67.64"
"298","68.17","68.17","68.17"
"299","66.92","66.92","66.92"
"300","67.18","67.18","67.18"
"301","68.18","68.18","68.18"
"302","68.4","68.4","68.4"
"303","67.6","67.6","67.6"
"304","68.8","68.8","68.8"
"305","68.21","68.21","68.21"
"306","69.2","69.2","69.2"
"307","67.4","67.4","67.4"
"308","67.55","67.55","67.55"
"309","68.79","68.79","68.79"
"310","68.15","68.15","68.15"
"311","68.88","68.88","68.88"
"312","69.27","69.27","69.27"
"313","68.54","68.54","68.54"
"314","68.23","68.23","68.23"
"315","68.45","68.45","68.45"
"316","69.38","69.38","69.38"
"317","68.83","68.83","68.83"
"318","70.14","70.14","70.14"
"319","69.22","69.22","69.22"
"320","69.73","69.73","69.73"
"321","68.67","68.67","68.67"
"322","69.13","69.13","69.13"
"323","69.14","69.14","69.14"
"324","69.38","69.38","69.38"
"325","68.92","68.92","68.92"
"326","69.32","69.32","69.32"
"327","68.42","68.42","68.42"
"328","70.3","70.3","70.3"
"329","68.77","68.77","68.77"
"330","68.97","68.97","68.97"
"331","69.85","69.85","69.85"
"332","70.79","70.79","70.79"
"333","69.77","69.77","69.77"
"334","69.42","69.42","69.42"
"335","70.51","70.51","70.51"
"336","69.5","69.5","69.5"
"337","69.56","69.56","69.56"
"338","69.11","69.11","69.11"
"339","69.77","69.77","69.77"
"340","69.6","69.6","69.6"
"341","70.57","70.57","70.57"
"342","70.34","70.34","70.34"
"343","69.44","69.44","69.44"
"344","69.39","69.39","69.39"
"345","69.46","69.46","69.46"
"346","70.01","70.01","70.01"
"347","69.8","69.8","69.8"
"348","69.22","69.22","69.22"
"349","69.71","69.71","69.71"
"350","69.82","69.82","69.82"
"351","70.17","70.17","70.17"
"352","70.08","70.08","70.08"
"353","70.4","70.4","70.4"
"354","70.43","70.43","70.43"
"355","69.93","69.93","69.93"
"356","69.71","69.71","69.71"
"357","70.25","70.25","70.25"
"358","70.44","70.44","70.44"
"359","69.9","69.9","69.9"
"360","69.76","69.76","69.76"
"361","70.15","70.15","70.15"
"362","69.78","69.78","69.78"
"363","69.19","69.19","69.19"
"364","70.63","70.63","70.63"
"365","70.08","70.08","70.08"
"366","70.65","70.65","70.65"
"367","70.14","70.14","70.14"
"368","69.75","69.75","69.75"
"369","70.21","70.21","70.21"
"370","69.95","69.95","69.95"
"371","69.84","69.84","69.84"
"372","70.54","70.54","70.54"
"373","70.51","70.51","70.51"
"374","69.67","69.67","69.67"
"375","70.09","70.09","70.09"
"376","70.13","70.13","70.13"
"377","70.11","70.11","70.11"
"378","69.38","69.38","69.38"
"379","70.91","70.91","70.91"
"380","70.4","70.4","70.4"
"381","69.8","69.8","69.8"
"382","69.55","69.55","69.55"
