"Step","benford2 - valid_arithmetic_perfect","benford2 - valid_arithmetic_perfect__MIN","benford2 - valid_arithmetic_perfect__MAX"
"2190","88.15","88.15","88.15"
"2191","88.39","88.39","88.39"
"2192","87.85","87.85","87.85"
"2193","87.71","87.71","87.71"
"2194","88.04","88.04","88.04"
"2195","88.35","88.35","88.35"
"2196","87.74","87.74","87.74"
"2197","88.2","88.2","88.2"
"2198","88.12","88.12","88.12"
"2199","88.06","88.06","88.06"
"2200","88.45","88.45","88.45"
"2201","88.18","88.18","88.18"
"2202","87.86","87.86","87.86"
"2203","88.75","88.75","88.75"
"2204","87.8","87.8","87.8"
"2205","88.17","88.17","88.17"
"2206","88.08","88.08","88.08"
"2207","87.75","87.75","87.75"
"2208","88","88","88"
"2209","88.36","88.36","88.36"
"2210","88.34","88.34","88.34"
"2211","88.27","88.27","88.27"
"2212","88.12","88.12","88.12"
"2213","87.43","87.43","87.43"
"2214","88.23","88.23","88.23"
"2215","88.46","88.46","88.46"
"2216","88.36","88.36","88.36"
"2217","87.81","87.81","87.81"
"2218","88.6","88.6","88.6"
"2219","87.7","87.7","87.7"
"2220","87.88","87.88","87.88"
"2221","88.23","88.23","88.23"
"2222","88.41","88.41","88.41"
"2223","87.5","87.5","87.5"
"2224","88.11","88.11","88.11"
"2225","87.52","87.52","87.52"
"2226","87.94","87.94","87.94"
"2227","88.77","88.77","88.77"
"2228","87.99","87.99","87.99"
"2229","88.2","88.2","88.2"
"2230","87.91","87.91","87.91"
"2231","87.98","87.98","87.98"
"2232","87.94","87.94","87.94"
"2233","88.64","88.64","88.64"
"2234","88.62","88.62","88.62"
"2235","88.29","88.29","88.29"
"2236","88.33","88.33","88.33"
"2237","88.11","88.11","88.11"
"2238","88.69","88.69","88.69"
"2239","88.03","88.03","88.03"
"2240","87.91","87.91","87.91"
"2241","88.16","88.16","88.16"
"2242","88.2","88.2","88.2"
"2243","88.3","88.3","88.3"
"2244","88.46","88.46","88.46"
"2245","88.11","88.11","88.11"
"2246","88.2","88.2","88.2"
"2247","88.79","88.79","88.79"
"2248","87.59","87.59","87.59"
"2249","88.2","88.2","88.2"
"2250","88.31","88.31","88.31"
"2251","88.17","88.17","88.17"
"2252","87.88","87.88","87.88"
"2253","87.64","87.64","87.64"
"2254","88.44","88.44","88.44"
"2255","88.3","88.3","88.3"
"2256","88.29","88.29","88.29"
"2257","88.25","88.25","88.25"
"2258","87.97","87.97","87.97"
"2259","88.37","88.37","88.37"
"2260","88.41","88.41","88.41"
"2261","88.19","88.19","88.19"
"2262","89.11","89.11","89.11"
"2263","88.16","88.16","88.16"
"2264","88.26","88.26","88.26"
"2265","88.04","88.04","88.04"
"2266","88.46","88.46","88.46"
"2267","88.29","88.29","88.29"
"2268","88.02","88.02","88.02"
"2269","87.85","87.85","87.85"
"2270","87.97","87.97","87.97"
"2271","88.97","88.97","88.97"
"2272","87.9","87.9","87.9"
"2273","88.84","88.84","88.84"
"2274","87.93","87.93","87.93"
"2275","88.25","88.25","88.25"
"2276","88.09","88.09","88.09"
"2277","88.72","88.72","88.72"
"2278","87.98","87.98","87.98"
"2279","88.66","88.66","88.66"
"2280","88.48","88.48","88.48"
"2281","88.64","88.64","88.64"
"2282","88.54","88.54","88.54"
"2283","88.44","88.44","88.44"
"2284","88.46","88.46","88.46"
"2285","88.43","88.43","88.43"
"2286","88.05","88.05","88.05"
"2287","87.96","87.96","87.96"
"2288","87.68","87.68","87.68"
"2289","88.17","88.17","88.17"
"2290","88.47","88.47","88.47"
"2291","88.39","88.39","88.39"
"2292","88.21","88.21","88.21"
"2293","88.91","88.91","88.91"
"2294","88.09","88.09","88.09"
"2295","88.3","88.3","88.3"
"2296","88.11","88.11","88.11"
"2297","88.68","88.68","88.68"
"2298","88.37","88.37","88.37"
"2299","88.21","88.21","88.21"
"2300","87.66","87.66","87.66"
"2301","87.58","87.58","87.58"
"2302","88.6","88.6","88.6"
"2303","88.29","88.29","88.29"
"2304","88.25","88.25","88.25"
"2305","88.63","88.63","88.63"
"2306","88.56","88.56","88.56"
"2307","88.21","88.21","88.21"
"2308","88.81","88.81","88.81"
"2309","88.73","88.73","88.73"
"2310","88.78","88.78","88.78"
"2311","88.69","88.69","88.69"
"2312","88.62","88.62","88.62"
"2313","89.15","89.15","89.15"
"2314","87.96","87.96","87.96"
"2315","88.24","88.24","88.24"
"2316","88.25","88.25","88.25"
"2317","88.62","88.62","88.62"
"2318","88.75","88.75","88.75"
"2319","88.19","88.19","88.19"
"2320","88.03","88.03","88.03"
"2321","88.18","88.18","88.18"
"2322","88.02","88.02","88.02"
"2323","88.29","88.29","88.29"
"2324","87.82","87.82","87.82"
"2325","88.76","88.76","88.76"
"2326","88.12","88.12","88.12"
"2327","88.1","88.1","88.1"
"2328","88.21","88.21","88.21"
"2329","88.94","88.94","88.94"
"2330","87.85","87.85","87.85"
"2331","88.27","88.27","88.27"
"2332","88.38","88.38","88.38"
"2333","88.2","88.2","88.2"
"2334","88.58","88.58","88.58"
"2335","88.67","88.67","88.67"
"2336","88.41","88.41","88.41"
"2337","89.04","89.04","89.04"
"2338","88.07","88.07","88.07"
"2339","88.86","88.86","88.86"
"2340","88.29","88.29","88.29"
"2341","88.58","88.58","88.58"
"2342","88.26","88.26","88.26"
"2343","88.29","88.29","88.29"
"2344","87.45","87.45","87.45"
"2345","88.66","88.66","88.66"
"2346","88.7","88.7","88.7"
"2347","88.86","88.86","88.86"
"2348","87.88","87.88","87.88"
"2349","88.45","88.45","88.45"
"2350","88.19","88.19","88.19"
"2351","88.64","88.64","88.64"
"2352","88.34","88.34","88.34"
"2353","87.84","87.84","87.84"
"2354","88.5","88.5","88.5"
"2355","88.38","88.38","88.38"
"2356","88.13","88.13","88.13"
"2357","87.75","87.75","87.75"
"2358","88.63","88.63","88.63"
"2359","88.18","88.18","88.18"
"2360","88.24","88.24","88.24"
"2361","88.35","88.35","88.35"
"2362","87.92","87.92","87.92"
"2363","88.59","88.59","88.59"
"2364","89.39","89.39","89.39"
"2365","88.5","88.5","88.5"
"2366","88.29","88.29","88.29"
"2367","88.81","88.81","88.81"
"2368","87.49","87.49","87.49"
"2369","88.57","88.57","88.57"
"2370","88.45","88.45","88.45"
"2371","88.21","88.21","88.21"
"2372","88.56","88.56","88.56"
"2373","88.6","88.6","88.6"
"2374","88.3","88.3","88.3"
"2375","88.45","88.45","88.45"
"2376","88.6","88.6","88.6"
"2377","88.11","88.11","88.11"
"2378","88.46","88.46","88.46"
"2379","88.35","88.35","88.35"
"2380","88.65","88.65","88.65"
"2381","88.28","88.28","88.28"
"2382","88.76","88.76","88.76"
"2383","88.56","88.56","88.56"
"2384","87.71","87.71","87.71"
"2385","88.38","88.38","88.38"
"2386","88.19","88.19","88.19"
"2387","88.22","88.22","88.22"
"2388","88.17","88.17","88.17"
"2389","88.02","88.02","88.02"
"2390","87.88","87.88","87.88"
"2391","88.71","88.71","88.71"
"2392","88.53","88.53","88.53"
"2393","88.7","88.7","88.7"
"2394","88.85","88.85","88.85"
"2395","87.97","87.97","87.97"
"2396","88.53","88.53","88.53"
"2397","88.06","88.06","88.06"
"2398","88.02","88.02","88.02"
"2399","88.67","88.67","88.67"
"2400","88.57","88.57","88.57"
"2401","88.42","88.42","88.42"
"2402","88.57","88.57","88.57"
"2403","88.59","88.59","88.59"
"2404","88.59","88.59","88.59"
"2405","89.08","89.08","89.08"
"2406","88.22","88.22","88.22"
"2407","88.47","88.47","88.47"
"2408","88.41","88.41","88.41"
"2409","88.33","88.33","88.33"
"2410","88.7","88.7","88.7"
"2411","88.37","88.37","88.37"
"2412","88.35","88.35","88.35"
"2413","88.39","88.39","88.39"
"2414","88.44","88.44","88.44"
"2415","88.4","88.4","88.4"
"2416","88.38","88.38","88.38"
"2417","88.48","88.48","88.48"
"2418","89.06","89.06","89.06"
"2419","88.56","88.56","88.56"
"2420","88.35","88.35","88.35"
"2421","88.82","88.82","88.82"
"2422","87.99","87.99","87.99"
"2423","88.6","88.6","88.6"
"2424","88.42","88.42","88.42"
"2425","88.27","88.27","88.27"
"2426","88.18","88.18","88.18"
"2427","88.01","88.01","88.01"
"2428","88.71","88.71","88.71"
"2429","88.36","88.36","88.36"
"2430","88.04","88.04","88.04"
"2431","88.52","88.52","88.52"
"2432","88.51","88.51","88.51"
"2433","88.61","88.61","88.61"
"2434","88.63","88.63","88.63"
"2435","88.14","88.14","88.14"
"2436","89.32","89.32","89.32"
"2437","88.77","88.77","88.77"
"2438","88.91","88.91","88.91"
"2439","88.18","88.18","88.18"
"2440","88.46","88.46","88.46"
"2441","88.84","88.84","88.84"
"2442","88.71","88.71","88.71"
"2443","88.91","88.91","88.91"
"2444","88.73","88.73","88.73"
"2445","88.18","88.18","88.18"
"2446","88.29","88.29","88.29"
"2447","87.92","87.92","87.92"
"2448","88.49","88.49","88.49"
"2449","88.49","88.49","88.49"
"2450","88.47","88.47","88.47"
"2451","88.29","88.29","88.29"
"2452","88.29","88.29","88.29"
"2453","88.47","88.47","88.47"
"2454","88.07","88.07","88.07"
"2455","88.32","88.32","88.32"
"2456","88.09","88.09","88.09"
"2457","88.29","88.29","88.29"
"2458","88.62","88.62","88.62"
"2459","87.39","87.39","87.39"
"2460","88.65","88.65","88.65"
"2461","88.4","88.4","88.4"
"2462","88.6","88.6","88.6"
"2463","88.75","88.75","88.75"
"2464","88.28","88.28","88.28"
"2465","88.26","88.26","88.26"
"2466","88.6","88.6","88.6"
"2467","89.13","89.13","89.13"
"2468","87.83","87.83","87.83"
"2469","88.36","88.36","88.36"
"2470","88.91","88.91","88.91"
"2471","88.81","88.81","88.81"
"2472","87.92","87.92","87.92"
"2473","88.81","88.81","88.81"
"2474","88.01","88.01","88.01"
"2475","89.15","89.15","89.15"
"2476","88.96","88.96","88.96"
"2477","88.2","88.2","88.2"
"2478","88.51","88.51","88.51"
"2479","88.98","88.98","88.98"
"2480","88.69","88.69","88.69"
"2481","88.28","88.28","88.28"
"2482","88.82","88.82","88.82"
"2483","88.82","88.82","88.82"
"2484","88.76","88.76","88.76"
"2485","88.14","88.14","88.14"
"2486","88.57","88.57","88.57"
"2487","88.41","88.41","88.41"
"2488","88.91","88.91","88.91"
"2489","88.22","88.22","88.22"
"2490","88.87","88.87","88.87"
"2491","88.12","88.12","88.12"
"2492","88.34","88.34","88.34"
"2493","88.53","88.53","88.53"
"2494","88.76","88.76","88.76"
"2495","88.79","88.79","88.79"
"2496","88.19","88.19","88.19"
"2497","88.54","88.54","88.54"
"2498","88.33","88.33","88.33"
"2499","88.24","88.24","88.24"
"2500","88.91","88.91","88.91"
"2501","88.63","88.63","88.63"
"2502","88.11","88.11","88.11"
"2503","88.48","88.48","88.48"
"2504","88.38","88.38","88.38"
"2505","88.81","88.81","88.81"
"2506","88.58","88.58","88.58"
"2507","89.47","89.47","89.47"
"2508","88.27","88.27","88.27"
"2509","89.39","89.39","89.39"
"2510","88.63","88.63","88.63"
"2511","89.39","89.39","89.39"
"2512","88.63","88.63","88.63"
"2513","88.05","88.05","88.05"
"2514","88.89","88.89","88.89"
"2515","88.94","88.94","88.94"
"2516","88.89","88.89","88.89"
"2517","88.63","88.63","88.63"
"2518","88.58","88.58","88.58"
"2519","88.27","88.27","88.27"
"2520","87.87","87.87","87.87"
"2521","88.75","88.75","88.75"
"2522","87.96","87.96","87.96"
"2523","88.81","88.81","88.81"
"2524","88.82","88.82","88.82"
"2526","88.5","88.5","88.5"
"2527","88.64","88.64","88.64"
"2528","88.74","88.74","88.74"
"2529","89.34","89.34","89.34"
"2530","88.38","88.38","88.38"
"2531","88.27","88.27","88.27"
"2532","88.71","88.71","88.71"
"2533","88.65","88.65","88.65"
"2534","88.44","88.44","88.44"
"2535","88.38","88.38","88.38"
"2536","88.46","88.46","88.46"
"2537","88.78","88.78","88.78"
"2538","88.97","88.97","88.97"
"2539","88.87","88.87","88.87"
"2540","88.31","88.31","88.31"
"2541","88.39","88.39","88.39"
"2542","88.78","88.78","88.78"
"2543","88.75","88.75","88.75"
"2544","88.93","88.93","88.93"
"2545","88.93","88.93","88.93"
"2546","88.5","88.5","88.5"
"2547","88.23","88.23","88.23"
"2548","89.01","89.01","89.01"
"2549","89.04","89.04","89.04"
"2550","88.45","88.45","88.45"
"2551","88.63","88.63","88.63"
"2552","89.22","89.22","89.22"
"2553","89.05","89.05","89.05"
"2554","88.37","88.37","88.37"
"2555","89.41","89.41","89.41"
"2556","88.34","88.34","88.34"
"2557","88.45","88.45","88.45"
"2558","89.07","89.07","89.07"
"2559","88.87","88.87","88.87"
"2560","88.22","88.22","88.22"
"2561","89.59","89.59","89.59"
"2562","88.33","88.33","88.33"
"2563","88.95","88.95","88.95"
"2564","88.62","88.62","88.62"
"2565","89.24","89.24","89.24"
"2566","88.75","88.75","88.75"
"2567","88.42","88.42","88.42"
"2568","88.57","88.57","88.57"
"2569","88.99","88.99","88.99"
"2570","88.94","88.94","88.94"
"2571","88.95","88.95","88.95"
"2572","88.8","88.8","88.8"
"2573","88.37","88.37","88.37"
"2574","89.19","89.19","89.19"
"2575","88.01","88.01","88.01"
"2576","88.9","88.9","88.9"
"2577","88.26","88.26","88.26"
"2578","88.18","88.18","88.18"
"2579","89.07","89.07","89.07"
"2580","88.89","88.89","88.89"
"2581","88.95","88.95","88.95"
"2582","88.44","88.44","88.44"
"2583","88.49","88.49","88.49"
"2584","88.82","88.82","88.82"
"2585","88.51","88.51","88.51"
"2586","88.57","88.57","88.57"
"2587","88.88","88.88","88.88"
"2588","89.01","89.01","89.01"
"2589","89.09","89.09","89.09"
"2590","88.84","88.84","88.84"
"2591","89.04","89.04","89.04"
"2592","88.53","88.53","88.53"
"2593","88.71","88.71","88.71"
"2594","87.66","87.66","87.66"
"2595","88.91","88.91","88.91"
"2596","88.63","88.63","88.63"
"2597","88.5","88.5","88.5"
"2598","88.78","88.78","88.78"
"2599","88.79","88.79","88.79"
"2600","88.69","88.69","88.69"
"2601","89.23","89.23","89.23"
"2602","88.52","88.52","88.52"
"2603","88.75","88.75","88.75"
"2604","89.09","89.09","89.09"
"2605","88.94","88.94","88.94"
"2606","88.42","88.42","88.42"
"2607","88.76","88.76","88.76"
"2608","88.23","88.23","88.23"
"2609","89.08","89.08","89.08"
"2610","89.03","89.03","89.03"
"2611","88.72","88.72","88.72"
"2612","88.4","88.4","88.4"
"2613","88.38","88.38","88.38"
"2614","89.08","89.08","89.08"
"2615","88.84","88.84","88.84"
"2616","89.07","89.07","89.07"
"2617","88.8","88.8","88.8"
"2618","88.84","88.84","88.84"
"2619","88.23","88.23","88.23"
"2620","89.01","89.01","89.01"
"2621","88.72","88.72","88.72"
"2622","88.95","88.95","88.95"
"2623","88.95","88.95","88.95"
"2624","88.52","88.52","88.52"
"2625","88.39","88.39","88.39"
"2626","89.02","89.02","89.02"
"2627","88.16","88.16","88.16"
"2628","88.97","88.97","88.97"
"2629","89.02","89.02","89.02"
"2630","89.48","89.48","89.48"
"2631","88.59","88.59","88.59"
"2632","88.23","88.23","88.23"
"2633","88.81","88.81","88.81"
"2634","88.65","88.65","88.65"
"2635","88.34","88.34","88.34"
"2636","88.58","88.58","88.58"
"2637","88.67","88.67","88.67"
"2638","89.39","89.39","89.39"
"2639","89","89","89"
"2640","88.71","88.71","88.71"
"2641","88.92","88.92","88.92"
"2642","88.84","88.84","88.84"
"2643","88.82","88.82","88.82"
"2644","88.39","88.39","88.39"
"2645","88.02","88.02","88.02"
"2646","88.79","88.79","88.79"
"2647","89.06","89.06","89.06"
"2648","88.6","88.6","88.6"
"2649","88.19","88.19","88.19"
"2650","88.58","88.58","88.58"
"2651","89.06","89.06","89.06"
"2652","89.03","89.03","89.03"
"2653","89.24","89.24","89.24"
"2654","88.63","88.63","88.63"
"2655","88.59","88.59","88.59"
"2656","89.26","89.26","89.26"
"2657","89.13","89.13","89.13"
"2658","88.95","88.95","88.95"
"2659","89.04","89.04","89.04"
"2660","88.47","88.47","88.47"
"2661","88.7","88.7","88.7"
"2662","88.79","88.79","88.79"
"2663","89.21","89.21","89.21"
"2664","88.44","88.44","88.44"
"2665","88.98","88.98","88.98"
"2666","89","89","89"
"2667","88.41","88.41","88.41"
"2668","88.79","88.79","88.79"
"2669","88.67","88.67","88.67"
"2670","88.82","88.82","88.82"
"2671","88.72","88.72","88.72"
"2672","89.53","89.53","89.53"
"2673","88.39","88.39","88.39"
"2674","88.97","88.97","88.97"
"2675","88.89","88.89","88.89"
"2676","89.02","89.02","89.02"
"2677","88.97","88.97","88.97"
"2678","89.19","89.19","89.19"
"2679","88.96","88.96","88.96"
"2680","88.53","88.53","88.53"
"2681","88.62","88.62","88.62"
"2682","88.78","88.78","88.78"
"2683","89.12","89.12","89.12"
"2684","88.91","88.91","88.91"
"2685","89.59","89.59","89.59"
"2686","88.92","88.92","88.92"
"2687","88.75","88.75","88.75"
"2688","88.13","88.13","88.13"
"2689","88.98","88.98","88.98"
"2690","88.4","88.4","88.4"
"2691","88.73","88.73","88.73"
"2692","88.74","88.74","88.74"
"2693","88.07","88.07","88.07"
"2694","88.61","88.61","88.61"
"2695","88.74","88.74","88.74"
"2696","89.03","89.03","89.03"
"2697","88.46","88.46","88.46"
"2698","89.42","89.42","89.42"
"2699","89","89","89"
"2700","88.94","88.94","88.94"
"2701","88.29","88.29","88.29"
"2702","89.19","89.19","89.19"
"2703","89.38","89.38","89.38"
"2704","88.95","88.95","88.95"
"2705","89.1","89.1","89.1"
"2706","89.35","89.35","89.35"
"2707","89.18","89.18","89.18"
"2708","88.88","88.88","88.88"
"2709","88.85","88.85","88.85"
"2710","88.82","88.82","88.82"
"2711","88.84","88.84","88.84"
"2712","88.54","88.54","88.54"
"2713","88.66","88.66","88.66"
"2714","88.71","88.71","88.71"
"2715","89.24","89.24","89.24"
"2716","89.08","89.08","89.08"
"2717","88.54","88.54","88.54"
"2718","88.54","88.54","88.54"
"2719","89.05","89.05","89.05"
"2720","89.14","89.14","89.14"
"2721","89.11","89.11","89.11"
"2722","88.78","88.78","88.78"
"2723","88.48","88.48","88.48"
"2724","88.94","88.94","88.94"
"2725","88.36","88.36","88.36"
"2726","89.54","89.54","89.54"
"2727","88.5","88.5","88.5"
"2728","89.02","89.02","89.02"
"2729","88.88","88.88","88.88"
"2730","88.7","88.7","88.7"
"2731","89.21","89.21","89.21"
"2732","88.66","88.66","88.66"
"2733","87.85","87.85","87.85"
"2734","88.77","88.77","88.77"
"2735","88.72","88.72","88.72"
"2736","88.55","88.55","88.55"
"2737","89.42","89.42","89.42"
"2738","88.96","88.96","88.96"
"2739","88.24","88.24","88.24"
"2740","88.63","88.63","88.63"
"2741","89.46","89.46","89.46"
"2742","89.08","89.08","89.08"
"2743","88.7","88.7","88.7"
"2744","89.52","89.52","89.52"
"2745","88.49","88.49","88.49"
"2746","88.43","88.43","88.43"
"2747","88.81","88.81","88.81"
"2748","89.66","89.66","89.66"
"2749","88.61","88.61","88.61"
"2750","88.48","88.48","88.48"
"2751","88.34","88.34","88.34"
"2752","88.84","88.84","88.84"
"2753","88.47","88.47","88.47"
"2754","88.81","88.81","88.81"
"2755","88.98","88.98","88.98"
"2756","89.39","89.39","89.39"
"2757","88.54","88.54","88.54"
"2758","88.88","88.88","88.88"
"2759","88.82","88.82","88.82"
"2760","88.32","88.32","88.32"
"2761","88.97","88.97","88.97"
"2762","89.29","89.29","89.29"
"2763","88.93","88.93","88.93"
"2764","89.03","89.03","89.03"
"2765","88.95","88.95","88.95"
"2766","88.61","88.61","88.61"
"2767","88.78","88.78","88.78"
"2768","89.33","89.33","89.33"
"2769","89.02","89.02","89.02"
"2770","89.35","89.35","89.35"
"2771","88.74","88.74","88.74"
"2772","88.83","88.83","88.83"
"2773","88.83","88.83","88.83"
"2774","89.46","89.46","89.46"
"2775","88.72","88.72","88.72"
"2776","89.33","89.33","89.33"
"2777","88.74","88.74","88.74"
"2778","89.05","89.05","89.05"
"2779","88.64","88.64","88.64"
"2780","88.79","88.79","88.79"
"2781","88.92","88.92","88.92"
"2782","88.83","88.83","88.83"
"2783","89.13","89.13","89.13"
"2784","88.49","88.49","88.49"
"2785","89.35","89.35","89.35"
"2786","89.05","89.05","89.05"
"2787","88.89","88.89","88.89"
"2788","89.1","89.1","89.1"
"2789","89.09","89.09","89.09"
"2790","89.06","89.06","89.06"
"2791","89.34","89.34","89.34"
"2792","88.81","88.81","88.81"
"2793","89.17","89.17","89.17"
"2794","89.48","89.48","89.48"
"2795","89.01","89.01","89.01"
"2796","88.99","88.99","88.99"
"2797","89.17","89.17","89.17"
"2798","88.95","88.95","88.95"
"2799","88.87","88.87","88.87"
"2800","88.6","88.6","88.6"
"2801","88.71","88.71","88.71"
"2802","89.02","89.02","89.02"
"2803","89.19","89.19","89.19"
"2804","88.38","88.38","88.38"
"2805","88.92","88.92","88.92"
"2806","88.96","88.96","88.96"
"2807","88.85","88.85","88.85"
"2808","88.92","88.92","88.92"
"2809","88.78","88.78","88.78"
"2810","88.96","88.96","88.96"
"2811","89.24","89.24","89.24"
"2812","89.18","89.18","89.18"
"2813","89.45","89.45","89.45"
"2814","88.57","88.57","88.57"
"2815","89.48","89.48","89.48"
"2816","89.64","89.64","89.64"
"2817","88.51","88.51","88.51"
"2818","88.95","88.95","88.95"
"2819","89.51","89.51","89.51"
"2820","88.95","88.95","88.95"
"2821","88.58","88.58","88.58"
"2822","89.08","89.08","89.08"
"2823","89.39","89.39","89.39"
"2824","89.22","89.22","89.22"
"2825","89.19","89.19","89.19"
"2826","89.56","89.56","89.56"
"2827","88.65","88.65","88.65"
"2828","89.29","89.29","89.29"
"2829","89.15","89.15","89.15"
"2830","88.95","88.95","88.95"
"2831","88.97","88.97","88.97"
"2832","89.12","89.12","89.12"
"2833","89.35","89.35","89.35"
"2834","89.03","89.03","89.03"
"2835","89.33","89.33","89.33"
"2836","88.48","88.48","88.48"
"2837","89.06","89.06","89.06"
"2838","88.62","88.62","88.62"
"2839","88.96","88.96","88.96"
"2840","88.89","88.89","88.89"
"2841","89","89","89"
"2842","89.1","89.1","89.1"
"2843","89.06","89.06","89.06"
"2844","89.17","89.17","89.17"
"2845","88.84","88.84","88.84"
"2846","89.09","89.09","89.09"
"2847","89.09","89.09","89.09"
"2848","89.34","89.34","89.34"
"2849","88.82","88.82","88.82"
"2850","89.35","89.35","89.35"
"2851","89.29","89.29","89.29"
"2852","88.96","88.96","88.96"
"2853","88.82","88.82","88.82"
"2854","88.68","88.68","88.68"
"2855","88.93","88.93","88.93"
"2856","89.1","89.1","89.1"
"2857","89.1","89.1","89.1"
"2858","88.39","88.39","88.39"
"2859","89.31","89.31","89.31"
"2860","89.55","89.55","89.55"
"2861","89.34","89.34","89.34"
"2862","88.78","88.78","88.78"
"2863","89.57","89.57","89.57"
"2864","89.22","89.22","89.22"
"2865","89.34","89.34","89.34"
"2866","89.15","89.15","89.15"
"2867","89.25","89.25","89.25"
"2868","89.01","89.01","89.01"
"2869","88.94","88.94","88.94"
"2870","89.35","89.35","89.35"
"2871","89.05","89.05","89.05"
"2872","89.68","89.68","89.68"
"2873","89.06","89.06","89.06"
"2874","89.12","89.12","89.12"
"2875","89.39","89.39","89.39"
"2876","89.46","89.46","89.46"
"2877","88.75","88.75","88.75"
"2878","89.33","89.33","89.33"
"2879","88.75","88.75","88.75"
"2880","89.19","89.19","89.19"
"2881","89.17","89.17","89.17"
"2882","89.13","89.13","89.13"
"2883","89.52","89.52","89.52"
"2884","88.8","88.8","88.8"
"2885","89.23","89.23","89.23"
"2886","89.16","89.16","89.16"
"2887","88.97","88.97","88.97"
"2888","89.15","89.15","89.15"
"2889","89.03","89.03","89.03"
"2890","89.65","89.65","89.65"
"2891","89.11","89.11","89.11"
"2892","89.09","89.09","89.09"
"2893","88.96","88.96","88.96"
"2894","89.22","89.22","89.22"
"2895","89.38","89.38","89.38"
"2896","89.16","89.16","89.16"
"2897","89.03","89.03","89.03"
"2898","89.47","89.47","89.47"
"2899","88.77","88.77","88.77"
"2900","89.25","89.25","89.25"
"2901","89.13","89.13","89.13"
"2902","88.43","88.43","88.43"
"2903","88.81","88.81","88.81"
"2904","89.2","89.2","89.2"
"2905","88.88","88.88","88.88"
"2906","89.35","89.35","89.35"
"2907","88.99","88.99","88.99"
"2908","89.36","89.36","89.36"
"2909","89.35","89.35","89.35"
"2910","89.38","89.38","89.38"
"2911","88.73","88.73","88.73"
"2912","89.12","89.12","89.12"
"2913","89.31","89.31","89.31"
"2914","88.81","88.81","88.81"
"2915","89.28","89.28","89.28"
"2916","89.17","89.17","89.17"
"2917","89.09","89.09","89.09"
"2918","89.42","89.42","89.42"
"2919","89.58","89.58","89.58"
"2920","89.13","89.13","89.13"
"2921","88.79","88.79","88.79"
"2922","89.31","89.31","89.31"
"2923","89.51","89.51","89.51"
"2924","88.93","88.93","88.93"
"2925","89.37","89.37","89.37"
"2926","89.44","89.44","89.44"
"2927","88.85","88.85","88.85"
"2928","89.62","89.62","89.62"
"2929","89.21","89.21","89.21"
"2930","89.45","89.45","89.45"
"2931","88.75","88.75","88.75"
"2932","89.4","89.4","89.4"
"2933","89.35","89.35","89.35"
"2934","89.68","89.68","89.68"
"2935","89.43","89.43","89.43"
"2936","88.99","88.99","88.99"
"2937","89.41","89.41","89.41"
"2938","89.42","89.42","89.42"
"2939","89.29","89.29","89.29"
"2940","89.36","89.36","89.36"
"2941","89.28","89.28","89.28"
"2942","89.44","89.44","89.44"
"2943","89.46","89.46","89.46"
"2944","89.44","89.44","89.44"
"2945","88.85","88.85","88.85"
"2946","89.71","89.71","89.71"
"2947","89.39","89.39","89.39"
"2948","89.17","89.17","89.17"
"2949","88.88","88.88","88.88"
"2950","88.95","88.95","88.95"
"2951","88.88","88.88","88.88"
"2952","89.07","89.07","89.07"
"2953","89.02","89.02","89.02"
"2954","89.77","89.77","89.77"
"2955","89.56","89.56","89.56"
"2956","88.86","88.86","88.86"
"2957","88.81","88.81","88.81"
"2958","88.86","88.86","88.86"
"2959","88.88","88.88","88.88"
"2960","89.21","89.21","89.21"
"2961","88.6","88.6","88.6"
"2962","89.59","89.59","89.59"
"2963","89.67","89.67","89.67"
"2964","88.77","88.77","88.77"
"2965","89.05","89.05","89.05"
"2966","89.21","89.21","89.21"
"2967","88.79","88.79","88.79"
"2968","89.79","89.79","89.79"
"2969","89.2","89.2","89.2"
"2970","88.68","88.68","88.68"
"2971","89.29","89.29","89.29"
"2972","88.94","88.94","88.94"
"2973","89.73","89.73","89.73"
"2974","89.05","89.05","89.05"
"2975","89.74","89.74","89.74"
"2976","89.4","89.4","89.4"
"2977","89.51","89.51","89.51"
"2978","89.21","89.21","89.21"
"2979","89.27","89.27","89.27"
"2980","89.34","89.34","89.34"
"2981","89.58","89.58","89.58"
"2982","89.42","89.42","89.42"
"2983","89.04","89.04","89.04"
"2984","88.89","88.89","88.89"
"2985","89.58","89.58","89.58"
"2986","89.44","89.44","89.44"
"2987","89","89","89"
"2988","89.23","89.23","89.23"
"2989","89.62","89.62","89.62"
"2990","89.12","89.12","89.12"
"2991","89.36","89.36","89.36"
"2992","89.32","89.32","89.32"
"2993","89.74","89.74","89.74"
"2994","90.3","90.3","90.3"
"2995","89.18","89.18","89.18"
"2996","89.27","89.27","89.27"
"2997","89.21","89.21","89.21"
"2998","89.95","89.95","89.95"
"2999","89.47","89.47","89.47"
"3000","89.4","89.4","89.4"
"3001","89.21","89.21","89.21"
"3002","89.28","89.28","89.28"
"3003","89.49","89.49","89.49"
"3004","89.12","89.12","89.12"
"3005","89.02","89.02","89.02"
"3006","89.17","89.17","89.17"
"3007","89.49","89.49","89.49"
"3008","89.44","89.44","89.44"
"3009","89.27","89.27","89.27"
"3010","89.26","89.26","89.26"
"3011","89.63","89.63","89.63"
