"Step","benford - test_arithmetic_perfect","benford - test_arithmetic_perfect__MIN","benford - test_arithmetic_perfect__MAX"
"856","67.5","67.5","67.5"
"857","66.43","66.43","66.43"
"858","65.51","65.51","65.51"
"859","67.51","67.51","67.51"
"860","66.52","66.52","66.52"
"861","66.55","66.55","66.55"
"862","66.88","66.88","66.88"
"863","67.73","67.73","67.73"
"864","67.13","67.13","67.13"
"865","66.83","66.83","66.83"
"866","66.27","66.27","66.27"
"867","67.63","67.63","67.63"
"868","66.65","66.65","66.65"
"869","67.59","67.59","67.59"
"870","67.21","67.21","67.21"
"871","66.95","66.95","66.95"
"872","66.53","66.53","66.53"
"873","66.96","66.96","66.96"
"874","66.94","66.94","66.94"
"875","67.07","67.07","67.07"
"876","65.82","65.82","65.82"
"877","68.89","68.89","68.89"
"878","68.17","68.17","68.17"
"879","67.62","67.62","67.62"
"880","67.22","67.22","67.22"
"881","67.7","67.7","67.7"
"882","67.31","67.31","67.31"
"883","68.99","68.99","68.99"
"884","67.43","67.43","67.43"
"885","67.44","67.44","67.44"
"886","67.81","67.81","67.81"
"887","67.5","67.5","67.5"
"888","68.61","68.61","68.61"
"889","67.71","67.71","67.71"
"890","66.59","66.59","66.59"
"891","67.3","67.3","67.3"
"892","67.93","67.93","67.93"
"893","67.98","67.98","67.98"
"894","67.39","67.39","67.39"
"895","67.32","67.32","67.32"
"896","67.73","67.73","67.73"
"897","68.57","68.57","68.57"
"898","67.54","67.54","67.54"
"899","67.31","67.31","67.31"
"900","68.64","68.64","68.64"
"901","67.89","67.89","67.89"
"902","68.73","68.73","68.73"
"903","68.16","68.16","68.16"
"904","67.83","67.83","67.83"
"905","67.59","67.59","67.59"
"906","69.02","69.02","69.02"
"907","67.45","67.45","67.45"
"908","68.37","68.37","68.37"
"909","68","68","68"
"910","67.98","67.98","67.98"
"911","68.21","68.21","68.21"
"912","68.42","68.42","68.42"
"913","67.93","67.93","67.93"
"914","67.9","67.9","67.9"
"915","68.48","68.48","68.48"
"916","68.5","68.5","68.5"
"917","69.38","69.38","69.38"
"918","68.92","68.92","68.92"
"919","69.1","69.1","69.1"
"920","68.95","68.95","68.95"
"921","68.78","68.78","68.78"
"922","69.2","69.2","69.2"
"923","69.01","69.01","69.01"
"924","67.89","67.89","67.89"
"925","69.58","69.58","69.58"
"926","68.14","68.14","68.14"
"927","68.01","68.01","68.01"
"928","68.6","68.6","68.6"
"929","68.6","68.6","68.6"
"930","68.69","68.69","68.69"
"931","69.1","69.1","69.1"
"932","69","69","69"
"933","68.17","68.17","68.17"
"934","68.41","68.41","68.41"
"935","68.21","68.21","68.21"
"936","68.6","68.6","68.6"
"937","68.4","68.4","68.4"
"938","68.32","68.32","68.32"
"939","68.42","68.42","68.42"
"940","66.63","66.63","66.63"
"941","67.54","67.54","67.54"
"942","69.06","69.06","69.06"
"943","67.94","67.94","67.94"
"944","69.78","69.78","69.78"
"945","67.05","67.05","67.05"
"946","67.87","67.87","67.87"
"947","69.97","69.97","69.97"
"948","68.97","68.97","68.97"
"949","69.91","69.91","69.91"
"950","69.29","69.29","69.29"
"951","69.16","69.16","69.16"
"952","68.41","68.41","68.41"
"953","68.71","68.71","68.71"
"954","69.13","69.13","69.13"
"955","68.06","68.06","68.06"
"956","68.6","68.6","68.6"
"957","69.04","69.04","69.04"
"958","67.96","67.96","67.96"
"959","69","69","69"
"960","68.4","68.4","68.4"
"961","68.9","68.9","68.9"
"962","67.83","67.83","67.83"
"963","68.98","68.98","68.98"
"964","68.89","68.89","68.89"
"965","68.88","68.88","68.88"
"966","68.58","68.58","68.58"
"967","68.1","68.1","68.1"
"968","69.8","69.8","69.8"
"969","68.9","68.9","68.9"
"970","69.2","69.2","69.2"
"971","69.84","69.84","69.84"
"972","68.3","68.3","68.3"
"973","70.19","70.19","70.19"
"974","69","69","69"
"975","69.38","69.38","69.38"
"976","69.78","69.78","69.78"
"977","69.02","69.02","69.02"
"978","69.3","69.3","69.3"
"979","69.15","69.15","69.15"
"980","68.98","68.98","68.98"
"981","69","69","69"
"982","68.81","68.81","68.81"
"983","69.7","69.7","69.7"
"984","69.17","69.17","69.17"
"985","69.48","69.48","69.48"
"986","69.87","69.87","69.87"
"987","70.2","70.2","70.2"
"988","69.76","69.76","69.76"
"989","70.36","70.36","70.36"
"990","70.17","70.17","70.17"
"991","68.5","68.5","68.5"
"992","69.01","69.01","69.01"
"993","68.19","68.19","68.19"
"994","70.17","70.17","70.17"
"995","69.21","69.21","69.21"
"996","69.22","69.22","69.22"
"997","69.85","69.85","69.85"
"998","70.69","70.69","70.69"
"999","70.54","70.54","70.54"
"1000","69.66","69.66","69.66"
"1001","67.55","67.55","67.55"
"1002","68.89","68.89","68.89"
"1003","69.31","69.31","69.31"
"1004","69.69","69.69","69.69"
"1005","68.8","68.8","68.8"
"1006","68.23","68.23","68.23"
"1007","70.28","70.28","70.28"
"1008","69.75","69.75","69.75"
"1009","69.25","69.25","69.25"
"1010","70.1","70.1","70.1"
"1011","70.06","70.06","70.06"
"1012","68.03","68.03","68.03"
"1013","68.12","68.12","68.12"
"1014","69.96","69.96","69.96"
"1015","71.64","71.64","71.64"
"1016","69.87","69.87","69.87"
"1017","69.69","69.69","69.69"
"1018","69.16","69.16","69.16"
"1019","70.17","70.17","70.17"
"1020","69.91","69.91","69.91"
"1021","69.66","69.66","69.66"
"1022","68.93","68.93","68.93"
"1023","69.56","69.56","69.56"
"1024","69.68","69.68","69.68"
"1025","69","69","69"
"1026","69.19","69.19","69.19"
"1027","68.48","68.48","68.48"
"1028","69.26","69.26","69.26"
"1029","70.42","70.42","70.42"
"1030","68.9","68.9","68.9"
"1031","69.54","69.54","69.54"
"1032","69.69","69.69","69.69"
"1033","69.08","69.08","69.08"
"1034","69.35","69.35","69.35"
"1035","69.76","69.76","69.76"
"1036","68.9","68.9","68.9"
"1037","68.79","68.79","68.79"
"1038","68.58","68.58","68.58"
"1039","69.56","69.56","69.56"
"1040","69.29","69.29","69.29"
"1041","70.27","70.27","70.27"
"1042","69.21","69.21","69.21"
"1043","69.66","69.66","69.66"
"1044","70.16","70.16","70.16"
"1045","70.52","70.52","70.52"
"1046","69.4","69.4","69.4"
"1047","68.7","68.7","68.7"
"1048","70.04","70.04","70.04"
"1049","70.16","70.16","70.16"
"1050","69.39","69.39","69.39"
"1051","71.18","71.18","71.18"
"1052","70.34","70.34","70.34"
"1053","70.54","70.54","70.54"
"1054","69.8","69.8","69.8"
"1055","70","70","70"
"1056","70.84","70.84","70.84"
"1057","69.71","69.71","69.71"
"1058","69.63","69.63","69.63"
"1059","69.15","69.15","69.15"
"1060","69.98","69.98","69.98"
"1061","69.98","69.98","69.98"
"1062","70.87","70.87","70.87"
"1063","70.49","70.49","70.49"
"1064","70.47","70.47","70.47"
"1065","69.31","69.31","69.31"
"1066","70.3","70.3","70.3"
"1067","69.88","69.88","69.88"
"1068","70.97","70.97","70.97"
"1069","70.92","70.92","70.92"
"1070","70.65","70.65","70.65"
"1071","70.46","70.46","70.46"
"1072","69.76","69.76","69.76"
"1073","71.61","71.61","71.61"
"1074","70.81","70.81","70.81"
"1075","70.39","70.39","70.39"
"1076","70.38","70.38","70.38"
"1077","69.81","69.81","69.81"
"1078","69.96","69.96","69.96"
"1079","70.47","70.47","70.47"
"1080","70.82","70.82","70.82"
"1081","69.9","69.9","69.9"
"1082","70.63","70.63","70.63"
"1083","70.74","70.74","70.74"
"1084","70.74","70.74","70.74"
"1085","70.29","70.29","70.29"
"1086","70.76","70.76","70.76"
"1087","69.96","69.96","69.96"
"1088","70.74","70.74","70.74"
"1089","70.41","70.41","70.41"
"1090","71.05","71.05","71.05"
"1091","69.17","69.17","69.17"
"1092","72.18","72.18","72.18"
"1093","71.12","71.12","71.12"
"1094","70.73","70.73","70.73"
"1095","70.31","70.31","70.31"
"1096","71.44","71.44","71.44"
"1097","70.57","70.57","70.57"
"1098","70","70","70"
"1099","70.66","70.66","70.66"
"1100","71.05","71.05","71.05"
"1101","71.14","71.14","71.14"
"1102","71.25","71.25","71.25"
"1103","70.46","70.46","70.46"
"1104","70.97","70.97","70.97"
"1105","70.52","70.52","70.52"
"1106","70.67","70.67","70.67"
"1107","69.82","69.82","69.82"
"1108","70.96","70.96","70.96"
"1109","70.6","70.6","70.6"
"1110","70.9","70.9","70.9"
"1111","70.36","70.36","70.36"
"1112","70.08","70.08","70.08"
"1113","69.95","69.95","69.95"
"1114","71.73","71.73","71.73"
"1115","70.97","70.97","70.97"
"1116","71.03","71.03","71.03"
"1117","70.04","70.04","70.04"
"1118","71.84","71.84","71.84"
"1119","70.75","70.75","70.75"
"1120","71.46","71.46","71.46"
"1121","70.85","70.85","70.85"
"1122","69.87","69.87","69.87"
"1123","70.26","70.26","70.26"
"1124","69.68","69.68","69.68"
"1125","70.94","70.94","70.94"
"1126","69.66","69.66","69.66"
"1127","70.56","70.56","70.56"
"1128","71.33","71.33","71.33"
"1129","71.32","71.32","71.32"
"1130","72.01","72.01","72.01"
"1131","70.83","70.83","70.83"
"1132","70.46","70.46","70.46"
"1133","71.76","71.76","71.76"
"1134","71.17","71.17","71.17"
"1135","71.44","71.44","71.44"
"1136","70.38","70.38","70.38"
"1137","70.92","70.92","70.92"
"1138","70.57","70.57","70.57"
"1139","70.6","70.6","70.6"
"1140","71.22","71.22","71.22"
"1141","70.51","70.51","70.51"
"1142","70.92","70.92","70.92"
"1143","70.84","70.84","70.84"
"1144","70.94","70.94","70.94"
"1145","70.73","70.73","70.73"
"1146","71.73","71.73","71.73"
"1147","72.28","72.28","72.28"
"1148","69.36","69.36","69.36"
"1149","70.84","70.84","70.84"
"1150","71.68","71.68","71.68"
"1151","71.12","71.12","71.12"
"1152","71.65","71.65","71.65"
"1153","70.97","70.97","70.97"
"1154","70.33","70.33","70.33"
"1155","70.82","70.82","70.82"
"1156","71.13","71.13","71.13"
"1157","71.03","71.03","71.03"
"1158","71.83","71.83","71.83"
"1159","71.65","71.65","71.65"
"1160","72.46","72.46","72.46"
"1161","71.24","71.24","71.24"
"1162","70.84","70.84","70.84"
"1163","71.5","71.5","71.5"
"1164","71.17","71.17","71.17"
"1165","70.81","70.81","70.81"
"1166","71.95","71.95","71.95"
"1167","70.36","70.36","70.36"
"1168","70.71","70.71","70.71"
"1169","70.83","70.83","70.83"
"1170","71.96","71.96","71.96"
"1171","71.33","71.33","71.33"
"1172","70.74","70.74","70.74"
"1173","70.68","70.68","70.68"
"1174","70.83","70.83","70.83"
"1175","70.65","70.65","70.65"
"1176","70.39","70.39","70.39"
"1177","72.1","72.1","72.1"
"1178","70.67","70.67","70.67"
"1179","71.44","71.44","71.44"
"1180","71.41","71.41","71.41"
"1181","70.27","70.27","70.27"
"1182","69.69","69.69","69.69"
"1183","70.92","70.92","70.92"
"1184","70.56","70.56","70.56"
"1185","70.06","70.06","70.06"
"1186","71.24","71.24","71.24"
"1187","71.39","71.39","71.39"
"1188","71.92","71.92","71.92"
"1189","71.69","71.69","71.69"
"1190","70.85","70.85","70.85"
"1191","71.64","71.64","71.64"
"1192","71.32","71.32","71.32"
"1193","70.6","70.6","70.6"
"1194","70.96","70.96","70.96"
"1195","70.37","70.37","70.37"
"1196","69.3","69.3","69.3"
"1197","70.45","70.45","70.45"
"1198","70.74","70.74","70.74"
"1199","71.81","71.81","71.81"
"1200","72","72","72"
"1201","71.63","71.63","71.63"
"1202","70.45","70.45","70.45"
"1203","70.64","70.64","70.64"
"1204","72.57","72.57","72.57"
"1205","71.22","71.22","71.22"
"1206","70.75","70.75","70.75"
"1207","71.23","71.23","71.23"
"1208","71.22","71.22","71.22"
"1209","71.14","71.14","71.14"
"1210","72.05","72.05","72.05"
"1211","72.96","72.96","72.96"
"1212","72.87","72.87","72.87"
"1213","71.06","71.06","71.06"
"1214","73.01","73.01","73.01"
"1215","71.09","71.09","71.09"
"1216","70.63","70.63","70.63"
"1217","71.14","71.14","71.14"
"1218","71.16","71.16","71.16"
"1219","71.91","71.91","71.91"
"1220","70.84","70.84","70.84"
"1221","71.52","71.52","71.52"
"1222","70.76","70.76","70.76"
"1223","71.08","71.08","71.08"
"1224","70.4","70.4","70.4"
"1225","71.83","71.83","71.83"
"1226","71.2","71.2","71.2"
"1227","71.21","71.21","71.21"
"1228","71.2","71.2","71.2"
"1229","71.22","71.22","71.22"
"1230","72.22","72.22","72.22"
"1231","71.81","71.81","71.81"
"1232","70.93","70.93","70.93"
"1233","71.05","71.05","71.05"
"1234","71.64","71.64","71.64"
"1235","71.22","71.22","71.22"
"1236","71.24","71.24","71.24"
"1237","71.24","71.24","71.24"
"1238","71.91","71.91","71.91"
"1239","71.42","71.42","71.42"
"1240","71.23","71.23","71.23"
"1241","72","72","72"
"1242","71.53","71.53","71.53"
"1243","71.45","71.45","71.45"
"1244","70.92","70.92","70.92"
"1245","71.17","71.17","71.17"
"1246","71.52","71.52","71.52"
"1247","72.3","72.3","72.3"
"1248","70.35","70.35","70.35"
"1249","71.85","71.85","71.85"
"1250","71.68","71.68","71.68"
"1251","72.47","72.47","72.47"
"1252","71.14","71.14","71.14"
"1253","70.65","70.65","70.65"
"1254","72.42","72.42","72.42"
"1255","72.93","72.93","72.93"
"1256","71.02","71.02","71.02"
"1257","71.41","71.41","71.41"
"1258","71.78","71.78","71.78"
"1259","72.04","72.04","72.04"
"1260","72","72","72"
"1261","71.23","71.23","71.23"
"1262","71.67","71.67","71.67"
"1263","72.5","72.5","72.5"
"1264","72.43","72.43","72.43"
"1265","71.8","71.8","71.8"
"1266","71.63","71.63","71.63"
"1267","71.92","71.92","71.92"
"1268","71.22","71.22","71.22"
"1269","71.44","71.44","71.44"
"1270","71.43","71.43","71.43"
"1271","70.94","70.94","70.94"
"1272","71.07","71.07","71.07"
"1273","72.69","72.69","72.69"
"1274","71.44","71.44","71.44"
"1275","71.83","71.83","71.83"
"1276","71.97","71.97","71.97"
"1277","72.81","72.81","72.81"
"1278","71.8","71.8","71.8"
"1279","72.21","72.21","72.21"
"1280","72.31","72.31","72.31"
"1281","72.06","72.06","72.06"
"1282","72.97","72.97","72.97"
"1283","72.32","72.32","72.32"
"1284","70.64","70.64","70.64"
"1285","72.28","72.28","72.28"
"1286","70.34","70.34","70.34"
"1287","73.67","73.67","73.67"
"1288","72.43","72.43","72.43"
"1289","72.03","72.03","72.03"
"1290","71.32","71.32","71.32"
"1291","72.87","72.87","72.87"
"1292","72.4","72.4","72.4"
"1293","73.47","73.47","73.47"
"1294","72.9","72.9","72.9"
"1295","70.72","70.72","70.72"
"1296","71.32","71.32","71.32"
"1297","71.82","71.82","71.82"
"1298","71.64","71.64","71.64"
"1299","71.43","71.43","71.43"
"1300","72.07","72.07","72.07"
"1301","72.78","72.78","72.78"
"1302","71.36","71.36","71.36"
"1303","71.66","71.66","71.66"
"1304","71.55","71.55","71.55"
"1305","71.62","71.62","71.62"
"1306","72.57","72.57","72.57"
"1307","72.59","72.59","72.59"
"1308","71.9","71.9","71.9"
"1309","71.79","71.79","71.79"
"1310","72.11","72.11","72.11"
"1311","72.67","72.67","72.67"
"1312","72","72","72"
"1313","71.12","71.12","71.12"
"1314","72.89","72.89","72.89"
"1315","72.05","72.05","72.05"
"1316","71.45","71.45","71.45"
"1317","72.31","72.31","72.31"
"1318","71.73","71.73","71.73"
"1319","72.67","72.67","72.67"
"1320","71.42","71.42","71.42"
"1321","73.01","73.01","73.01"
"1322","73.21","73.21","73.21"
"1323","72.62","72.62","72.62"
"1324","71.45","71.45","71.45"
"1325","72.59","72.59","72.59"
"1326","73.88","73.88","73.88"
"1327","72.21","72.21","72.21"
"1328","72.22","72.22","72.22"
"1329","71.7","71.7","71.7"
"1330","72.76","72.76","72.76"
"1331","72.32","72.32","72.32"
"1332","72.1","72.1","72.1"
"1333","72.12","72.12","72.12"
"1334","71.03","71.03","71.03"
"1335","72.01","72.01","72.01"
"1336","73.17","73.17","73.17"
"1337","72.12","72.12","72.12"
"1338","71.98","71.98","71.98"
"1339","71.15","71.15","71.15"
"1340","73.11","73.11","73.11"
"1341","72.52","72.52","72.52"
"1342","72.38","72.38","72.38"
"1343","72.19","72.19","72.19"
"1344","73.01","73.01","73.01"
"1345","71.7","71.7","71.7"
"1346","72.1","72.1","72.1"
"1347","71.64","71.64","71.64"
"1348","72.15","72.15","72.15"
"1349","72.41","72.41","72.41"
"1350","71.89","71.89","71.89"
"1351","72.21","72.21","72.21"
"1352","72.76","72.76","72.76"
"1353","72.02","72.02","72.02"
"1354","72.61","72.61","72.61"
"1355","71.62","71.62","71.62"
"1356","71.55","71.55","71.55"
"1357","71.46","71.46","71.46"
"1358","72.21","72.21","72.21"
"1359","72.88","72.88","72.88"
"1360","72.71","72.71","72.71"
"1361","73.1","73.1","73.1"
"1362","73.32","73.32","73.32"
"1363","73.84","73.84","73.84"
"1364","72.98","72.98","72.98"
"1365","71.7","71.7","71.7"
"1366","72.78","72.78","72.78"
"1367","71.92","71.92","71.92"
"1368","72.97","72.97","72.97"
"1369","72.33","72.33","72.33"
"1370","72.69","72.69","72.69"
"1371","73.57","73.57","73.57"
"1372","72.55","72.55","72.55"
"1373","72.8","72.8","72.8"
"1374","72.53","72.53","72.53"
"1375","72.59","72.59","72.59"
"1376","72.28","72.28","72.28"
"1377","71.99","71.99","71.99"
"1378","72.39","72.39","72.39"
"1379","72.91","72.91","72.91"
"1380","72.02","72.02","72.02"
"1381","73.1","73.1","73.1"
"1382","71.62","71.62","71.62"
