"Step","benford - test_arithmetic_perfect","benford - test_arithmetic_perfect__MIN","benford - test_arithmetic_perfect__MAX"
"196","45.92","45.92","45.92"
"197","43.71","43.71","43.71"
"198","44.41","44.41","44.41"
"199","45.19","45.19","45.19"
"200","44.12","44.12","44.12"
"201","44.68","44.68","44.68"
"202","44.53","44.53","44.53"
"203","45.88","45.88","45.88"
"204","44.88","44.88","44.88"
"205","44.01","44.01","44.01"
"206","47.29","47.29","47.29"
"207","46.36","46.36","46.36"
"208","45.52","45.52","45.52"
"209","45.28","45.28","45.28"
"210","44.85","44.85","44.85"
"211","46.44","46.44","46.44"
"212","46.29","46.29","46.29"
"213","46.61","46.61","46.61"
"214","46.44","46.44","46.44"
"215","47.48","47.48","47.48"
"216","47.28","47.28","47.28"
"217","48.52","48.52","48.52"
"218","46.31","46.31","46.31"
"219","47.32","47.32","47.32"
"220","47.68","47.68","47.68"
"221","49.34","49.34","49.34"
"222","47.97","47.97","47.97"
"223","49.06","49.06","49.06"
"224","48.26","48.26","48.26"
"225","48.54","48.54","48.54"
"226","48.84","48.84","48.84"
"227","48.77","48.77","48.77"
"228","49.12","49.12","49.12"
"229","47.83","47.83","47.83"
"230","49.32","49.32","49.32"
"231","47.87","47.87","47.87"
"232","47.42","47.42","47.42"
"233","48.83","48.83","48.83"
"234","47.53","47.53","47.53"
"235","48.01","48.01","48.01"
"236","47.42","47.42","47.42"
"237","47.7","47.7","47.7"
"238","49.49","49.49","49.49"
"239","47.83","47.83","47.83"
"240","48.24","48.24","48.24"
"241","49.34","49.34","49.34"
"242","50.17","50.17","50.17"
"243","49.16","49.16","49.16"
"244","49.06","49.06","49.06"
"245","48.12","48.12","48.12"
"246","49.96","49.96","49.96"
"247","49.32","49.32","49.32"
"248","48.85","48.85","48.85"
"249","48.6","48.6","48.6"
"250","47.95","47.95","47.95"
"251","48.88","48.88","48.88"
"252","49.03","49.03","49.03"
"253","49.69","49.69","49.69"
"254","49.24","49.24","49.24"
"255","48.52","48.52","48.52"
"256","48.08","48.08","48.08"
"257","47.38","47.38","47.38"
"258","48.52","48.52","48.52"
"259","49.02","49.02","49.02"
"260","48.49","48.49","48.49"
"261","48.02","48.02","48.02"
"262","47.63","47.63","47.63"
"263","50.95","50.95","50.95"
"264","48.84","48.84","48.84"
"265","49.65","49.65","49.65"
"266","48.61","48.61","48.61"
"267","49.21","49.21","49.21"
"268","48.93","48.93","48.93"
"269","48.07","48.07","48.07"
"270","48.26","48.26","48.26"
"271","49.57","49.57","49.57"
"272","49.5","49.5","49.5"
"273","51.34","51.34","51.34"
"274","49.84","49.84","49.84"
"275","48.69","48.69","48.69"
"276","49.33","49.33","49.33"
"277","49.37","49.37","49.37"
"278","50.75","50.75","50.75"
"279","50.97","50.97","50.97"
"280","51.19","51.19","51.19"
"281","51.24","51.24","51.24"
"282","50.12","50.12","50.12"
"283","50.09","50.09","50.09"
"284","50.61","50.61","50.61"
"285","50.81","50.81","50.81"
"286","51.76","51.76","51.76"
"287","52.04","52.04","52.04"
"288","51.82","51.82","51.82"
"289","52.04","52.04","52.04"
"290","52.48","52.48","52.48"
"291","51.85","51.85","51.85"
"292","52.07","52.07","52.07"
"293","52.66","52.66","52.66"
"294","52.99","52.99","52.99"
"295","51.65","51.65","51.65"
"296","53.04","53.04","53.04"
"297","53.96","53.96","53.96"
"298","52.72","52.72","52.72"
"299","53.83","53.83","53.83"
"300","52.95","52.95","52.95"
"301","54.64","54.64","54.64"
"302","53.7","53.7","53.7"
"303","53.29","53.29","53.29"
"304","52.04","52.04","52.04"
"305","53.03","53.03","53.03"
"306","52.89","52.89","52.89"
"307","52.43","52.43","52.43"
"308","52.79","52.79","52.79"
"309","54.01","54.01","54.01"
"310","54.61","54.61","54.61"
"311","52.73","52.73","52.73"
"312","55.14","55.14","55.14"
"313","54.24","54.24","54.24"
"314","55.19","55.19","55.19"
"315","54.68","54.68","54.68"
"316","55.85","55.85","55.85"
"317","53.91","53.91","53.91"
"318","53.87","53.87","53.87"
"319","54.67","54.67","54.67"
"320","54.98","54.98","54.98"
"321","55.11","55.11","55.11"
"322","54.68","54.68","54.68"
"323","54.87","54.87","54.87"
"324","55.92","55.92","55.92"
"325","53.36","53.36","53.36"
"326","55.46","55.46","55.46"
"327","54.68","54.68","54.68"
"328","56","56","56"
"329","54.68","54.68","54.68"
"330","53.76","53.76","53.76"
"331","55.72","55.72","55.72"
"332","55.31","55.31","55.31"
"333","55.6","55.6","55.6"
"334","56.95","56.95","56.95"
"335","54.22","54.22","54.22"
"336","54.75","54.75","54.75"
"337","55.92","55.92","55.92"
"338","56.79","56.79","56.79"
"339","56.26","56.26","56.26"
"340","56.61","56.61","56.61"
"341","56.71","56.71","56.71"
"342","57.79","57.79","57.79"
"343","56.03","56.03","56.03"
"344","55.73","55.73","55.73"
"345","55.84","55.84","55.84"
"346","57.05","57.05","57.05"
"347","54.92","54.92","54.92"
"348","56.18","56.18","56.18"
"349","57.18","57.18","57.18"
"350","55.77","55.77","55.77"
"351","57","57","57"
"352","56.41","56.41","56.41"
"353","57.59","57.59","57.59"
"354","56.04","56.04","56.04"
"355","55.75","55.75","55.75"
"356","55.3","55.3","55.3"
"357","58.34","58.34","58.34"
"358","57.04","57.04","57.04"
"359","55.25","55.25","55.25"
"360","55.81","55.81","55.81"
"361","57.09","57.09","57.09"
"362","56.6","56.6","56.6"
"363","56.45","56.45","56.45"
"364","57.79","57.79","57.79"
"365","56.73","56.73","56.73"
"366","56.56","56.56","56.56"
"367","55.68","55.68","55.68"
"368","57.36","57.36","57.36"
"369","56.97","56.97","56.97"
"370","57.7","57.7","57.7"
"371","56.88","56.88","56.88"
"372","56.76","56.76","56.76"
"373","56.69","56.69","56.69"
"374","55.71","55.71","55.71"
"375","58.15","58.15","58.15"
"376","56.44","56.44","56.44"
"377","56.75","56.75","56.75"
"378","56.94","56.94","56.94"
"379","56.33","56.33","56.33"
"380","56.48","56.48","56.48"
"381","56.83","56.83","56.83"
"382","55.6","55.6","55.6"
"383","56.54","56.54","56.54"
"384","56.72","56.72","56.72"
"385","57.22","57.22","57.22"
"386","55.15","55.15","55.15"
"387","57.15","57.15","57.15"
"388","55.41","55.41","55.41"
"389","56.23","56.23","56.23"
"390","55.94","55.94","55.94"
"391","56.67","56.67","56.67"
"392","56.91","56.91","56.91"
"393","57.8","57.8","57.8"
"394","55.05","55.05","55.05"
"395","56.6","56.6","56.6"
"396","56.91","56.91","56.91"
"397","57.11","57.11","57.11"
"398","56.7","56.7","56.7"
"399","55.9","55.9","55.9"
"400","55.53","55.53","55.53"
"401","58.09","58.09","58.09"
"402","56.42","56.42","56.42"
"403","57.29","57.29","57.29"
"404","57.06","57.06","57.06"
"405","57.11","57.11","57.11"
"406","57.33","57.33","57.33"
"407","56.24","56.24","56.24"
"408","55.76","55.76","55.76"
"409","57.28","57.28","57.28"
"410","57.21","57.21","57.21"
"411","55.8","55.8","55.8"
"412","56.97","56.97","56.97"
"413","57.45","57.45","57.45"
"414","56.7","56.7","56.7"
"415","57.18","57.18","57.18"
"416","58.78","58.78","58.78"
"417","58.59","58.59","58.59"
"418","55.72","55.72","55.72"
"419","58.06","58.06","58.06"
"420","57.93","57.93","57.93"
"421","57.43","57.43","57.43"
"422","55.83","55.83","55.83"
"423","56.54","56.54","56.54"
"424","56.73","56.73","56.73"
"425","57.69","57.69","57.69"
"426","57.72","57.72","57.72"
"427","57.16","57.16","57.16"
"428","57.37","57.37","57.37"
"429","57.77","57.77","57.77"
"430","57.42","57.42","57.42"
"431","57.3","57.3","57.3"
"432","56.04","56.04","56.04"
"433","57.29","57.29","57.29"
"434","58.8","58.8","58.8"
"435","57.2","57.2","57.2"
"436","56.95","56.95","56.95"
"437","56.09","56.09","56.09"
"438","58.59","58.59","58.59"
"439","55.43","55.43","55.43"
"440","57.77","57.77","57.77"
"441","57.17","57.17","57.17"
"442","56.62","56.62","56.62"
"443","56.55","56.55","56.55"
"444","57.49","57.49","57.49"
"445","57.46","57.46","57.46"
"446","57.81","57.81","57.81"
"447","59.24","59.24","59.24"
"448","57.88","57.88","57.88"
"449","57.26","57.26","57.26"
"450","57.09","57.09","57.09"
"451","57.36","57.36","57.36"
"452","58.01","58.01","58.01"
"453","58.06","58.06","58.06"
"454","56.02","56.02","56.02"
"455","57.68","57.68","57.68"
"456","58.27","58.27","58.27"
"457","58.07","58.07","58.07"
"458","58.06","58.06","58.06"
"459","57.38","57.38","57.38"
"460","57.33","57.33","57.33"
"461","56.1","56.1","56.1"
"462","58.23","58.23","58.23"
"463","56.87","56.87","56.87"
"464","58.16","58.16","58.16"
"465","58.36","58.36","58.36"
"466","57.44","57.44","57.44"
"467","58.16","58.16","58.16"
"468","57.44","57.44","57.44"
"469","58.45","58.45","58.45"
"470","57.3","57.3","57.3"
"471","60","60","60"
