"Step","benford2 - test_arithmetic_perfect","benford2 - test_arithmetic_perfect__MIN","benford2 - test_arithmetic_perfect__MAX"
"1568","72.88","72.88","72.88"
"1569","73.4","73.4","73.4"
"1570","73.99","73.99","73.99"
"1571","73.49","73.49","73.49"
"1572","72.87","72.87","72.87"
"1573","72.68","72.68","72.68"
"1574","72.97","72.97","72.97"
"1575","72.33","72.33","72.33"
"1576","73.39","73.39","73.39"
"1577","73.28","73.28","73.28"
"1578","72.21","72.21","72.21"
"1579","72.47","72.47","72.47"
"1580","72.78","72.78","72.78"
"1581","72.9","72.9","72.9"
"1582","73.01","73.01","73.01"
"1583","72.58","72.58","72.58"
"1584","74.08","74.08","74.08"
"1585","73","73","73"
"1586","72.72","72.72","72.72"
"1587","74.63","74.63","74.63"
"1588","73.71","73.71","73.71"
"1589","73.2","73.2","73.2"
"1590","73.86","73.86","73.86"
"1591","73.44","73.44","73.44"
"1592","74.62","74.62","74.62"
"1593","73.28","73.28","73.28"
"1594","73.84","73.84","73.84"
"1595","73.27","73.27","73.27"
"1596","73.97","73.97","73.97"
"1597","73.57","73.57","73.57"
"1598","73.78","73.78","73.78"
"1599","74.64","74.64","74.64"
"1600","74.55","74.55","74.55"
"1601","73.12","73.12","73.12"
"1602","73.01","73.01","73.01"
"1603","74.02","74.02","74.02"
"1604","73.99","73.99","73.99"
"1605","73.29","73.29","73.29"
"1606","73.71","73.71","73.71"
"1607","73.46","73.46","73.46"
"1608","73.11","73.11","73.11"
"1609","73.73","73.73","73.73"
"1610","74.93","74.93","74.93"
"1611","74.39","74.39","74.39"
"1612","72.96","72.96","72.96"
"1613","73.21","73.21","73.21"
"1614","74.08","74.08","74.08"
"1615","72.94","72.94","72.94"
"1616","74.29","74.29","74.29"
"1617","74.11","74.11","74.11"
"1618","73.32","73.32","73.32"
"1619","74.25","74.25","74.25"
"1620","73.84","73.84","73.84"
"1621","72.87","72.87","72.87"
"1622","72.5","72.5","72.5"
"1623","73.05","73.05","73.05"
"1624","73.7","73.7","73.7"
"1625","73.7","73.7","73.7"
"1626","73.49","73.49","73.49"
"1627","74.46","74.46","74.46"
"1628","73.28","73.28","73.28"
"1629","73.18","73.18","73.18"
"1630","73.85","73.85","73.85"
"1631","73.4","73.4","73.4"
"1632","73.02","73.02","73.02"
"1633","73.6","73.6","73.6"
"1634","72.61","72.61","72.61"
"1635","72.92","72.92","72.92"
"1636","72.53","72.53","72.53"
"1637","74.56","74.56","74.56"
"1638","73.42","73.42","73.42"
"1639","73.21","73.21","73.21"
"1640","72.73","72.73","72.73"
"1641","73.77","73.77","73.77"
"1642","72.83","72.83","72.83"
"1643","73.27","73.27","73.27"
"1644","73.43","73.43","73.43"
"1645","73.38","73.38","73.38"
"1646","73.34","73.34","73.34"
"1647","73.26","73.26","73.26"
"1648","72.7","72.7","72.7"
"1649","73.47","73.47","73.47"
"1650","73.28","73.28","73.28"
"1651","72.79","72.79","72.79"
"1652","73.78","73.78","73.78"
"1653","74.17","74.17","74.17"
"1654","74","74","74"
"1655","74.26","74.26","74.26"
"1656","72.69","72.69","72.69"
"1657","74.2","74.2","74.2"
"1658","73.29","73.29","73.29"
"1659","73.39","73.39","73.39"
"1660","72.74","72.74","72.74"
"1661","73.02","73.02","73.02"
"1662","74.28","74.28","74.28"
"1663","74.17","74.17","74.17"
"1664","73.6","73.6","73.6"
"1665","73.96","73.96","73.96"
"1666","73.66","73.66","73.66"
"1667","74.21","74.21","74.21"
"1668","73.57","73.57","73.57"
"1669","73.18","73.18","73.18"
"1670","74.44","74.44","74.44"
"1671","73.29","73.29","73.29"
"1672","72.98","72.98","72.98"
"1673","73.88","73.88","73.88"
"1674","73.66","73.66","73.66"
"1675","73.31","73.31","73.31"
"1676","73.32","73.32","73.32"
"1677","73.4","73.4","73.4"
"1678","74.02","74.02","74.02"
"1679","74.47","74.47","74.47"
"1680","74.57","74.57","74.57"
"1681","73.96","73.96","73.96"
"1682","74.57","74.57","74.57"
"1683","74.05","74.05","74.05"
"1684","74.58","74.58","74.58"
"1685","73.12","73.12","73.12"
"1686","73.46","73.46","73.46"
"1687","73.46","73.46","73.46"
"1688","74.29","74.29","74.29"
"1689","73.39","73.39","73.39"
"1690","73.16","73.16","73.16"
"1691","72.91","72.91","72.91"
"1692","74.09","74.09","74.09"
"1693","73.98","73.98","73.98"
"1694","74.27","74.27","74.27"
"1695","74.06","74.06","74.06"
"1696","73.88","73.88","73.88"
"1697","73.98","73.98","73.98"
"1698","73.9","73.9","73.9"
"1699","74.54","74.54","74.54"
"1700","74.25","74.25","74.25"
"1701","73.07","73.07","73.07"
"1702","74.69","74.69","74.69"
"1703","73.96","73.96","73.96"
"1704","74.54","74.54","74.54"
"1705","73.97","73.97","73.97"
"1706","72.95","72.95","72.95"
"1707","72.89","72.89","72.89"
"1708","74.24","74.24","74.24"
"1709","73.65","73.65","73.65"
"1710","73.45","73.45","73.45"
"1711","74.15","74.15","74.15"
"1712","73.08","73.08","73.08"
"1713","72.88","72.88","72.88"
"1714","73.91","73.91","73.91"
"1715","73.12","73.12","73.12"
"1716","73.53","73.53","73.53"
"1717","74.64","74.64","74.64"
"1718","74.45","74.45","74.45"
"1719","73.82","73.82","73.82"
"1720","74.87","74.87","74.87"
"1721","73.76","73.76","73.76"
"1722","73.79","73.79","73.79"
"1723","74.63","74.63","74.63"
"1724","72.53","72.53","72.53"
"1725","73.09","73.09","73.09"
"1726","74.11","74.11","74.11"
"1727","73.48","73.48","73.48"
"1728","73.41","73.41","73.41"
"1729","73.89","73.89","73.89"
"1730","74.68","74.68","74.68"
"1731","74.09","74.09","74.09"
"1732","74.65","74.65","74.65"
"1733","73.38","73.38","73.38"
"1734","74.24","74.24","74.24"
"1735","74.29","74.29","74.29"
"1736","73.97","73.97","73.97"
"1737","75.21","75.21","75.21"
"1738","73.87","73.87","73.87"
"1739","74.35","74.35","74.35"
"1740","74.85","74.85","74.85"
"1741","75.83","75.83","75.83"
"1742","74.53","74.53","74.53"
"1743","74.54","74.54","74.54"
"1744","75.59","75.59","75.59"
"1745","75.87","75.87","75.87"
"1746","75.18","75.18","75.18"
"1747","75.21","75.21","75.21"
"1748","76.77","76.77","76.77"
"1749","77.45","77.45","77.45"
"1750","77.37","77.37","77.37"
"1751","78.24","78.24","78.24"
"1752","77.55","77.55","77.55"
"1753","77.47","77.47","77.47"
"1754","76.54","76.54","76.54"
