"Step","base1279 - valid_arithmetic_perfect","base1279 - valid_arithmetic_perfect__MIN","base1279 - valid_arithmetic_perfect__MAX"
"0","9.27","9.27","9.27"
"1","13.61","13.61","13.61"
"2","15.87","15.87","15.87"
"3","19.21","19.21","19.21"
"4","24.15","24.15","24.15"
"5","24.3","24.3","24.3"
"6","24.43","24.43","24.43"
"7","24.57","24.57","24.57"
"8","25.5","25.5","25.5"
"9","24.77","24.77","24.77"
"10","24.82","24.82","24.82"
"11","25.32","25.32","25.32"
"12","27.02","27.02","27.02"
"13","25.21","25.21","25.21"
"14","26.69","26.69","26.69"
"15","26.31","26.31","26.31"
"16","27.88","27.88","27.88"
"17","27.03","27.03","27.03"
"18","27.86","27.86","27.86"
"19","28.14","28.14","28.14"
"20","30.13","30.13","30.13"
"21","31.61","31.61","31.61"
"22","31.58","31.58","31.58"
"23","32.63","32.63","32.63"
"24","33.29","33.29","33.29"
"25","34.17","34.17","34.17"
"26","33.19","33.19","33.19"
"27","32.87","32.87","32.87"
"28","33.35","33.35","33.35"
"29","34.43","34.43","34.43"
"30","35.08","35.08","35.08"
"31","33.89","33.89","33.89"
"32","34.74","34.74","34.74"
"33","33.03","33.03","33.03"
"34","34.89","34.89","34.89"
"35","35.03","35.03","35.03"
"36","34.52","34.52","34.52"
"37","33.76","33.76","33.76"
"38","34.52","34.52","34.52"
"39","34.63","34.63","34.63"
"40","34.83","34.83","34.83"
"41","34.09","34.09","34.09"
"42","34.87","34.87","34.87"
"43","34.42","34.42","34.42"
"44","34.03","34.03","34.03"
"45","34.09","34.09","34.09"
"46","34.12","34.12","34.12"
"47","34.79","34.79","34.79"
"48","35.23","35.23","35.23"
"49","33.46","33.46","33.46"
"50","34.72","34.72","34.72"
"51","34.69","34.69","34.69"
"52","34.37","34.37","34.37"
"53","34.68","34.68","34.68"
"54","33.48","33.48","33.48"
"55","34.72","34.72","34.72"
"56","34.47","34.47","34.47"
"57","34.43","34.43","34.43"
"58","33.87","33.87","33.87"
"59","34.35","34.35","34.35"
"60","34.72","34.72","34.72"
"61","34.29","34.29","34.29"
"62","34.07","34.07","34.07"
"63","35.14","35.14","35.14"
"64","34.48","34.48","34.48"
"65","33.63","33.63","33.63"
"66","33.66","33.66","33.66"
"67","34.4","34.4","34.4"
"68","34.72","34.72","34.72"
"69","34.18","34.18","34.18"
"70","34.14","34.14","34.14"
"71","34.55","34.55","34.55"
"72","34.87","34.87","34.87"
"73","33.64","33.64","33.64"
"74","35.19","35.19","35.19"
"75","35.99","35.99","35.99"
"76","34.68","34.68","34.68"
"77","34.78","34.78","34.78"
"78","34.17","34.17","34.17"
"79","34.69","34.69","34.69"
"80","35.48","35.48","35.48"
"81","34.45","34.45","34.45"
"82","36.22","36.22","36.22"
"83","35.61","35.61","35.61"
"84","35.85","35.85","35.85"
"85","36.7","36.7","36.7"
"86","36.01","36.01","36.01"
"87","37.81","37.81","37.81"
"88","37.59","37.59","37.59"
"89","36.28","36.28","36.28"
"90","37.42","37.42","37.42"
"91","36.95","36.95","36.95"
"92","37.59","37.59","37.59"
"93","37.31","37.31","37.31"
"94","37.43","37.43","37.43"
"95","37.85","37.85","37.85"
"96","37.16","37.16","37.16"
"97","36.68","36.68","36.68"
"98","37.4","37.4","37.4"
"99","37.58","37.58","37.58"
"100","37.2","37.2","37.2"
"101","38.1","38.1","38.1"
"102","38.13","38.13","38.13"
"103","37.99","37.99","37.99"
"104","37.74","37.74","37.74"
"105","38.89","38.89","38.89"
"106","38.26","38.26","38.26"
"107","39.27","39.27","39.27"
"108","38.32","38.32","38.32"
"109","39.45","39.45","39.45"
"110","40.25","40.25","40.25"
"111","41.22","41.22","41.22"
"112","42.09","42.09","42.09"
"113","41.9","41.9","41.9"
"114","42.69","42.69","42.69"
"115","42.28","42.28","42.28"
"116","42.69","42.69","42.69"
"117","43.04","43.04","43.04"
"118","43.44","43.44","43.44"
"119","42.99","42.99","42.99"
"120","44.33","44.33","44.33"
"121","43.52","43.52","43.52"
"122","43.05","43.05","43.05"
"123","43.09","43.09","43.09"
"124","42.95","42.95","42.95"
"125","43.4","43.4","43.4"
"126","42.79","42.79","42.79"
"127","43.46","43.46","43.46"
"128","42.76","42.76","42.76"
"129","42.41","42.41","42.41"
"130","42.9","42.9","42.9"
"131","42.64","42.64","42.64"
"132","42.79","42.79","42.79"
"133","42.18","42.18","42.18"
"134","43.64","43.64","43.64"
"135","42.09","42.09","42.09"
"136","43.01","43.01","43.01"
"137","42.2","42.2","42.2"
"138","42.33","42.33","42.33"
"139","42.78","42.78","42.78"
"140","42.8","42.8","42.8"
"141","42.77","42.77","42.77"
"142","43.03","43.03","43.03"
"143","42.94","42.94","42.94"
"144","43.79","43.79","43.79"
"145","42.73","42.73","42.73"
"146","43.09","43.09","43.09"
"147","42.64","42.64","42.64"
"148","43.29","43.29","43.29"
"149","42.45","42.45","42.45"
"150","43.19","43.19","43.19"
"151","42.86","42.86","42.86"
"152","42.03","42.03","42.03"
"153","42.92","42.92","42.92"
"154","43.02","43.02","43.02"
"155","42.44","42.44","42.44"
"156","42.73","42.73","42.73"
"157","43.06","43.06","43.06"
"158","42.67","42.67","42.67"
"159","42.25","42.25","42.25"
"160","43.01","43.01","43.01"
"161","43","43","43"
"162","43.41","43.41","43.41"
"163","42.59","42.59","42.59"
"164","43.6","43.6","43.6"
"165","42.68","42.68","42.68"
"166","43.72","43.72","43.72"
"167","42.7","42.7","42.7"
"168","43.16","43.16","43.16"
"169","42.61","42.61","42.61"
"170","42.27","42.27","42.27"
"171","42.5","42.5","42.5"
"172","43.46","43.46","43.46"
"173","42.9","42.9","42.9"
"174","43.3","43.3","43.3"
"175","43.13","43.13","43.13"
"176","43.27","43.27","43.27"
"177","43.79","43.79","43.79"
"178","43.4","43.4","43.4"
"179","43.15","43.15","43.15"
"180","43.08","43.08","43.08"
"181","43.71","43.71","43.71"
"182","43.32","43.32","43.32"
"183","44.13","44.13","44.13"
"184","43.82","43.82","43.82"
"185","43.28","43.28","43.28"
"186","43.75","43.75","43.75"
"187","43.23","43.23","43.23"
"188","44.38","44.38","44.38"
"189","44.29","44.29","44.29"
"190","43.63","43.63","43.63"
"191","44.32","44.32","44.32"
"192","45.13","45.13","45.13"
"193","45.23","45.23","45.23"
"194","44.94","44.94","44.94"
"195","44.54","44.54","44.54"
"196","44.74","44.74","44.74"
"197","45.48","45.48","45.48"
"198","45.32","45.32","45.32"
"199","45.56","45.56","45.56"
"200","44.78","44.78","44.78"
"201","45.24","45.24","45.24"
"202","44.06","44.06","44.06"
"203","45.19","45.19","45.19"
"204","44.27","44.27","44.27"
"205","44.53","44.53","44.53"
"206","45.41","45.41","45.41"
"207","44.64","44.64","44.64"
"208","44.67","44.67","44.67"
"209","45.64","45.64","45.64"
"210","45.22","45.22","45.22"
"211","45.21","45.21","45.21"
"212","45.23","45.23","45.23"
"213","45.52","45.52","45.52"
"214","46.04","46.04","46.04"
"215","44.81","44.81","44.81"
"216","45.69","45.69","45.69"
"217","45.14","45.14","45.14"
"218","45.92","45.92","45.92"
"219","45.08","45.08","45.08"
"220","44.99","44.99","44.99"
"221","46.38","46.38","46.38"
"222","45.59","45.59","45.59"
"223","45.6","45.6","45.6"
"224","45.59","45.59","45.59"
"225","45.02","45.02","45.02"
"226","44.88","44.88","44.88"
"227","45.65","45.65","45.65"
"228","44.18","44.18","44.18"
"229","46.46","46.46","46.46"
"230","45.99","45.99","45.99"
"231","45.74","45.74","45.74"
"232","45.52","45.52","45.52"
"233","45.34","45.34","45.34"
"234","45.76","45.76","45.76"
"235","45.36","45.36","45.36"
"236","44.8","44.8","44.8"
"237","46.43","46.43","46.43"
"238","46.48","46.48","46.48"
"239","45.52","45.52","45.52"
"240","45.51","45.51","45.51"
"241","45.66","45.66","45.66"
"242","44.04","44.04","44.04"
"243","45.49","45.49","45.49"
"244","46.18","46.18","46.18"
"245","46.21","46.21","46.21"
"246","46.15","46.15","46.15"
"247","45.78","45.78","45.78"
"248","43.94","43.94","43.94"
"249","45.93","45.93","45.93"
"250","46.05","46.05","46.05"
"251","46.04","46.04","46.04"
"252","45.7","45.7","45.7"
"253","46.54","46.54","46.54"
"254","46.21","46.21","46.21"
"255","45.93","45.93","45.93"
"256","46.55","46.55","46.55"
"257","46.41","46.41","46.41"
"258","46.23","46.23","46.23"
"259","46.37","46.37","46.37"
"260","45.56","45.56","45.56"
"261","46.74","46.74","46.74"
"262","46.55","46.55","46.55"
"263","47.38","47.38","47.38"
"264","45.97","45.97","45.97"
"265","46.42","46.42","46.42"
"266","46.94","46.94","46.94"
"267","46.99","46.99","46.99"
"268","46.67","46.67","46.67"
"269","46.18","46.18","46.18"
"270","46.48","46.48","46.48"
"271","47.31","47.31","47.31"
"272","47.49","47.49","47.49"
"273","46.64","46.64","46.64"
"274","46.11","46.11","46.11"
"275","46.63","46.63","46.63"
"276","47.91","47.91","47.91"
"277","46.19","46.19","46.19"
"278","47.24","47.24","47.24"
"279","46.78","46.78","46.78"
"280","47.05","47.05","47.05"
"281","47.02","47.02","47.02"
"282","46.72","46.72","46.72"
"283","46.32","46.32","46.32"
"284","47.1","47.1","47.1"
"285","46.78","46.78","46.78"
"286","47.17","47.17","47.17"
"287","47.07","47.07","47.07"
"288","47.46","47.46","47.46"
"289","48.18","48.18","48.18"
"290","47.36","47.36","47.36"
"291","46.82","46.82","46.82"
"292","46.8","46.8","46.8"
"293","47.35","47.35","47.35"
"294","47.59","47.59","47.59"
"295","46.84","46.84","46.84"
"296","47.05","47.05","47.05"
"297","47.48","47.48","47.48"
"298","47.24","47.24","47.24"
"299","46.88","46.88","46.88"
"300","48.12","48.12","48.12"
"301","47.96","47.96","47.96"
"302","47.3","47.3","47.3"
"303","46.97","46.97","46.97"
"304","47.54","47.54","47.54"
"305","47.51","47.51","47.51"
"306","47.34","47.34","47.34"
"307","47.95","47.95","47.95"
"308","47.49","47.49","47.49"
"309","48.59","48.59","48.59"
"310","47.51","47.51","47.51"
"311","47.7","47.7","47.7"
"312","47.37","47.37","47.37"
"313","48.3","48.3","48.3"
"314","48.94","48.94","48.94"
"315","48.28","48.28","48.28"
"316","47.55","47.55","47.55"
"317","47.46","47.46","47.46"
"318","47.95","47.95","47.95"
"319","47.73","47.73","47.73"
"320","47.61","47.61","47.61"
"321","48.1","48.1","48.1"
"322","48","48","48"
"323","47.22","47.22","47.22"
"324","46.78","46.78","46.78"
"325","47.27","47.27","47.27"
"326","47.08","47.08","47.08"
"327","47.25","47.25","47.25"
"328","48.02","48.02","48.02"
"329","48.34","48.34","48.34"
"330","47.06","47.06","47.06"
"331","49.35","49.35","49.35"
"332","47.72","47.72","47.72"
"333","46.96","46.96","46.96"
"334","48.43","48.43","48.43"
