"Step","base1013 - test_arithmetic_perfect","base1013 - test_arithmetic_perfect__MIN","base1013 - test_arithmetic_perfect__MAX"
"196","41.09","41.09","41.09"
"197","39.9","39.9","39.9"
"198","39.71","39.71","39.71"
"199","40.96","40.96","40.96"
"200","39.63","39.63","39.63"
"201","39.94","39.94","39.94"
"202","39.34","39.34","39.34"
"203","39.17","39.17","39.17"
"204","40.51","40.51","40.51"
"205","40.12","40.12","40.12"
"206","40.36","40.36","40.36"
"207","39.15","39.15","39.15"
"208","40.69","40.69","40.69"
"209","40.64","40.64","40.64"
"210","40.34","40.34","40.34"
"211","41.16","41.16","41.16"
"212","40.42","40.42","40.42"
"213","40.81","40.81","40.81"
"214","40.62","40.62","40.62"
"215","40.73","40.73","40.73"
"216","41.34","41.34","41.34"
"217","40.58","40.58","40.58"
"218","40.52","40.52","40.52"
"219","41.5","41.5","41.5"
"220","40.86","40.86","40.86"
"221","39.86","39.86","39.86"
"222","40.41","40.41","40.41"
"223","41.16","41.16","41.16"
"224","40.42","40.42","40.42"
"225","40.01","40.01","40.01"
"226","40.24","40.24","40.24"
"227","40.8","40.8","40.8"
"228","41.5","41.5","41.5"
"229","39.55","39.55","39.55"
"230","40.81","40.81","40.81"
"231","39.71","39.71","39.71"
"232","40.63","40.63","40.63"
"233","39.44","39.44","39.44"
"234","41.68","41.68","41.68"
"235","40.39","40.39","40.39"
"236","40.61","40.61","40.61"
"237","39.95","39.95","39.95"
"238","40.19","40.19","40.19"
"239","41.03","41.03","41.03"
"240","40.62","40.62","40.62"
"241","40.89","40.89","40.89"
"242","40.81","40.81","40.81"
"243","42.08","42.08","42.08"
"244","40","40","40"
"245","41.48","41.48","41.48"
"246","41.68","41.68","41.68"
"247","42.52","42.52","42.52"
"248","42.55","42.55","42.55"
"249","42.53","42.53","42.53"
"250","40.79","40.79","40.79"
"251","41.38","41.38","41.38"
"252","42.45","42.45","42.45"
"253","43.36","43.36","43.36"
"254","41.93","41.93","41.93"
"255","41.9","41.9","41.9"
"256","42.51","42.51","42.51"
"257","43.2","43.2","43.2"
"258","43.85","43.85","43.85"
"259","43.83","43.83","43.83"
"260","43.41","43.41","43.41"
"261","42.69","42.69","42.69"
"262","42.65","42.65","42.65"
"263","43.28","43.28","43.28"
"264","43.33","43.33","43.33"
"265","43.98","43.98","43.98"
"266","41.99","41.99","41.99"
"267","42.95","42.95","42.95"
"268","41.73","41.73","41.73"
"269","43.46","43.46","43.46"
"270","43.3","43.3","43.3"
"271","42.49","42.49","42.49"
"272","43.67","43.67","43.67"
"273","42.82","42.82","42.82"
"274","44.24","44.24","44.24"
"275","43.83","43.83","43.83"
"276","42.78","42.78","42.78"
"277","42.68","42.68","42.68"
"278","43.56","43.56","43.56"
"279","43.11","43.11","43.11"
"280","43.69","43.69","43.69"
"281","42.3","42.3","42.3"
"282","43.17","43.17","43.17"
"283","43.51","43.51","43.51"
"284","43.01","43.01","43.01"
"285","42.44","42.44","42.44"
"286","43.57","43.57","43.57"
"287","43.14","43.14","43.14"
"288","44.11","44.11","44.11"
"289","41.89","41.89","41.89"
"290","43.74","43.74","43.74"
"291","43.85","43.85","43.85"
"292","43.85","43.85","43.85"
"293","43.31","43.31","43.31"
"294","44.44","44.44","44.44"
"295","43.23","43.23","43.23"
"296","44.33","44.33","44.33"
"297","43.73","43.73","43.73"
"298","44.01","44.01","44.01"
"299","43.44","43.44","43.44"
"300","42.9","42.9","42.9"
"301","41.76","41.76","41.76"
"302","42.98","42.98","42.98"
"303","44.34","44.34","44.34"
"304","44.01","44.01","44.01"
"305","44","44","44"
"306","43.95","43.95","43.95"
"307","44.17","44.17","44.17"
"308","42.54","42.54","42.54"
"309","42.89","42.89","42.89"
"310","43.73","43.73","43.73"
"311","43.45","43.45","43.45"
"312","43.74","43.74","43.74"
"313","44.65","44.65","44.65"
"314","43.46","43.46","43.46"
"315","44.83","44.83","44.83"
"316","43.91","43.91","43.91"
"317","44.51","44.51","44.51"
"318","42.65","42.65","42.65"
"319","43.64","43.64","43.64"
"320","43.48","43.48","43.48"
"321","44.54","44.54","44.54"
"322","43.53","43.53","43.53"
"323","44.1","44.1","44.1"
"324","44.57","44.57","44.57"
"325","44.3","44.3","44.3"
"326","44.92","44.92","44.92"
"327","44.06","44.06","44.06"
"328","45.09","45.09","45.09"
"329","43.84","43.84","43.84"
"330","44.82","44.82","44.82"
"331","44.9","44.9","44.9"
"332","43.95","43.95","43.95"
"333","43.94","43.94","43.94"
"334","45.67","45.67","45.67"
"335","44.59","44.59","44.59"
"336","44.82","44.82","44.82"
"337","45.68","45.68","45.68"
"338","44.3","44.3","44.3"
"339","45.29","45.29","45.29"
"340","46.07","46.07","46.07"
"341","44.55","44.55","44.55"
"342","45.42","45.42","45.42"
"343","45.29","45.29","45.29"
"344","45.71","45.71","45.71"
"345","46.55","46.55","46.55"
"346","46.45","46.45","46.45"
"347","46.42","46.42","46.42"
"348","45.69","45.69","45.69"
"349","46.16","46.16","46.16"
"350","46.46","46.46","46.46"
"351","48.02","48.02","48.02"
"352","46.74","46.74","46.74"
"353","47.75","47.75","47.75"
"354","48.64","48.64","48.64"
"355","48.84","48.84","48.84"
"356","48.7","48.7","48.7"
"357","47.66","47.66","47.66"
