"Step","base999 - test_arithmetic_perfect","base999 - test_arithmetic_perfect__MIN","base999 - test_arithmetic_perfect__MAX"
"197","46.56","46.56","46.56"
"198","46.83","46.83","46.83"
"199","47.34","47.34","47.34"
"200","47.01","47.01","47.01"
"201","47.35","47.35","47.35"
"202","46.99","46.99","46.99"
"203","46.68","46.68","46.68"
"204","47.36","47.36","47.36"
"205","47.38","47.38","47.38"
"206","48.52","48.52","48.52"
"207","46.96","46.96","46.96"
"208","47.61","47.61","47.61"
"209","47.85","47.85","47.85"
"210","47.27","47.27","47.27"
"211","48.33","48.33","48.33"
"212","46.74","46.74","46.74"
"213","47.77","47.77","47.77"
"214","46.86","46.86","46.86"
"215","48.75","48.75","48.75"
"216","46.47","46.47","46.47"
"217","45.71","45.71","45.71"
"218","48.36","48.36","48.36"
"219","47.55","47.55","47.55"
"220","47.7","47.7","47.7"
"221","46.19","46.19","46.19"
"222","47.27","47.27","47.27"
"223","47.54","47.54","47.54"
"224","47.09","47.09","47.09"
"225","47.94","47.94","47.94"
"226","46.98","46.98","46.98"
"227","47.66","47.66","47.66"
"228","47.54","47.54","47.54"
"229","46.44","46.44","46.44"
"230","47.93","47.93","47.93"
"231","47.06","47.06","47.06"
"232","47.19","47.19","47.19"
"233","48.22","48.22","48.22"
"234","46.69","46.69","46.69"
"235","47.82","47.82","47.82"
"236","47.53","47.53","47.53"
"237","47.29","47.29","47.29"
"238","47.05","47.05","47.05"
"239","46.97","46.97","46.97"
"240","47.19","47.19","47.19"
"241","48.54","48.54","48.54"
"242","48.15","48.15","48.15"
"243","47.28","47.28","47.28"
"244","46.78","46.78","46.78"
"245","48.5","48.5","48.5"
"246","48.07","48.07","48.07"
"247","49.08","49.08","49.08"
"248","48.6","48.6","48.6"
"249","47.07","47.07","47.07"
"250","47.02","47.02","47.02"
"251","47.87","47.87","47.87"
"252","47.82","47.82","47.82"
"253","47.95","47.95","47.95"
"254","47.93","47.93","47.93"
"255","47.97","47.97","47.97"
"256","48.11","48.11","48.11"
"257","48.3","48.3","48.3"
"258","49.81","49.81","49.81"
"259","49.27","49.27","49.27"
"260","50.19","50.19","50.19"
"261","49.53","49.53","49.53"
"262","48.75","48.75","48.75"
"263","50.18","50.18","50.18"
"264","49.42","49.42","49.42"
"265","50.79","50.79","50.79"
"266","49.11","49.11","49.11"
"267","51.27","51.27","51.27"
"268","49.03","49.03","49.03"
"269","50.21","50.21","50.21"
"270","50.04","50.04","50.04"
"271","50.8","50.8","50.8"
"272","51.25","51.25","51.25"
"273","50.4","50.4","50.4"
"274","51.13","51.13","51.13"
"275","49.26","49.26","49.26"
"276","49.62","49.62","49.62"
"277","49.65","49.65","49.65"
"278","50.3","50.3","50.3"
"279","51.52","51.52","51.52"
"280","49.83","49.83","49.83"
"281","50.2","50.2","50.2"
"282","49.85","49.85","49.85"
"283","49.54","49.54","49.54"
"284","49.08","49.08","49.08"
"285","49.44","49.44","49.44"
"286","49.82","49.82","49.82"
"287","49.24","49.24","49.24"
"288","50.46","50.46","50.46"
"289","50.24","50.24","50.24"
"290","50.61","50.61","50.61"
"291","51.07","51.07","51.07"
"292","50.8","50.8","50.8"
"293","49.73","49.73","49.73"
"294","50.32","50.32","50.32"
"295","50.09","50.09","50.09"
"296","51.82","51.82","51.82"
"297","49.97","49.97","49.97"
"298","50.85","50.85","50.85"
"299","50.18","50.18","50.18"
"300","50.01","50.01","50.01"
"301","51.2","51.2","51.2"
"302","50.23","50.23","50.23"
"303","51.98","51.98","51.98"
"304","52.06","52.06","52.06"
"305","52.58","52.58","52.58"
"306","52","52","52"
"307","52.19","52.19","52.19"
"308","51.29","51.29","51.29"
"309","51.03","51.03","51.03"
"310","50.9","50.9","50.9"
"311","51.55","51.55","51.55"
"312","52.24","52.24","52.24"
"313","51","51","51"
"314","50.9","50.9","50.9"
"315","52.34","52.34","52.34"
"316","52.21","52.21","52.21"
"317","52.21","52.21","52.21"
"318","51.44","51.44","51.44"
"319","52.04","52.04","52.04"
"320","52.45","52.45","52.45"
"321","52.85","52.85","52.85"
"322","53.23","53.23","53.23"
"323","53.41","53.41","53.41"
"324","52.51","52.51","52.51"
"325","53.59","53.59","53.59"
"326","54.68","54.68","54.68"
"327","53.09","53.09","53.09"
"328","53.45","53.45","53.45"
"329","52.94","52.94","52.94"
"330","54.22","54.22","54.22"
"331","53.51","53.51","53.51"
"332","53.31","53.31","53.31"
"333","54.13","54.13","54.13"
"334","54.88","54.88","54.88"
"335","54.45","54.45","54.45"
"336","54.49","54.49","54.49"
"337","54.77","54.77","54.77"
"338","55.07","55.07","55.07"
"339","55.47","55.47","55.47"
"340","55.56","55.56","55.56"
"341","55.44","55.44","55.44"
"342","55.6","55.6","55.6"
"343","54.95","54.95","54.95"
"344","55.79","55.79","55.79"
"345","56.06","56.06","56.06"
"346","55.75","55.75","55.75"
"347","55.74","55.74","55.74"
"348","55.4","55.4","55.4"
"349","56.16","56.16","56.16"
"350","55.28","55.28","55.28"
"351","56.43","56.43","56.43"
"352","55.96","55.96","55.96"
"353","55.87","55.87","55.87"
"354","55.96","55.96","55.96"
"355","55.45","55.45","55.45"
"356","55.26","55.26","55.26"
"357","55.55","55.55","55.55"
"358","55.46","55.46","55.46"
"359","55.31","55.31","55.31"
"360","55.5","55.5","55.5"
"361","56.09","56.09","56.09"
"362","55.98","55.98","55.98"
"363","55.48","55.48","55.48"
"364","56.74","56.74","56.74"
"365","56.33","56.33","56.33"
"366","55.94","55.94","55.94"
"367","56.3","56.3","56.3"
"368","55.65","55.65","55.65"
"369","56.1","56.1","56.1"
"370","57.01","57.01","57.01"
"371","56.85","56.85","56.85"
"372","56.32","56.32","56.32"
"373","56.05","56.05","56.05"
"374","55.74","55.74","55.74"
"375","55.1","55.1","55.1"
"376","56.19","56.19","56.19"
"377","56.64","56.64","56.64"
"378","55.58","55.58","55.58"
"379","56.65","56.65","56.65"
"380","55.69","55.69","55.69"
"381","56.75","56.75","56.75"
"382","56.05","56.05","56.05"
"383","56.94","56.94","56.94"
"384","56.37","56.37","56.37"
"385","56.35","56.35","56.35"
"386","56.85","56.85","56.85"
"387","55.74","55.74","55.74"
"388","56.76","56.76","56.76"
"389","56.15","56.15","56.15"
"390","56.36","56.36","56.36"
"391","56.65","56.65","56.65"
"392","56.2","56.2","56.2"
"393","56.76","56.76","56.76"
"394","55.95","55.95","55.95"
"395","56.76","56.76","56.76"
"396","56.19","56.19","56.19"
"397","56.09","56.09","56.09"
"398","55.71","55.71","55.71"
"399","56.45","56.45","56.45"
"400","55.87","55.87","55.87"
"401","57.26","57.26","57.26"
"402","57.1","57.1","57.1"
"403","56.44","56.44","56.44"
"404","56.56","56.56","56.56"
"405","55.99","55.99","55.99"
"406","57.32","57.32","57.32"
"407","57.42","57.42","57.42"
"408","57.62","57.62","57.62"
"409","56.45","56.45","56.45"
"410","56.57","56.57","56.57"
"411","57.16","57.16","57.16"
