"Step","base1279 - test_arithmetic_perfect","base1279 - test_arithmetic_perfect__MIN","base1279 - test_arithmetic_perfect__MAX"
"226","41.34","41.34","41.34"
"227","41.57","41.57","41.57"
"228","42.82","42.82","42.82"
"229","41.58","41.58","41.58"
"230","42.58","42.58","42.58"
"231","41.88","41.88","41.88"
"232","41.88","41.88","41.88"
"233","40.52","40.52","40.52"
"234","42.22","42.22","42.22"
"235","40.94","40.94","40.94"
"236","42.17","42.17","42.17"
"237","41.68","41.68","41.68"
"238","41.28","41.28","41.28"
"239","41.49","41.49","41.49"
"240","41.29","41.29","41.29"
"241","41.18","41.18","41.18"
"242","42.06","42.06","42.06"
"243","42.36","42.36","42.36"
"244","40.47","40.47","40.47"
"245","42.06","42.06","42.06"
"246","42.18","42.18","42.18"
"247","42.71","42.71","42.71"
"248","42.05","42.05","42.05"
"249","42.34","42.34","42.34"
"250","41.69","41.69","41.69"
"251","41.58","41.58","41.58"
"252","41.93","41.93","41.93"
"253","43.5","43.5","43.5"
"254","41.86","41.86","41.86"
"255","42.66","42.66","42.66"
"256","42.22","42.22","42.22"
"257","43.43","43.43","43.43"
"258","44.44","44.44","44.44"
"259","43.98","43.98","43.98"
"260","44.41","44.41","44.41"
"261","43.29","43.29","43.29"
"262","43.06","43.06","43.06"
"263","42.95","42.95","42.95"
"264","43.1","43.1","43.1"
"265","44.53","44.53","44.53"
"266","42.36","42.36","42.36"
"267","42.61","42.61","42.61"
"268","42.31","42.31","42.31"
"269","43.35","43.35","43.35"
"270","42.86","42.86","42.86"
"271","43.91","43.91","43.91"
"272","44.46","44.46","44.46"
"273","44.17","44.17","44.17"
"274","43.91","43.91","43.91"
"275","43.52","43.52","43.52"
"276","42.95","42.95","42.95"
"277","43.43","43.43","43.43"
"278","43.85","43.85","43.85"
"279","44.44","44.44","44.44"
"280","43.94","43.94","43.94"
"281","43.34","43.34","43.34"
"282","44","44","44"
"283","44.21","44.21","44.21"
"284","44.14","44.14","44.14"
"285","44.5","44.5","44.5"
"286","44.52","44.52","44.52"
"287","43.62","43.62","43.62"
"288","44.43","44.43","44.43"
"289","44.02","44.02","44.02"
"290","44.54","44.54","44.54"
"291","44.39","44.39","44.39"
"292","44.71","44.71","44.71"
"293","44.21","44.21","44.21"
"294","44.13","44.13","44.13"
"295","44.05","44.05","44.05"
"296","45.24","45.24","45.24"
"297","44.2","44.2","44.2"
"298","44.41","44.41","44.41"
"299","44.06","44.06","44.06"
"300","43.45","43.45","43.45"
"301","43.4","43.4","43.4"
"302","43.38","43.38","43.38"
"303","45.72","45.72","45.72"
"304","45.45","45.45","45.45"
"305","45.34","45.34","45.34"
"306","45.04","45.04","45.04"
"307","43.48","43.48","43.48"
"308","43.64","43.64","43.64"
"309","44.23","44.23","44.23"
"310","43.43","43.43","43.43"
"311","43.46","43.46","43.46"
"312","44.87","44.87","44.87"
"313","44.52","44.52","44.52"
"314","43.26","43.26","43.26"
"315","44.53","44.53","44.53"
"316","44.86","44.86","44.86"
"317","44.6","44.6","44.6"
"318","43.42","43.42","43.42"
"319","43.83","43.83","43.83"
"320","44.19","44.19","44.19"
"321","44.55","44.55","44.55"
"322","43.83","43.83","43.83"
"323","44.5","44.5","44.5"
"324","44.08","44.08","44.08"
"325","45.21","45.21","45.21"
"326","44","44","44"
"327","44.05","44.05","44.05"
"328","44.66","44.66","44.66"
"329","43.81","43.81","43.81"
"330","45.12","45.12","45.12"
"331","45.09","45.09","45.09"
"332","44.02","44.02","44.02"
"333","44.98","44.98","44.98"
"334","45.37","45.37","45.37"
