"Step","base1279 - test_arithmetic_perfect","base1279 - test_arithmetic_perfect__MIN","base1279 - test_arithmetic_perfect__MAX"
"0","12.33","12.33","12.33"
"1","15.62","15.62","15.62"
"2","17.39","17.39","17.39"
"3","21.42","21.42","21.42"
"4","22.54","22.54","22.54"
"5","24.89","24.89","24.89"
"6","25.08","25.08","25.08"
"7","25.27","25.27","25.27"
"8","24.51","24.51","24.51"
"9","26.55","26.55","26.55"
"10","25.21","25.21","25.21"
"11","26.5","26.5","26.5"
"12","26.61","26.61","26.61"
"13","25.24","25.24","25.24"
"14","25.67","25.67","25.67"
"15","26.18","26.18","26.18"
"16","28.61","28.61","28.61"
"17","27.84","27.84","27.84"
"18","26.04","26.04","26.04"
"19","29.44","29.44","29.44"
"20","28.6","28.6","28.6"
"21","30.02","30.02","30.02"
"22","30.12","30.12","30.12"
"23","33.06","33.06","33.06"
"24","31.56","31.56","31.56"
"25","30.86","30.86","30.86"
"26","30.1","30.1","30.1"
"27","30.48","30.48","30.48"
"28","31.47","31.47","31.47"
"29","32.45","32.45","32.45"
"30","34.31","34.31","34.31"
"31","33.25","33.25","33.25"
"32","33.31","33.31","33.31"
"33","32.09","32.09","32.09"
"34","33.97","33.97","33.97"
"35","32.03","32.03","32.03"
"36","32.92","32.92","32.92"
"37","32.56","32.56","32.56"
"38","34.9","34.9","34.9"
"39","33.43","33.43","33.43"
"40","33.43","33.43","33.43"
"41","33.47","33.47","33.47"
"42","32.13","32.13","32.13"
"43","31.29","31.29","31.29"
"44","31.86","31.86","31.86"
"45","33.71","33.71","33.71"
"46","33.47","33.47","33.47"
"47","31.95","31.95","31.95"
"48","32.59","32.59","32.59"
"49","32.78","32.78","32.78"
"50","33.34","33.34","33.34"
"51","33.78","33.78","33.78"
"52","34.27","34.27","34.27"
"53","32.95","32.95","32.95"
"54","34.59","34.59","34.59"
"55","31.89","31.89","31.89"
"56","34.28","34.28","34.28"
"57","34.12","34.12","34.12"
"58","35.37","35.37","35.37"
"59","33.81","33.81","33.81"
"60","33.12","33.12","33.12"
"61","35.48","35.48","35.48"
"62","32.74","32.74","32.74"
"63","34.43","34.43","34.43"
"64","34.04","34.04","34.04"
"65","34.03","34.03","34.03"
"66","35.18","35.18","35.18"
"67","33.42","33.42","33.42"
"68","34.96","34.96","34.96"
"69","32.66","32.66","32.66"
"70","34.79","34.79","34.79"
"71","34.67","34.67","34.67"
"72","33.73","33.73","33.73"
"73","33.9","33.9","33.9"
"74","33.1","33.1","33.1"
"75","34.21","34.21","34.21"
"76","33.02","33.02","33.02"
"77","33.74","33.74","33.74"
"78","33.7","33.7","33.7"
"79","34.66","34.66","34.66"
"80","33.54","33.54","33.54"
"81","34.85","34.85","34.85"
"82","35.46","35.46","35.46"
"83","36.37","36.37","36.37"
"84","35.83","35.83","35.83"
"85","33.54","33.54","33.54"
"86","36.83","36.83","36.83"
"87","35.45","35.45","35.45"
"88","35.26","35.26","35.26"
"89","34.65","34.65","34.65"
"90","34.35","34.35","34.35"
"91","35.45","35.45","35.45"
"92","36.61","36.61","36.61"
"93","36.77","36.77","36.77"
"94","36.7","36.7","36.7"
"95","37.2","37.2","37.2"
"96","35.92","35.92","35.92"
"97","36.32","36.32","36.32"
"98","35.63","35.63","35.63"
"99","37.3","37.3","37.3"
"100","36.99","36.99","36.99"
"101","36.25","36.25","36.25"
"102","36.52","36.52","36.52"
"103","36.5","36.5","36.5"
"104","36.87","36.87","36.87"
"105","36.5","36.5","36.5"
"106","38.18","38.18","38.18"
"107","37.11","37.11","37.11"
"108","38.08","38.08","38.08"
"109","38.02","38.02","38.02"
"110","38.67","38.67","38.67"
"111","39.07","39.07","39.07"
"112","37.83","37.83","37.83"
"113","39.39","39.39","39.39"
"114","39.54","39.54","39.54"
"115","39.43","39.43","39.43"
"116","39.81","39.81","39.81"
"117","38.84","38.84","38.84"
"118","39.87","39.87","39.87"
"119","40.75","40.75","40.75"
"120","38.68","38.68","38.68"
"121","38.86","38.86","38.86"
"122","38.75","38.75","38.75"
"123","39.47","39.47","39.47"
"124","39.08","39.08","39.08"
"125","39.84","39.84","39.84"
"126","39.13","39.13","39.13"
"127","39.04","39.04","39.04"
"128","40.72","40.72","40.72"
"129","40.54","40.54","40.54"
"130","40.22","40.22","40.22"
"131","40.42","40.42","40.42"
"132","40.04","40.04","40.04"
"133","40.57","40.57","40.57"
"134","40.12","40.12","40.12"
"135","39.73","39.73","39.73"
"136","39.63","39.63","39.63"
"137","38.8","38.8","38.8"
"138","39.46","39.46","39.46"
"139","39.01","39.01","39.01"
"140","37.86","37.86","37.86"
"141","39.22","39.22","39.22"
"142","39.66","39.66","39.66"
"143","40.31","40.31","40.31"
"144","38.94","38.94","38.94"
"145","39.16","39.16","39.16"
"146","39.03","39.03","39.03"
"147","39.46","39.46","39.46"
"148","39.55","39.55","39.55"
"149","38.59","38.59","38.59"
"150","38.13","38.13","38.13"
"151","39.05","39.05","39.05"
"152","39.11","39.11","39.11"
"153","40.2","40.2","40.2"
"154","40.32","40.32","40.32"
"155","39.25","39.25","39.25"
"156","40.29","40.29","40.29"
"157","38.82","38.82","38.82"
"158","38.72","38.72","38.72"
"159","40.87","40.87","40.87"
"160","39.4","39.4","39.4"
"161","39.73","39.73","39.73"
"162","39.1","39.1","39.1"
"163","38.84","38.84","38.84"
"164","39.91","39.91","39.91"
"165","39.77","39.77","39.77"
"166","38.98","38.98","38.98"
"167","39.62","39.62","39.62"
"168","40.04","40.04","40.04"
"169","39.92","39.92","39.92"
"170","39.88","39.88","39.88"
"171","38.94","38.94","38.94"
"172","40.32","40.32","40.32"
"173","39.28","39.28","39.28"
"174","39.44","39.44","39.44"
"175","40.23","40.23","40.23"
"176","39.84","39.84","39.84"
"177","38.96","38.96","38.96"
"178","39.71","39.71","39.71"
"179","40.79","40.79","40.79"
"180","39.63","39.63","39.63"
"181","40.5","40.5","40.5"
"182","39.99","39.99","39.99"
"183","40.4","40.4","40.4"
"184","40.86","40.86","40.86"
"185","40.59","40.59","40.59"
"186","40.79","40.79","40.79"
"187","40.76","40.76","40.76"
"188","41.09","41.09","41.09"
"189","40.59","40.59","40.59"
"190","40.86","40.86","40.86"
"191","41.87","41.87","41.87"
"192","41.98","41.98","41.98"
"193","41.75","41.75","41.75"
"194","41.61","41.61","41.61"
"195","41.84","41.84","41.84"
"196","42.56","42.56","42.56"
"197","41.6","41.6","41.6"
"198","42.85","42.85","42.85"
"199","42.64","42.64","42.64"
"200","41.11","41.11","41.11"
"201","40.43","40.43","40.43"
"202","41.89","41.89","41.89"
"203","42.1","42.1","42.1"
"204","42.4","42.4","42.4"
"205","42.57","42.57","42.57"
"206","42.66","42.66","42.66"
"207","40.62","40.62","40.62"
"208","41.82","41.82","41.82"
"209","41.62","41.62","41.62"
"210","41.84","41.84","41.84"
"211","42.71","42.71","42.71"
"212","40.93","40.93","40.93"
"213","42.07","42.07","42.07"
"214","41.25","41.25","41.25"
"215","41.43","41.43","41.43"
"216","41.67","41.67","41.67"
"217","41.61","41.61","41.61"
"218","41.96","41.96","41.96"
"219","42.47","42.47","42.47"
"220","42.18","42.18","42.18"
"221","40.44","40.44","40.44"
"222","42.64","42.64","42.64"
"223","42.48","42.48","42.48"
"224","41.22","41.22","41.22"
"225","41.71","41.71","41.71"
