"Step","base1013 - test_arithmetic_perfect","base1013 - test_arithmetic_perfect__MIN","base1013 - test_arithmetic_perfect__MAX"
"358","47.96","47.96","47.96"
"359","48.57","48.57","48.57"
"360","48.25","48.25","48.25"
"361","49.19","49.19","49.19"
"362","49.85","49.85","49.85"
"363","49.74","49.74","49.74"
"364","48.71","48.71","48.71"
"365","49.6","49.6","49.6"
"366","49.77","49.77","49.77"
"367","50.42","50.42","50.42"
"368","49.52","49.52","49.52"
"369","50.65","50.65","50.65"
"370","49.49","49.49","49.49"
"371","48.99","48.99","48.99"
"372","50.07","50.07","50.07"
"373","49.22","49.22","49.22"
"374","49.48","49.48","49.48"
"375","49.2","49.2","49.2"
"376","49.88","49.88","49.88"
"377","49.18","49.18","49.18"
"378","48.92","48.92","48.92"
"379","49.6","49.6","49.6"
"380","50.41","50.41","50.41"
"381","49.75","49.75","49.75"
"382","48.74","48.74","48.74"
"383","48.32","48.32","48.32"
"384","50.54","50.54","50.54"
"385","49.81","49.81","49.81"
"386","49.71","49.71","49.71"
"387","50.47","50.47","50.47"
"388","50.7","50.7","50.7"
"389","49.45","49.45","49.45"
"390","49.96","49.96","49.96"
"391","49.39","49.39","49.39"
"392","51.07","51.07","51.07"
"393","49.6","49.6","49.6"
"394","49.61","49.61","49.61"
"395","49.3","49.3","49.3"
"396","49.6","49.6","49.6"
"397","49.34","49.34","49.34"
"398","49.68","49.68","49.68"
"399","49.77","49.77","49.77"
"400","50.05","50.05","50.05"
"401","48.99","48.99","48.99"
"402","49.92","49.92","49.92"
"403","50.2","50.2","50.2"
"404","50.76","50.76","50.76"
"405","49.8","49.8","49.8"
"406","49.48","49.48","49.48"
"407","49.11","49.11","49.11"
"408","50.01","50.01","50.01"
"409","49.4","49.4","49.4"
"410","50.05","50.05","50.05"
"411","50.27","50.27","50.27"
"412","50.05","50.05","50.05"
"413","48.68","48.68","48.68"
"414","49.99","49.99","49.99"
"415","49.79","49.79","49.79"
"416","51.16","51.16","51.16"
"417","50.45","50.45","50.45"
"418","49.85","49.85","49.85"
"419","50.91","50.91","50.91"
"420","50.39","50.39","50.39"
"421","49.45","49.45","49.45"
"422","50.58","50.58","50.58"
"423","51.22","51.22","51.22"
"424","50.9","50.9","50.9"
"425","49.74","49.74","49.74"
"426","50.64","50.64","50.64"
"427","50.37","50.37","50.37"
"428","50.36","50.36","50.36"
"429","50.04","50.04","50.04"
"430","50.04","50.04","50.04"
"431","50.16","50.16","50.16"
"432","49.61","49.61","49.61"
"433","51.29","51.29","51.29"
"434","49.3","49.3","49.3"
"435","49.01","49.01","49.01"
"436","50.16","50.16","50.16"
"437","49.47","49.47","49.47"
"438","50.15","50.15","50.15"
"439","50.63","50.63","50.63"
"440","50.01","50.01","50.01"
"441","49.64","49.64","49.64"
"442","50.56","50.56","50.56"
"443","49.86","49.86","49.86"
"444","50.36","50.36","50.36"
"445","50","50","50"
"446","50.11","50.11","50.11"
"447","49.89","49.89","49.89"
"448","50.67","50.67","50.67"
"449","50.05","50.05","50.05"
"450","50.57","50.57","50.57"
"451","51.23","51.23","51.23"
"452","50.26","50.26","50.26"
"453","50.36","50.36","50.36"
"454","50.28","50.28","50.28"
"455","50.71","50.71","50.71"
"456","50.16","50.16","50.16"
"457","49.7","49.7","49.7"
"458","50.1","50.1","50.1"
"459","50.2","50.2","50.2"
"460","49.7","49.7","49.7"
"461","49.88","49.88","49.88"
"462","50.25","50.25","50.25"
"463","50.73","50.73","50.73"
"464","51.28","51.28","51.28"
"465","50.68","50.68","50.68"
"466","51.48","51.48","51.48"
"467","50.16","50.16","50.16"
"468","50.5","50.5","50.5"
"470","49.74","49.74","49.74"
"471","50.08","50.08","50.08"
"472","50.98","50.98","50.98"
"473","50.43","50.43","50.43"
"474","50.88","50.88","50.88"
"475","49.57","49.57","49.57"
"476","50.08","50.08","50.08"
"477","50.64","50.64","50.64"
"478","51.29","51.29","51.29"
"479","49.98","49.98","49.98"
"480","51.99","51.99","51.99"
"481","49.62","49.62","49.62"
"482","48.98","48.98","48.98"
"483","50.76","50.76","50.76"
"484","49.98","49.98","49.98"
"485","50.57","50.57","50.57"
"486","50.68","50.68","50.68"
"487","50.45","50.45","50.45"
"488","50.16","50.16","50.16"
"489","49.9","49.9","49.9"
"490","50.1","50.1","50.1"
"491","50.88","50.88","50.88"
"492","50.53","50.53","50.53"
"493","49.71","49.71","49.71"
"494","48.7","48.7","48.7"
"495","50.09","50.09","50.09"
"496","50.6","50.6","50.6"
"497","50.38","50.38","50.38"
"498","51.54","51.54","51.54"
"499","50.4","50.4","50.4"
"500","50.31","50.31","50.31"
"501","50.65","50.65","50.65"
"502","50.02","50.02","50.02"
"503","50.97","50.97","50.97"
"504","51.14","51.14","51.14"
"505","50.37","50.37","50.37"
"506","49.88","49.88","49.88"
"507","48.78","48.78","48.78"
"508","49.66","49.66","49.66"
"509","50.46","50.46","50.46"
"510","49.58","49.58","49.58"
"511","50.71","50.71","50.71"
"512","49.87","49.87","49.87"
"513","49.9","49.9","49.9"
"514","50.31","50.31","50.31"
"515","50.48","50.48","50.48"
"516","50.29","50.29","50.29"
"517","50.45","50.45","50.45"
"518","50.31","50.31","50.31"
"519","50.6","50.6","50.6"
"520","50.07","50.07","50.07"
"521","50.82","50.82","50.82"
"522","50.74","50.74","50.74"
"523","50.91","50.91","50.91"
"524","49.66","49.66","49.66"
"525","50.39","50.39","50.39"
"526","50.2","50.2","50.2"
"527","51.65","51.65","51.65"
"528","50.74","50.74","50.74"
"529","50.41","50.41","50.41"
