"Step","uniformbenford - test_arithmetic_perfect","uniformbenford - test_arithmetic_perfect__MIN","uniformbenford - test_arithmetic_perfect__MAX"
"865","60.69","60.69","60.69"
"866","61.86","61.86","61.86"
"867","61.7","61.7","61.7"
"868","61.28","61.28","61.28"
"869","61.2","61.2","61.2"
"870","61.59","61.59","61.59"
"871","61.7","61.7","61.7"
"872","60.82","60.82","60.82"
"873","61.67","61.67","61.67"
"874","60.5","60.5","60.5"
"875","61.37","61.37","61.37"
"876","61.88","61.88","61.88"
"877","61.6","61.6","61.6"
"878","61.35","61.35","61.35"
"879","60.69","60.69","60.69"
"880","61.55","61.55","61.55"
"881","60.92","60.92","60.92"
"882","60.3","60.3","60.3"
"883","61.96","61.96","61.96"
"884","61.39","61.39","61.39"
"885","61.41","61.41","61.41"
"886","61.3","61.3","61.3"
"887","61.45","61.45","61.45"
"888","61.88","61.88","61.88"
"889","61.1","61.1","61.1"
"890","61.51","61.51","61.51"
"891","61.49","61.49","61.49"
"892","62.08","62.08","62.08"
"893","61.19","61.19","61.19"
"894","61.01","61.01","61.01"
"895","60.68","60.68","60.68"
"896","61","61","61"
"897","60.18","60.18","60.18"
"898","60.88","60.88","60.88"
"899","61.36","61.36","61.36"
"900","61.77","61.77","61.77"
"901","61.64","61.64","61.64"
"902","61.48","61.48","61.48"
"903","61.76","61.76","61.76"
"904","61.57","61.57","61.57"
"905","60.53","60.53","60.53"
"906","61.42","61.42","61.42"
"907","61.17","61.17","61.17"
"908","61.45","61.45","61.45"
"909","62.45","62.45","62.45"
"910","61.68","61.68","61.68"
"911","61.21","61.21","61.21"
"912","62.4","62.4","62.4"
"913","61.41","61.41","61.41"
"914","61.6","61.6","61.6"
"915","61.81","61.81","61.81"
"916","61.68","61.68","61.68"
"917","60.97","60.97","60.97"
"918","61.67","61.67","61.67"
"919","61.11","61.11","61.11"
"920","61.37","61.37","61.37"
"921","61.91","61.91","61.91"
"922","61.02","61.02","61.02"
"923","61.4","61.4","61.4"
"924","62.16","62.16","62.16"
"925","61.51","61.51","61.51"
"926","62.49","62.49","62.49"
"927","61.47","61.47","61.47"
"928","61","61","61"
"929","62.28","62.28","62.28"
"930","61.61","61.61","61.61"
"931","61.49","61.49","61.49"
"932","61.1","61.1","61.1"
"933","61.06","61.06","61.06"
"934","61.27","61.27","61.27"
"935","62.1","62.1","62.1"
"936","62","62","62"
"937","61.99","61.99","61.99"
"938","61.93","61.93","61.93"
"939","62.35","62.35","62.35"
"940","61.99","61.99","61.99"
"941","61.99","61.99","61.99"
"942","61.3","61.3","61.3"
"943","62.55","62.55","62.55"
"944","61.96","61.96","61.96"
"945","61.53","61.53","61.53"
"946","61.77","61.77","61.77"
"947","61","61","61"
"948","61.31","61.31","61.31"
"949","61.69","61.69","61.69"
"950","61.51","61.51","61.51"
"951","61.78","61.78","61.78"
"952","61.11","61.11","61.11"
"953","61.96","61.96","61.96"
"954","61.49","61.49","61.49"
"955","62.07","62.07","62.07"
"956","60.89","60.89","60.89"
"957","62.81","62.81","62.81"
"958","61.18","61.18","61.18"
"959","61.58","61.58","61.58"
"960","61.7","61.7","61.7"
"961","61.18","61.18","61.18"
"962","61.92","61.92","61.92"
"963","63.16","63.16","63.16"
"964","61.94","61.94","61.94"
"965","62.13","62.13","62.13"
"966","62.18","62.18","62.18"
"967","62.03","62.03","62.03"
"968","61.67","61.67","61.67"
"969","61.51","61.51","61.51"
"970","61.98","61.98","61.98"
"971","62.58","62.58","62.58"
"972","62.08","62.08","62.08"
"973","61.82","61.82","61.82"
"974","62.09","62.09","62.09"
"975","61.52","61.52","61.52"
"976","62.66","62.66","62.66"
"977","61.87","61.87","61.87"
"978","61.55","61.55","61.55"
"979","62.28","62.28","62.28"
"980","62.46","62.46","62.46"
"981","61.98","61.98","61.98"
"982","62.21","62.21","62.21"
"983","61.99","61.99","61.99"
"984","63.05","63.05","63.05"
"985","61.39","61.39","61.39"
"986","62.56","62.56","62.56"
"987","62.15","62.15","62.15"
"988","62.78","62.78","62.78"
"989","62.78","62.78","62.78"
"990","62.36","62.36","62.36"
"991","62.55","62.55","62.55"
"992","62.59","62.59","62.59"
"993","63.04","63.04","63.04"
"994","62.66","62.66","62.66"
"995","63.45","63.45","63.45"
"996","62.61","62.61","62.61"
"997","63.48","63.48","63.48"
"998","62.55","62.55","62.55"
"999","62.66","62.66","62.66"
"1000","63.53","63.53","63.53"
"1001","62.77","62.77","62.77"
"1002","62.01","62.01","62.01"
"1003","62.68","62.68","62.68"
"1004","62.59","62.59","62.59"
"1005","62.62","62.62","62.62"
"1006","62.76","62.76","62.76"
"1007","62.57","62.57","62.57"
"1008","61.89","61.89","61.89"
"1009","63.08","63.08","63.08"
"1010","62.29","62.29","62.29"
"1011","63.15","63.15","63.15"
"1012","62.16","62.16","62.16"
"1013","62.49","62.49","62.49"
"1014","63.04","63.04","63.04"
"1015","63.26","63.26","63.26"
"1016","63.04","63.04","63.04"
"1017","63.66","63.66","63.66"
"1018","63.65","63.65","63.65"
"1019","64.33","64.33","64.33"
"1020","63.21","63.21","63.21"
"1021","63.94","63.94","63.94"
"1022","63.36","63.36","63.36"
"1023","63.14","63.14","63.14"
"1024","62.16","62.16","62.16"
"1025","63.56","63.56","63.56"
"1026","63.75","63.75","63.75"
"1027","63.08","63.08","63.08"
"1028","63.82","63.82","63.82"
"1029","62.48","62.48","62.48"
"1030","63.86","63.86","63.86"
"1031","63.56","63.56","63.56"
"1032","64.05","64.05","64.05"
"1033","63.96","63.96","63.96"
"1034","63.95","63.95","63.95"
"1035","62.76","62.76","62.76"
"1036","63.35","63.35","63.35"
"1037","64.62","64.62","64.62"
"1038","64.14","64.14","64.14"
"1039","64.34","64.34","64.34"
"1040","64.54","64.54","64.54"
"1041","63.43","63.43","63.43"
"1042","64.06","64.06","64.06"
"1043","64.62","64.62","64.62"
"1044","64.31","64.31","64.31"
"1045","64.05","64.05","64.05"
"1046","64.03","64.03","64.03"
"1047","64.23","64.23","64.23"
"1048","65.13","65.13","65.13"
"1049","64.6","64.6","64.6"
"1050","64.28","64.28","64.28"
"1051","63.83","63.83","63.83"
"1052","63.61","63.61","63.61"
"1053","63.76","63.76","63.76"
"1054","63.66","63.66","63.66"
"1055","63.73","63.73","63.73"
"1056","63.54","63.54","63.54"
"1057","63.65","63.65","63.65"
"1058","64.14","64.14","64.14"
"1059","63.82","63.82","63.82"
"1060","64.4","64.4","64.4"
"1061","63.02","63.02","63.02"
"1062","64.11","64.11","64.11"
"1063","64.11","64.11","64.11"
"1064","63.95","63.95","63.95"
"1065","64.56","64.56","64.56"
"1066","63.32","63.32","63.32"
"1067","63.83","63.83","63.83"
"1068","63.66","63.66","63.66"
"1069","64.58","64.58","64.58"
"1070","63.16","63.16","63.16"
"1071","64.28","64.28","64.28"
"1072","64.01","64.01","64.01"
"1073","63.74","63.74","63.74"
"1074","63.82","63.82","63.82"
"1075","63.59","63.59","63.59"
"1076","63.94","63.94","63.94"
"1077","63.93","63.93","63.93"
"1078","63.62","63.62","63.62"
"1079","64.7","64.7","64.7"
"1080","63.94","63.94","63.94"
"1081","64.32","64.32","64.32"
"1082","63.95","63.95","63.95"
"1083","64.02","64.02","64.02"
"1084","64.43","64.43","64.43"
"1085","63.93","63.93","63.93"
"1086","64.25","64.25","64.25"
"1087","64.58","64.58","64.58"
"1088","64.18","64.18","64.18"
"1089","63.92","63.92","63.92"
"1090","63.75","63.75","63.75"
"1091","64.38","64.38","64.38"
"1092","63.44","63.44","63.44"
"1093","63.96","63.96","63.96"
"1094","63.72","63.72","63.72"
"1095","63.44","63.44","63.44"
"1096","64.45","64.45","64.45"
"1097","63.53","63.53","63.53"
"1098","65.06","65.06","65.06"
"1099","64.29","64.29","64.29"
"1100","64.18","64.18","64.18"
"1101","64.81","64.81","64.81"
"1102","64.22","64.22","64.22"
"1103","63.49","63.49","63.49"
"1104","64.42","64.42","64.42"
"1105","64.14","64.14","64.14"
"1106","63.72","63.72","63.72"
"1107","64.6","64.6","64.6"
"1108","63.84","63.84","63.84"
"1109","63.24","63.24","63.24"
"1110","64.33","64.33","64.33"
"1111","63.45","63.45","63.45"
"1112","64.08","64.08","64.08"
"1113","63.94","63.94","63.94"
"1114","64.21","64.21","64.21"
"1115","63.64","63.64","63.64"
"1116","63.24","63.24","63.24"
"1117","63.75","63.75","63.75"
"1118","64.34","64.34","64.34"
"1119","64.19","64.19","64.19"
"1120","64.12","64.12","64.12"
"1121","63.78","63.78","63.78"
"1122","64.2","64.2","64.2"
"1123","64.03","64.03","64.03"
"1124","63.57","63.57","63.57"
"1125","63.84","63.84","63.84"
"1126","64.21","64.21","64.21"
"1127","64.49","64.49","64.49"
"1128","64.41","64.41","64.41"
"1129","63.99","63.99","63.99"
"1130","64.82","64.82","64.82"
"1131","63.81","63.81","63.81"
"1132","64.7","64.7","64.7"
"1133","64.61","64.61","64.61"
"1134","64.24","64.24","64.24"
"1135","64.43","64.43","64.43"
"1136","64.12","64.12","64.12"
"1137","63.55","63.55","63.55"
"1138","64.54","64.54","64.54"
"1139","64.12","64.12","64.12"
"1140","64.49","64.49","64.49"
"1141","65.13","65.13","65.13"
"1142","63.92","63.92","63.92"
"1143","63.71","63.71","63.71"
"1144","64","64","64"
"1145","63.75","63.75","63.75"
"1146","64.49","64.49","64.49"
"1147","63.73","63.73","63.73"
"1148","64.19","64.19","64.19"
"1149","63.91","63.91","63.91"
"1150","64.15","64.15","64.15"
"1151","63.63","63.63","63.63"
"1152","64.51","64.51","64.51"
"1153","64.13","64.13","64.13"
"1154","63.63","63.63","63.63"
"1155","63.92","63.92","63.92"
"1156","64.02","64.02","64.02"
"1157","64.04","64.04","64.04"
"1158","64.3","64.3","64.3"
"1159","63.51","63.51","63.51"
"1160","63.93","63.93","63.93"
"1161","64.14","64.14","64.14"
"1162","63.76","63.76","63.76"
"1163","64.71","64.71","64.71"
"1164","65.08","65.08","65.08"
"1165","64.01","64.01","64.01"
"1166","64.72","64.72","64.72"
"1167","64.54","64.54","64.54"
"1168","64.09","64.09","64.09"
"1169","64.53","64.53","64.53"
"1170","64.31","64.31","64.31"
"1171","64.51","64.51","64.51"
"1172","64.61","64.61","64.61"
"1173","66.1","66.1","66.1"
"1174","63.84","63.84","63.84"
"1175","64.19","64.19","64.19"
"1176","64.32","64.32","64.32"
"1177","64.92","64.92","64.92"
"1178","64.91","64.91","64.91"
"1179","64.03","64.03","64.03"
"1180","64.37","64.37","64.37"
"1181","64.57","64.57","64.57"
"1182","64.22","64.22","64.22"
"1183","63.94","63.94","63.94"
"1184","64.79","64.79","64.79"
"1185","65.52","65.52","65.52"
"1186","64.25","64.25","64.25"
"1187","64.89","64.89","64.89"
"1188","64.23","64.23","64.23"
"1189","63.82","63.82","63.82"
"1190","64.47","64.47","64.47"
"1191","64.5","64.5","64.5"
"1192","64.73","64.73","64.73"
"1193","64.25","64.25","64.25"
"1194","63.93","63.93","63.93"
"1195","63.91","63.91","63.91"
"1196","64.69","64.69","64.69"
"1197","64.41","64.41","64.41"
"1198","65.13","65.13","65.13"
"1199","64.28","64.28","64.28"
"1200","64.5","64.5","64.5"
"1201","64.24","64.24","64.24"
"1202","64.13","64.13","64.13"
"1203","63.44","63.44","63.44"
"1204","63.32","63.32","63.32"
"1205","63.8","63.8","63.8"
"1206","64.41","64.41","64.41"
"1207","64.3","64.3","64.3"
"1208","64.61","64.61","64.61"
"1209","64.74","64.74","64.74"
"1210","64","64","64"
"1211","64.4","64.4","64.4"
"1212","64.11","64.11","64.11"
"1213","63.8","63.8","63.8"
"1214","64.21","64.21","64.21"
"1215","63.8","63.8","63.8"
"1216","64.42","64.42","64.42"
"1217","64.6","64.6","64.6"
"1218","63.24","63.24","63.24"
"1219","64.1","64.1","64.1"
"1220","64.04","64.04","64.04"
"1221","63.92","63.92","63.92"
"1222","63.94","63.94","63.94"
"1223","63.74","63.74","63.74"
"1224","63.26","63.26","63.26"
"1225","63.74","63.74","63.74"
"1226","64.25","64.25","64.25"
"1227","64.02","64.02","64.02"
"1228","64.01","64.01","64.01"
"1229","64.29","64.29","64.29"
"1230","64.02","64.02","64.02"
"1231","64.22","64.22","64.22"
"1232","63.52","63.52","63.52"
"1233","64.2","64.2","64.2"
"1234","64.43","64.43","64.43"
"1235","64.04","64.04","64.04"
"1236","63.55","63.55","63.55"
"1237","64.52","64.52","64.52"
"1238","63.62","63.62","63.62"
"1239","63.99","63.99","63.99"
"1240","63.21","63.21","63.21"
"1241","64.03","64.03","64.03"
"1242","64.24","64.24","64.24"
"1243","63.64","63.64","63.64"
"1244","64.49","64.49","64.49"
"1245","64.43","64.43","64.43"
"1246","63.94","63.94","63.94"
"1247","63.86","63.86","63.86"
"1248","64.11","64.11","64.11"
"1249","63.88","63.88","63.88"
"1250","63.98","63.98","63.98"
"1251","64.2","64.2","64.2"
"1252","64.5","64.5","64.5"
"1253","64.62","64.62","64.62"
"1254","64.33","64.33","64.33"
"1255","64.13","64.13","64.13"
"1256","63.83","63.83","63.83"
"1257","63.64","63.64","63.64"
"1258","63.82","63.82","63.82"
"1259","63.8","63.8","63.8"
"1260","64.53","64.53","64.53"
"1261","63.81","63.81","63.81"
"1262","64.53","64.53","64.53"
"1263","64.13","64.13","64.13"
"1264","64.12","64.12","64.12"
"1265","63.65","63.65","63.65"
"1266","63.71","63.71","63.71"
"1267","63.72","63.72","63.72"
"1268","64.39","64.39","64.39"
"1269","63.83","63.83","63.83"
"1270","64.39","64.39","64.39"
"1271","63.26","63.26","63.26"
"1272","64.33","64.33","64.33"
"1273","64.13","64.13","64.13"
"1274","64.84","64.84","64.84"
"1275","64.21","64.21","64.21"
"1276","64.21","64.21","64.21"
"1277","63.73","63.73","63.73"
"1278","63.54","63.54","63.54"
"1279","63.67","63.67","63.67"
"1280","63.73","63.73","63.73"
"1281","63.83","63.83","63.83"
"1282","63.54","63.54","63.54"
"1283","63.83","63.83","63.83"
"1284","62.75","62.75","62.75"
"1285","64.14","64.14","64.14"
"1286","63.63","63.63","63.63"
"1287","64.15","64.15","64.15"
"1288","64.04","64.04","64.04"
"1289","64.52","64.52","64.52"
"1290","63.84","63.84","63.84"
"1291","64.12","64.12","64.12"
"1292","64.04","64.04","64.04"
"1293","63.74","63.74","63.74"
"1294","63.73","63.73","63.73"
"1295","63.83","63.83","63.83"
"1296","64.1","64.1","64.1"
"1297","65.12","65.12","65.12"
"1298","64.14","64.14","64.14"
"1299","64.07","64.07","64.07"
"1300","64.62","64.62","64.62"
"1301","63.92","63.92","63.92"
"1302","64.82","64.82","64.82"
"1303","64.63","64.63","64.63"
"1304","63.94","63.94","63.94"
"1305","64.06","64.06","64.06"
"1306","64.5","64.5","64.5"
"1307","64","64","64"
"1308","63.73","63.73","63.73"
"1309","63.65","63.65","63.65"
"1310","64.36","64.36","64.36"
"1311","64.01","64.01","64.01"
"1312","64.81","64.81","64.81"
"1313","64.62","64.62","64.62"
"1314","64.41","64.41","64.41"
"1315","63.54","63.54","63.54"
"1316","63.65","63.65","63.65"
"1317","63.57","63.57","63.57"
"1318","64.21","64.21","64.21"
"1319","64.49","64.49","64.49"
"1320","63.64","63.64","63.64"
"1321","64.32","64.32","64.32"
"1322","63.86","63.86","63.86"
"1323","64.41","64.41","64.41"
"1324","64.09","64.09","64.09"
"1325","63.73","63.73","63.73"
"1326","64.34","64.34","64.34"
"1327","64.13","64.13","64.13"
"1328","64.22","64.22","64.22"
"1329","64.24","64.24","64.24"
"1330","64.53","64.53","64.53"
"1331","64.15","64.15","64.15"
"1332","64.68","64.68","64.68"
"1333","64.16","64.16","64.16"
"1334","64.16","64.16","64.16"
"1335","64.92","64.92","64.92"
"1336","64.91","64.91","64.91"
"1337","64.52","64.52","64.52"
"1338","65.01","65.01","65.01"
"1339","64.74","64.74","64.74"
"1340","63.83","63.83","63.83"
"1341","64.31","64.31","64.31"
"1342","63.94","63.94","63.94"
"1343","64.64","64.64","64.64"
"1344","64.72","64.72","64.72"
"1345","63.82","63.82","63.82"
"1346","64.73","64.73","64.73"
"1347","64.71","64.71","64.71"
"1348","64.31","64.31","64.31"
"1349","63.95","63.95","63.95"
"1350","64.23","64.23","64.23"
"1351","63.78","63.78","63.78"
"1352","64.49","64.49","64.49"
"1353","65.12","65.12","65.12"
"1354","63.94","63.94","63.94"
"1355","64.19","64.19","64.19"
"1356","64.12","64.12","64.12"
"1357","63.54","63.54","63.54"
"1358","64.02","64.02","64.02"
"1359","64.61","64.61","64.61"
"1360","64.42","64.42","64.42"
"1361","64.15","64.15","64.15"
"1362","64.61","64.61","64.61"
"1363","64.07","64.07","64.07"
"1364","63.14","63.14","63.14"
"1365","64.41","64.41","64.41"
"1366","63.73","63.73","63.73"
"1367","65.01","65.01","65.01"
"1368","63.72","63.72","63.72"
"1369","65.41","65.41","65.41"
"1370","64.59","64.59","64.59"
"1371","64.61","64.61","64.61"
"1372","64.85","64.85","64.85"
"1373","64.24","64.24","64.24"
"1374","65.02","65.02","65.02"
"1375","64.39","64.39","64.39"
"1376","64.52","64.52","64.52"
"1377","64.69","64.69","64.69"
"1378","64.55","64.55","64.55"
"1379","64.01","64.01","64.01"
"1380","64.72","64.72","64.72"
"1381","64.54","64.54","64.54"
"1382","64.52","64.52","64.52"
"1383","64.51","64.51","64.51"
"1384","64.05","64.05","64.05"
"1385","63.94","63.94","63.94"
"1386","64.79","64.79","64.79"
"1387","64.05","64.05","64.05"
"1388","64.41","64.41","64.41"
"1389","64.1","64.1","64.1"
"1390","64.5","64.5","64.5"
"1391","63.95","63.95","63.95"
"1392","65.01","65.01","65.01"
"1393","64.12","64.12","64.12"
"1394","64.72","64.72","64.72"
"1395","64.37","64.37","64.37"
"1396","64.41","64.41","64.41"
"1397","64.51","64.51","64.51"
"1398","64.99","64.99","64.99"
"1399","64.3","64.3","64.3"
"1400","64.6","64.6","64.6"
"1401","64.8","64.8","64.8"
"1402","64.31","64.31","64.31"
"1403","63.83","63.83","63.83"
"1404","65.1","65.1","65.1"
"1405","64.89","64.89","64.89"
"1406","64.52","64.52","64.52"
"1407","64.7","64.7","64.7"
"1408","64.6","64.6","64.6"
"1409","64.23","64.23","64.23"
"1410","63.82","63.82","63.82"
"1411","64.53","64.53","64.53"
"1412","63.94","63.94","63.94"
"1413","64.59","64.59","64.59"
"1414","64.6","64.6","64.6"
"1415","64.2","64.2","64.2"
"1416","64.85","64.85","64.85"
"1417","64.81","64.81","64.81"
"1418","64.04","64.04","64.04"
"1419","64.52","64.52","64.52"
"1420","64.63","64.63","64.63"
"1421","63.79","63.79","63.79"
"1422","64.01","64.01","64.01"
"1423","64.42","64.42","64.42"
"1424","64.15","64.15","64.15"
"1425","64.4","64.4","64.4"
"1426","64.62","64.62","64.62"
"1427","64.83","64.83","64.83"
"1428","64.6","64.6","64.6"
"1429","64.09","64.09","64.09"
"1430","64.7","64.7","64.7"
"1431","64.07","64.07","64.07"
"1432","65.01","65.01","65.01"
"1433","64.71","64.71","64.71"
"1434","64.53","64.53","64.53"
"1435","64.53","64.53","64.53"
"1436","65.19","65.19","65.19"
"1437","64.52","64.52","64.52"
"1438","64.42","64.42","64.42"
"1439","64.43","64.43","64.43"
"1440","64.14","64.14","64.14"
"1441","64.6","64.6","64.6"
"1442","64.66","64.66","64.66"
"1443","64.83","64.83","64.83"
"1444","64.72","64.72","64.72"
"1445","64.14","64.14","64.14"
"1446","64.79","64.79","64.79"
"1447","64.47","64.47","64.47"
"1448","63.22","63.22","63.22"
"1449","63.82","63.82","63.82"
"1450","64.51","64.51","64.51"
"1451","65.02","65.02","65.02"
"1452","63.53","63.53","63.53"
"1453","64.36","64.36","64.36"
"1454","64.63","64.63","64.63"
"1455","64.32","64.32","64.32"
"1456","64.12","64.12","64.12"
"1457","65.09","65.09","65.09"
"1458","64.83","64.83","64.83"
"1459","64.91","64.91","64.91"
"1460","64.51","64.51","64.51"
"1461","63.81","63.81","63.81"
"1462","64.41","64.41","64.41"
"1463","64.6","64.6","64.6"
"1464","63.82","63.82","63.82"
"1465","64.2","64.2","64.2"
"1466","64.49","64.49","64.49"
"1467","64.8","64.8","64.8"
"1468","64.31","64.31","64.31"
"1469","64.34","64.34","64.34"
"1470","64.22","64.22","64.22"
"1471","65.2","65.2","65.2"
"1472","64.83","64.83","64.83"
"1473","65.2","65.2","65.2"
"1474","63.84","63.84","63.84"
"1475","64.91","64.91","64.91"
"1476","64.7","64.7","64.7"
"1477","65.1","65.1","65.1"
"1478","64.41","64.41","64.41"
"1479","64.24","64.24","64.24"
"1480","64.49","64.49","64.49"
"1481","65.1","65.1","65.1"
"1482","65.47","65.47","65.47"
"1483","64.51","64.51","64.51"
"1484","64.82","64.82","64.82"
"1485","64.86","64.86","64.86"
"1486","65.58","65.58","65.58"
"1487","64.84","64.84","64.84"
"1488","64.81","64.81","64.81"
"1489","65.33","65.33","65.33"
"1490","64.47","64.47","64.47"
"1491","63.84","63.84","63.84"
"1492","64.99","64.99","64.99"
"1493","64.63","64.63","64.63"
"1494","65.48","65.48","65.48"
"1495","64.41","64.41","64.41"
"1496","64.48","64.48","64.48"
"1497","64.13","64.13","64.13"
"1498","64.89","64.89","64.89"
"1499","64.64","64.64","64.64"
"1500","64.72","64.72","64.72"
"1501","64.73","64.73","64.73"
"1502","64.6","64.6","64.6"
"1503","64.81","64.81","64.81"
"1504","65.3","65.3","65.3"
"1505","64.6","64.6","64.6"
"1506","65.13","65.13","65.13"
"1507","64.52","64.52","64.52"
"1508","65.52","65.52","65.52"
"1509","65.1","65.1","65.1"
"1510","64.9","64.9","64.9"
"1511","65.02","65.02","65.02"
"1512","64.86","64.86","64.86"
"1513","64.91","64.91","64.91"
"1514","65.09","65.09","65.09"
"1515","65.11","65.11","65.11"
"1516","64.74","64.74","64.74"
"1517","65.19","65.19","65.19"
"1518","65.57","65.57","65.57"
"1519","65.1","65.1","65.1"
"1520","64.91","64.91","64.91"
"1521","65.27","65.27","65.27"
"1522","65.1","65.1","65.1"
"1523","65.11","65.11","65.11"
"1524","64.2","64.2","64.2"
"1525","64.83","64.83","64.83"
"1526","65.38","65.38","65.38"
"1527","65.1","65.1","65.1"
"1528","64.92","64.92","64.92"
"1529","64.5","64.5","64.5"
"1530","64.58","64.58","64.58"
"1531","64.82","64.82","64.82"
"1532","64.43","64.43","64.43"
"1533","64.31","64.31","64.31"
"1534","65.43","65.43","65.43"
"1535","65.21","65.21","65.21"
"1536","65.48","65.48","65.48"
"1537","64.99","64.99","64.99"
"1538","64.85","64.85","64.85"
"1539","64.73","64.73","64.73"
"1540","65.59","65.59","65.59"
"1541","64.9","64.9","64.9"
"1542","64.5","64.5","64.5"
"1543","65.09","65.09","65.09"
"1544","64.62","64.62","64.62"
"1545","63.81","63.81","63.81"
"1546","64.87","64.87","64.87"
"1547","65.18","65.18","65.18"
"1548","65.87","65.87","65.87"
"1549","64.89","64.89","64.89"
"1550","65.46","65.46","65.46"
"1551","65.51","65.51","65.51"
"1552","65.09","65.09","65.09"
"1553","65.48","65.48","65.48"
"1554","64.34","64.34","64.34"
"1555","65.21","65.21","65.21"
"1556","64.87","64.87","64.87"
"1557","64.59","64.59","64.59"
"1558","64.53","64.53","64.53"
"1559","66.04","66.04","66.04"
"1560","66.08","66.08","66.08"
"1561","65.96","65.96","65.96"
"1562","65.66","65.66","65.66"
"1563","66.24","66.24","66.24"
"1564","64.85","64.85","64.85"
"1565","65.76","65.76","65.76"
"1566","65.57","65.57","65.57"
"1567","66.3","66.3","66.3"
"1568","66.28","66.28","66.28"
"1569","65.95","65.95","65.95"
"1570","65.19","65.19","65.19"
"1571","65.19","65.19","65.19"
"1572","65.98","65.98","65.98"
"1573","65.57","65.57","65.57"
"1574","65.29","65.29","65.29"
"1575","65.19","65.19","65.19"
"1576","64.98","64.98","64.98"
"1577","65.41","65.41","65.41"
"1578","64.6","64.6","64.6"
"1579","65.41","65.41","65.41"
"1580","65.89","65.89","65.89"
"1581","66.19","66.19","66.19"
"1582","65.45","65.45","65.45"
"1583","65.3","65.3","65.3"
"1584","66.58","66.58","66.58"
"1585","65.79","65.79","65.79"
"1586","65","65","65"
"1587","65.44","65.44","65.44"
"1588","65.92","65.92","65.92"
"1589","65.87","65.87","65.87"
"1590","66.19","66.19","66.19"
"1591","65.98","65.98","65.98"
"1592","66.16","66.16","66.16"
"1593","66.47","66.47","66.47"
"1594","66.07","66.07","66.07"
"1595","65.53","65.53","65.53"
"1596","66.66","66.66","66.66"
"1597","65.27","65.27","65.27"
"1598","66.41","66.41","66.41"
"1599","66.73","66.73","66.73"
"1600","66.07","66.07","66.07"
"1601","65.94","65.94","65.94"
"1602","66.43","66.43","66.43"
"1603","66.26","66.26","66.26"
"1604","66.92","66.92","66.92"
"1605","65.95","65.95","65.95"
"1606","66.83","66.83","66.83"
"1607","66.12","66.12","66.12"
"1608","66.52","66.52","66.52"
"1609","67.27","67.27","67.27"
"1610","66.2","66.2","66.2"
"1611","66.92","66.92","66.92"
"1612","66.35","66.35","66.35"
"1613","66.24","66.24","66.24"
"1614","66.25","66.25","66.25"
"1615","67","67","67"
"1616","65.48","65.48","65.48"
"1617","66.6","66.6","66.6"
"1618","66.64","66.64","66.64"
"1619","67.12","67.12","67.12"
"1620","66.66","66.66","66.66"
"1621","67.33","67.33","67.33"
"1622","66.93","66.93","66.93"
"1623","66.92","66.92","66.92"
"1624","67.69","67.69","67.69"
"1625","67.04","67.04","67.04"
"1626","66.65","66.65","66.65"
"1627","67.49","67.49","67.49"
"1628","66.93","66.93","66.93"
"1629","66.92","66.92","66.92"
"1630","66.89","66.89","66.89"
"1631","66.82","66.82","66.82"
"1632","67.88","67.88","67.88"
"1633","67.09","67.09","67.09"
"1634","67.79","67.79","67.79"
"1635","67.77","67.77","67.77"
"1636","68.16","68.16","68.16"
"1637","67.51","67.51","67.51"
"1638","67.38","67.38","67.38"
"1639","67.12","67.12","67.12"
"1640","67.08","67.08","67.08"
"1641","67.61","67.61","67.61"
"1642","66.84","66.84","66.84"
"1643","66.3","66.3","66.3"
"1644","67.68","67.68","67.68"
"1645","68.09","68.09","68.09"
"1646","67.59","67.59","67.59"
"1647","66.43","66.43","66.43"
"1648","67.24","67.24","67.24"
"1649","68.67","68.67","68.67"
"1650","68.1","68.1","68.1"
"1651","67.51","67.51","67.51"
"1652","68.22","68.22","68.22"
"1653","67.39","67.39","67.39"
"1654","67.51","67.51","67.51"
"1655","68.19","68.19","68.19"
"1656","67.6","67.6","67.6"
"1657","67.9","67.9","67.9"
"1658","67.77","67.77","67.77"
"1659","67.27","67.27","67.27"
"1660","66.13","66.13","66.13"
"1661","67.33","67.33","67.33"
"1662","67.32","67.32","67.32"
"1663","68.71","68.71","68.71"
"1664","68.51","68.51","68.51"
"1665","67.49","67.49","67.49"
"1666","67.77","67.77","67.77"
"1667","67.58","67.58","67.58"
"1668","67.72","67.72","67.72"
"1669","67.32","67.32","67.32"
"1670","67.98","67.98","67.98"
"1671","68.86","68.86","68.86"
"1672","68.36","68.36","68.36"
"1673","68.39","68.39","68.39"
"1674","68.61","68.61","68.61"
"1675","68.78","68.78","68.78"
"1676","67.89","67.89","67.89"
"1677","68.29","68.29","68.29"
"1678","68.4","68.4","68.4"
"1679","67.9","67.9","67.9"
"1680","68.79","68.79","68.79"
"1681","68.75","68.75","68.75"
"1682","68.39","68.39","68.39"
"1683","68.59","68.59","68.59"
"1684","69.08","69.08","69.08"
"1685","68.5","68.5","68.5"
"1686","68.8","68.8","68.8"
"1687","69.09","69.09","69.09"
"1688","68.19","68.19","68.19"
"1689","68.75","68.75","68.75"
"1690","68.46","68.46","68.46"
"1691","68.52","68.52","68.52"
"1692","68.58","68.58","68.58"
"1693","68.88","68.88","68.88"
"1694","68.17","68.17","68.17"
