"Step","uniformbenford - test_arithmetic_perfect","uniformbenford - test_arithmetic_perfect__MIN","uniformbenford - test_arithmetic_perfect__MAX"
"197","53.86","53.86","53.86"
"198","54.31","54.31","54.31"
"199","54.17","54.17","54.17"
"200","54.56","54.56","54.56"
"201","53.71","53.71","53.71"
"202","54.68","54.68","54.68"
"203","54.3","54.3","54.3"
"204","53.62","53.62","53.62"
"205","54.89","54.89","54.89"
"206","54.46","54.46","54.46"
"207","53.72","53.72","53.72"
"208","56.18","56.18","56.18"
"209","56.13","56.13","56.13"
"210","55.59","55.59","55.59"
"211","56.93","56.93","56.93"
"212","55.35","55.35","55.35"
"213","55.74","55.74","55.74"
"214","55.35","55.35","55.35"
"215","55.42","55.42","55.42"
"216","56.55","56.55","56.55"
"217","54.78","54.78","54.78"
"218","55.93","55.93","55.93"
"219","55.81","55.81","55.81"
"220","55.3","55.3","55.3"
"221","54.48","54.48","54.48"
"222","55.95","55.95","55.95"
"223","57.37","57.37","57.37"
"224","55.57","55.57","55.57"
"225","56.46","56.46","56.46"
"226","55.87","55.87","55.87"
"227","56.04","56.04","56.04"
"228","56.01","56.01","56.01"
"229","54.41","54.41","54.41"
"230","56.03","56.03","56.03"
"231","56.34","56.34","56.34"
"232","55.84","55.84","55.84"
"233","55.82","55.82","55.82"
"234","55.84","55.84","55.84"
"235","55.99","55.99","55.99"
"236","55.91","55.91","55.91"
"237","54.48","54.48","54.48"
"238","55.13","55.13","55.13"
"239","56.15","56.15","56.15"
"240","55.55","55.55","55.55"
"241","56.36","56.36","56.36"
"242","57.11","57.11","57.11"
"243","56.35","56.35","56.35"
"244","55.2","55.2","55.2"
"245","55.99","55.99","55.99"
"246","55.6","55.6","55.6"
"247","56.36","56.36","56.36"
"248","56.3","56.3","56.3"
"249","56.11","56.11","56.11"
"250","55.64","55.64","55.64"
"251","55.85","55.85","55.85"
"252","55.64","55.64","55.64"
"253","56.83","56.83","56.83"
"254","56.69","56.69","56.69"
"255","55.75","55.75","55.75"
