"Step","base1013 - valid_arithmetic_perfect","base1013 - valid_arithmetic_perfect__MIN","base1013 - valid_arithmetic_perfect__MAX"
"0","10.6","10.6","10.6"
"1","13.28","13.28","13.28"
"2","17.88","17.88","17.88"
"3","23.07","23.07","23.07"
"4","23.9","23.9","23.9"
"5","23.27","23.27","23.27"
"6","23.89","23.89","23.89"
"7","23.55","23.55","23.55"
"8","24.42","24.42","24.42"
"9","24.49","24.49","24.49"
"10","24.3","24.3","24.3"
"11","24.85","24.85","24.85"
"12","24.59","24.59","24.59"
"13","25.26","25.26","25.26"
"14","26.19","26.19","26.19"
"15","25.4","25.4","25.4"
"16","25.57","25.57","25.57"
"17","25.97","25.97","25.97"
"18","26.28","26.28","26.28"
"19","25.57","25.57","25.57"
"20","25.82","25.82","25.82"
"21","25.81","25.81","25.81"
"22","26.7","26.7","26.7"
"23","25","25","25"
"24","26.16","26.16","26.16"
"25","26.32","26.32","26.32"
"26","28.6","28.6","28.6"
"27","27.99","27.99","27.99"
"28","30.11","30.11","30.11"
"29","30.46","30.46","30.46"
"30","31.76","31.76","31.76"
"31","33.06","33.06","33.06"
"32","33.52","33.52","33.52"
"33","33.19","33.19","33.19"
"34","35.46","35.46","35.46"
"35","34.27","34.27","34.27"
"36","34.71","34.71","34.71"
"37","33.88","33.88","33.88"
"38","33.97","33.97","33.97"
"39","34.69","34.69","34.69"
"40","34.23","34.23","34.23"
"41","33.93","33.93","33.93"
"42","33.92","33.92","33.92"
"43","33.8","33.8","33.8"
"44","33.82","33.82","33.82"
"45","33.78","33.78","33.78"
"46","35.02","35.02","35.02"
"47","33.99","33.99","33.99"
"48","35.32","35.32","35.32"
"49","35.17","35.17","35.17"
"50","35.89","35.89","35.89"
"51","35.14","35.14","35.14"
"52","36.04","36.04","36.04"
"53","35.56","35.56","35.56"
"54","36.02","36.02","36.02"
"55","35.82","35.82","35.82"
"56","35.07","35.07","35.07"
"57","35.13","35.13","35.13"
"58","35.5","35.5","35.5"
"59","34.38","34.38","34.38"
"60","35.03","35.03","35.03"
"61","36.22","36.22","36.22"
"62","35.02","35.02","35.02"
"63","35.07","35.07","35.07"
"64","35.39","35.39","35.39"
"65","35.67","35.67","35.67"
"66","35.5","35.5","35.5"
"67","35.31","35.31","35.31"
"68","35.58","35.58","35.58"
"69","35.3","35.3","35.3"
"70","35.41","35.41","35.41"
"71","35.88","35.88","35.88"
"72","35.23","35.23","35.23"
"73","35.42","35.42","35.42"
"74","35.62","35.62","35.62"
"75","33.97","33.97","33.97"
"76","35.58","35.58","35.58"
"77","35.19","35.19","35.19"
"78","36.07","36.07","36.07"
"79","36.46","36.46","36.46"
"80","35.05","35.05","35.05"
"81","36.1","36.1","36.1"
"82","35.21","35.21","35.21"
"83","36.2","36.2","36.2"
"84","36.12","36.12","36.12"
"85","36.56","36.56","36.56"
"86","36.82","36.82","36.82"
"87","36.91","36.91","36.91"
"88","36.81","36.81","36.81"
"89","37.39","37.39","37.39"
"90","36.87","36.87","36.87"
"91","36.05","36.05","36.05"
"92","36.81","36.81","36.81"
"93","38.1","38.1","38.1"
"94","37.07","37.07","37.07"
"95","37.9","37.9","37.9"
"96","37.83","37.83","37.83"
"97","37.85","37.85","37.85"
"98","38.62","38.62","38.62"
"99","39.08","39.08","39.08"
"100","39.34","39.34","39.34"
"101","40.23","40.23","40.23"
"102","40.77","40.77","40.77"
"103","40.56","40.56","40.56"
"104","41.72","41.72","41.72"
"105","42.78","42.78","42.78"
"106","42.53","42.53","42.53"
"107","42.48","42.48","42.48"
"108","42.91","42.91","42.91"
"109","42.17","42.17","42.17"
"110","41.76","41.76","41.76"
"111","43.28","43.28","43.28"
"112","42.32","42.32","42.32"
"113","43.55","43.55","43.55"
"114","42.35","42.35","42.35"
"115","42.6","42.6","42.6"
"116","42.42","42.42","42.42"
"117","43.09","43.09","43.09"
"118","43.04","43.04","43.04"
"119","42.96","42.96","42.96"
"120","43.08","43.08","43.08"
"121","43.4","43.4","43.4"
"122","42.85","42.85","42.85"
"123","42.57","42.57","42.57"
"124","43.62","43.62","43.62"
