"Step","base1279 - valid_arithmetic_perfect","base1279 - valid_arithmetic_perfect__MIN","base1279 - valid_arithmetic_perfect__MAX"
"335","46.92","46.92","46.92"
"336","47.13","47.13","47.13"
"337","46.93","46.93","46.93"
"338","47.88","47.88","47.88"
"339","46.44","46.44","46.44"
"340","47.49","47.49","47.49"
"341","46.64","46.64","46.64"
"342","47.91","47.91","47.91"
"343","47.8","47.8","47.8"
"344","48.36","48.36","48.36"
"345","48.5","48.5","48.5"
"346","47.27","47.27","47.27"
"347","47.88","47.88","47.88"
"348","48.19","48.19","48.19"
"349","47","47","47"
"350","47.26","47.26","47.26"
"351","47.87","47.87","47.87"
"352","48.46","48.46","48.46"
"353","47.68","47.68","47.68"
"354","47.77","47.77","47.77"
"355","48.02","48.02","48.02"
"356","46.96","46.96","46.96"
"357","47.58","47.58","47.58"
"358","47.92","47.92","47.92"
"359","48.49","48.49","48.49"
"360","47.37","47.37","47.37"
"361","47.13","47.13","47.13"
"362","47.84","47.84","47.84"
"363","47.37","47.37","47.37"
"364","47.7","47.7","47.7"
"365","47.32","47.32","47.32"
"366","48.18","48.18","48.18"
"367","46.84","46.84","46.84"
"368","48.14","48.14","48.14"
"369","48.01","48.01","48.01"
"370","47.44","47.44","47.44"
"371","47.22","47.22","47.22"
"372","47.35","47.35","47.35"
"373","47.56","47.56","47.56"
"374","47.95","47.95","47.95"
"375","47.65","47.65","47.65"
"376","47.61","47.61","47.61"
"377","47.6","47.6","47.6"
"378","48.03","48.03","48.03"
"379","47.33","47.33","47.33"
"380","47.01","47.01","47.01"
"381","48.18","48.18","48.18"
"382","47.5","47.5","47.5"
"383","47.66","47.66","47.66"
"384","47.17","47.17","47.17"
"385","47.92","47.92","47.92"
"386","46.64","46.64","46.64"
"387","48.17","48.17","48.17"
"388","48.66","48.66","48.66"
"389","48.1","48.1","48.1"
"390","47.42","47.42","47.42"
"391","47.36","47.36","47.36"
"392","47.53","47.53","47.53"
"393","47.81","47.81","47.81"
"394","47.71","47.71","47.71"
"395","47.39","47.39","47.39"
"396","47.58","47.58","47.58"
"397","47.84","47.84","47.84"
"398","46.99","46.99","46.99"
"399","47.68","47.68","47.68"
"400","48.02","48.02","48.02"
"401","47.71","47.71","47.71"
"402","47.61","47.61","47.61"
"403","47.61","47.61","47.61"
"404","47.14","47.14","47.14"
"405","47.61","47.61","47.61"
"406","47.92","47.92","47.92"
"407","47.39","47.39","47.39"
"408","47.27","47.27","47.27"
"409","47.8","47.8","47.8"
"410","47.7","47.7","47.7"
"411","47.83","47.83","47.83"
"412","47.43","47.43","47.43"
"413","48.24","48.24","48.24"
"414","47.54","47.54","47.54"
"415","46.89","46.89","46.89"
"416","47.67","47.67","47.67"
"417","47.96","47.96","47.96"
"418","47.75","47.75","47.75"
"419","47.59","47.59","47.59"
"420","48.33","48.33","48.33"
"421","47.47","47.47","47.47"
"422","48.09","48.09","48.09"
"423","48.44","48.44","48.44"
"424","47.67","47.67","47.67"
"425","47.88","47.88","47.88"
"426","47.5","47.5","47.5"
"427","47.63","47.63","47.63"
"428","47.66","47.66","47.66"
"429","47.54","47.54","47.54"
"430","48.43","48.43","48.43"
"431","46.9","46.9","46.9"
"432","47.83","47.83","47.83"
"433","47.52","47.52","47.52"
"434","48.45","48.45","48.45"
"435","48.19","48.19","48.19"
"436","47.61","47.61","47.61"
"437","47.58","47.58","47.58"
"438","47.15","47.15","47.15"
"439","47.79","47.79","47.79"
"440","47.35","47.35","47.35"
"441","47.88","47.88","47.88"
"442","48.22","48.22","48.22"
"443","46.78","46.78","46.78"
"444","47.91","47.91","47.91"
"445","47.7","47.7","47.7"
"446","48.01","48.01","48.01"
"447","48.09","48.09","48.09"
"448","46.32","46.32","46.32"
"449","47.69","47.69","47.69"
"450","48.06","48.06","48.06"
"451","47.76","47.76","47.76"
"452","48.19","48.19","48.19"
"453","47.57","47.57","47.57"
"454","48.3","48.3","48.3"
"455","47.31","47.31","47.31"
"456","47.83","47.83","47.83"
"457","47.55","47.55","47.55"
"458","46.84","46.84","46.84"
"459","47.65","47.65","47.65"
"460","47.24","47.24","47.24"
"461","47.91","47.91","47.91"
"462","48.07","48.07","48.07"
"463","47.37","47.37","47.37"
"464","46.85","46.85","46.85"
"465","48.01","48.01","48.01"
"466","47.73","47.73","47.73"
"467","47","47","47"
"468","46.82","46.82","46.82"
"469","47.42","47.42","47.42"
"470","48.1","48.1","48.1"
"471","47.14","47.14","47.14"
"472","47.49","47.49","47.49"
"473","47.39","47.39","47.39"
"474","46.82","46.82","46.82"
"475","48.14","48.14","48.14"
"476","47.24","47.24","47.24"
"477","47.14","47.14","47.14"
"478","48.05","48.05","48.05"
"479","47.4","47.4","47.4"
"480","46.44","46.44","46.44"
"481","47.25","47.25","47.25"
"482","47.61","47.61","47.61"
"483","47.89","47.89","47.89"
"484","48.39","48.39","48.39"
"485","47.28","47.28","47.28"
"486","47.49","47.49","47.49"
"487","47.16","47.16","47.16"
"488","47.48","47.48","47.48"
"489","47.65","47.65","47.65"
"490","48.08","48.08","48.08"
"491","48.2","48.2","48.2"
"492","46.93","46.93","46.93"
"493","48.09","48.09","48.09"
"494","47.34","47.34","47.34"
"495","47.86","47.86","47.86"
"496","47.5","47.5","47.5"
"497","47.33","47.33","47.33"
"498","47.84","47.84","47.84"
"499","47.08","47.08","47.08"
"500","47.4","47.4","47.4"
"501","47.57","47.57","47.57"
"502","47.99","47.99","47.99"
"503","47.96","47.96","47.96"
"504","48.81","48.81","48.81"
"505","47.48","47.48","47.48"
"506","47.86","47.86","47.86"
"507","47.87","47.87","47.87"
"508","47.74","47.74","47.74"
"509","47.87","47.87","47.87"
"510","47.12","47.12","47.12"
"511","47.6","47.6","47.6"
"512","47.39","47.39","47.39"
"513","47.77","47.77","47.77"
"514","47.73","47.73","47.73"
"515","47.67","47.67","47.67"
"516","48.08","48.08","48.08"
"517","47.37","47.37","47.37"
"518","47.34","47.34","47.34"
"519","46.96","46.96","46.96"
"520","48.37","48.37","48.37"
"521","48.71","48.71","48.71"
"522","47.06","47.06","47.06"
"523","48.11","48.11","48.11"
"524","48.35","48.35","48.35"
"525","47.13","47.13","47.13"
"526","47.43","47.43","47.43"
"527","47.81","47.81","47.81"
"528","47.63","47.63","47.63"
"529","47.05","47.05","47.05"
"530","47.95","47.95","47.95"
"531","47.53","47.53","47.53"
"532","47.44","47.44","47.44"
