"Step","base999 - valid_arithmetic_perfect","base999 - valid_arithmetic_perfect__MIN","base999 - valid_arithmetic_perfect__MAX"
"196","50.13","50.13","50.13"
"197","50.91","50.91","50.91"
"198","50.95","50.95","50.95"
"199","50.33","50.33","50.33"
"200","50.9","50.9","50.9"
"201","51.41","51.41","51.41"
"202","49.45","49.45","49.45"
"203","51.68","51.68","51.68"
"204","50.5","50.5","50.5"
"205","50.25","50.25","50.25"
"206","51.57","51.57","51.57"
"207","51.37","51.37","51.37"
"208","50.99","50.99","50.99"
"209","50.62","50.62","50.62"
"210","51.52","51.52","51.52"
"211","50.77","50.77","50.77"
"212","50.65","50.65","50.65"
"213","50.94","50.94","50.94"
"214","51.23","51.23","51.23"
"215","51.08","51.08","51.08"
"216","50.93","50.93","50.93"
"217","51.24","51.24","51.24"
"218","51.65","51.65","51.65"
"219","51.81","51.81","51.81"
"220","51.61","51.61","51.61"
"221","51.73","51.73","51.73"
"222","51.77","51.77","51.77"
"223","51.65","51.65","51.65"
"224","51.47","51.47","51.47"
"225","50.75","50.75","50.75"
"226","51.47","51.47","51.47"
"227","51.23","51.23","51.23"
"228","51.95","51.95","51.95"
"229","51.57","51.57","51.57"
"230","51.2","51.2","51.2"
"231","52.18","52.18","52.18"
"232","51.27","51.27","51.27"
"233","51.64","51.64","51.64"
"234","51.23","51.23","51.23"
"235","52.47","52.47","52.47"
"236","51.07","51.07","51.07"
"237","52.12","52.12","52.12"
"238","52.19","52.19","52.19"
"239","51.79","51.79","51.79"
"240","52.13","52.13","52.13"
"241","51.51","51.51","51.51"
"242","51.64","51.64","51.64"
"243","52.08","52.08","52.08"
"244","52.14","52.14","52.14"
"245","52.18","52.18","52.18"
"246","51.47","51.47","51.47"
"247","51.74","51.74","51.74"
"248","51.5","51.5","51.5"
"249","52.17","52.17","52.17"
"250","51.75","51.75","51.75"
"251","51.85","51.85","51.85"
"252","52.35","52.35","52.35"
"253","52.17","52.17","52.17"
"254","51.13","51.13","51.13"
"255","51.73","51.73","51.73"
"256","53.2","53.2","53.2"
"257","53.14","53.14","53.14"
"258","52.88","52.88","52.88"
"259","52.99","52.99","52.99"
"260","52.44","52.44","52.44"
"261","52.83","52.83","52.83"
"262","52.14","52.14","52.14"
"263","53.64","53.64","53.64"
"264","53.41","53.41","53.41"
"265","53.37","53.37","53.37"
"266","53","53","53"
"267","53.39","53.39","53.39"
"268","52.84","52.84","52.84"
"269","52.86","52.86","52.86"
"270","53.72","53.72","53.72"
"271","54.02","54.02","54.02"
"272","52.87","52.87","52.87"
"273","54.3","54.3","54.3"
"274","52.86","52.86","52.86"
"275","52.87","52.87","52.87"
"276","53.75","53.75","53.75"
"277","53.75","53.75","53.75"
"278","53.66","53.66","53.66"
"279","52.41","52.41","52.41"
"280","53.31","53.31","53.31"
"281","53.24","53.24","53.24"
"282","54.8","54.8","54.8"
"283","53.16","53.16","53.16"
"284","54.21","54.21","54.21"
"285","53.5","53.5","53.5"
"286","53.76","53.76","53.76"
"287","53.87","53.87","53.87"
"288","54.32","54.32","54.32"
"289","54.63","54.63","54.63"
"290","54.08","54.08","54.08"
"291","54.07","54.07","54.07"
"292","54.25","54.25","54.25"
"293","53.65","53.65","53.65"
"294","54.35","54.35","54.35"
"295","54.69","54.69","54.69"
"296","53.86","53.86","53.86"
"297","55.85","55.85","55.85"
"298","55.03","55.03","55.03"
"299","53.56","53.56","53.56"
"300","54.25","54.25","54.25"
"301","54.73","54.73","54.73"
"302","54.21","54.21","54.21"
"303","54.99","54.99","54.99"
"304","54.47","54.47","54.47"
"305","55.36","55.36","55.36"
"306","54.16","54.16","54.16"
"307","55.23","55.23","55.23"
"308","55.5","55.5","55.5"
"309","54.73","54.73","54.73"
