"Step","uniformbenford - valid_arithmetic_perfect","uniformbenford - valid_arithmetic_perfect__MIN","uniformbenford - valid_arithmetic_perfect__MAX"
"855","67.19","67.19","67.19"
"856","67.49","67.49","67.49"
"857","67.48","67.48","67.48"
"858","67.57","67.57","67.57"
"859","68.36","68.36","68.36"
"860","67.71","67.71","67.71"
"861","66.94","66.94","66.94"
"862","68.03","68.03","68.03"
"863","67.93","67.93","67.93"
"864","67.42","67.42","67.42"
"865","67.75","67.75","67.75"
"866","67.32","67.32","67.32"
"867","68.46","68.46","68.46"
"868","67.58","67.58","67.58"
"869","67.44","67.44","67.44"
"870","67.88","67.88","67.88"
"871","67.68","67.68","67.68"
"872","67.27","67.27","67.27"
"873","67.81","67.81","67.81"
"874","67.78","67.78","67.78"
"875","67.2","67.2","67.2"
"876","67.76","67.76","67.76"
"877","68.5","68.5","68.5"
"878","67.65","67.65","67.65"
"879","68.14","68.14","68.14"
"880","68.05","68.05","68.05"
"881","68.1","68.1","68.1"
"882","68.07","68.07","68.07"
"883","66.58","66.58","66.58"
"884","68.07","68.07","68.07"
"885","67.41","67.41","67.41"
"886","67.21","67.21","67.21"
"887","67.43","67.43","67.43"
"888","67.93","67.93","67.93"
"889","68.19","68.19","68.19"
"890","68.38","68.38","68.38"
"891","67.71","67.71","67.71"
"892","66.94","66.94","66.94"
"893","67.51","67.51","67.51"
"894","68.3","68.3","68.3"
"895","67.87","67.87","67.87"
"896","68.03","68.03","68.03"
"897","67.33","67.33","67.33"
"898","67.83","67.83","67.83"
"899","68.53","68.53","68.53"
"900","67.78","67.78","67.78"
"901","67.89","67.89","67.89"
"902","68.99","68.99","68.99"
"903","67.97","67.97","67.97"
"904","67.56","67.56","67.56"
"905","68.19","68.19","68.19"
"906","67.32","67.32","67.32"
"907","67.77","67.77","67.77"
"908","68.16","68.16","68.16"
"909","67.56","67.56","67.56"
"910","67.97","67.97","67.97"
"911","67.04","67.04","67.04"
"912","67.95","67.95","67.95"
"913","67.38","67.38","67.38"
"914","67.29","67.29","67.29"
"915","68.48","68.48","68.48"
"916","67.95","67.95","67.95"
"917","68.4","68.4","68.4"
"918","67.63","67.63","67.63"
"919","68.56","68.56","68.56"
"920","68.58","68.58","68.58"
"921","68.02","68.02","68.02"
"922","68.2","68.2","68.2"
"923","68.29","68.29","68.29"
"924","68.61","68.61","68.61"
"925","67.96","67.96","67.96"
"926","67.85","67.85","67.85"
"927","68.81","68.81","68.81"
"928","67.57","67.57","67.57"
"929","67.84","67.84","67.84"
"930","67.86","67.86","67.86"
"931","68.52","68.52","68.52"
"932","67.97","67.97","67.97"
"933","68.2","68.2","68.2"
"934","68.01","68.01","68.01"
"935","67.78","67.78","67.78"
"936","67.57","67.57","67.57"
"937","67.17","67.17","67.17"
"938","68.39","68.39","68.39"
"939","67.79","67.79","67.79"
"940","68.09","68.09","68.09"
"941","68.21","68.21","68.21"
"942","68.51","68.51","68.51"
"943","68.31","68.31","68.31"
"944","68.31","68.31","68.31"
"945","68.18","68.18","68.18"
"946","67.78","67.78","67.78"
"947","68.4","68.4","68.4"
"948","67.7","67.7","67.7"
"949","68.23","68.23","68.23"
"950","67.97","67.97","67.97"
"951","68.86","68.86","68.86"
"952","67.7","67.7","67.7"
"953","67.51","67.51","67.51"
"954","68.34","68.34","68.34"
"955","68.16","68.16","68.16"
"956","68.59","68.59","68.59"
"957","68.12","68.12","68.12"
"958","67.91","67.91","67.91"
"959","69.04","69.04","69.04"
"960","68.45","68.45","68.45"
"961","68.69","68.69","68.69"
"962","69.49","69.49","69.49"
"963","68.86","68.86","68.86"
"964","67.38","67.38","67.38"
"965","68.59","68.59","68.59"
"966","68.34","68.34","68.34"
"967","69.31","69.31","69.31"
"968","68.7","68.7","68.7"
"969","69.24","69.24","69.24"
"970","67.68","67.68","67.68"
"971","68.5","68.5","68.5"
"972","68.51","68.51","68.51"
"973","69.37","69.37","69.37"
"974","69.41","69.41","69.41"
"975","69.69","69.69","69.69"
"976","68.62","68.62","68.62"
"977","68.71","68.71","68.71"
"978","68.58","68.58","68.58"
"979","68.58","68.58","68.58"
"980","69.33","69.33","69.33"
"981","68.48","68.48","68.48"
"982","69.04","69.04","69.04"
"983","69.4","69.4","69.4"
"984","68.51","68.51","68.51"
"985","68.96","68.96","68.96"
"986","69.81","69.81","69.81"
"987","68.37","68.37","68.37"
"988","68.88","68.88","68.88"
"989","69.43","69.43","69.43"
"990","68.35","68.35","68.35"
"991","69.66","69.66","69.66"
"992","69.93","69.93","69.93"
"993","68.78","68.78","68.78"
"994","69.19","69.19","69.19"
"995","68.55","68.55","68.55"
"996","69.04","69.04","69.04"
"997","70.14","70.14","70.14"
"998","70.11","70.11","70.11"
"999","69.91","69.91","69.91"
"1000","69.8","69.8","69.8"
"1001","69.51","69.51","69.51"
"1002","70.17","70.17","70.17"
"1003","69.36","69.36","69.36"
"1004","69.76","69.76","69.76"
"1005","70","70","70"
"1006","70.26","70.26","70.26"
"1007","70.63","70.63","70.63"
"1008","69.15","69.15","69.15"
"1009","70.16","70.16","70.16"
"1010","70.21","70.21","70.21"
"1011","70.43","70.43","70.43"
"1012","69.7","69.7","69.7"
"1013","70.3","70.3","70.3"
"1014","71.05","71.05","71.05"
"1015","70.79","70.79","70.79"
"1016","69.77","69.77","69.77"
"1017","70.14","70.14","70.14"
"1018","71.07","71.07","71.07"
"1019","69.88","69.88","69.88"
"1020","70.57","70.57","70.57"
"1021","70.73","70.73","70.73"
"1022","70.39","70.39","70.39"
"1023","70.84","70.84","70.84"
"1024","70.88","70.88","70.88"
"1025","71.17","71.17","71.17"
"1026","70.89","70.89","70.89"
"1027","70.59","70.59","70.59"
"1028","70.32","70.32","70.32"
"1029","70.08","70.08","70.08"
"1030","70.35","70.35","70.35"
"1031","70.38","70.38","70.38"
"1032","70.87","70.87","70.87"
"1033","70.96","70.96","70.96"
"1034","70.19","70.19","70.19"
"1035","69.66","69.66","69.66"
"1036","71.16","71.16","71.16"
"1037","70.45","70.45","70.45"
"1038","70.96","70.96","70.96"
"1039","71.29","71.29","71.29"
"1040","70.4","70.4","70.4"
"1041","70.93","70.93","70.93"
"1042","70.19","70.19","70.19"
"1043","71.03","71.03","71.03"
"1044","69.55","69.55","69.55"
"1045","70.13","70.13","70.13"
"1046","70.82","70.82","70.82"
"1047","71.54","71.54","71.54"
"1048","71.74","71.74","71.74"
"1049","70.26","70.26","70.26"
"1050","71.09","71.09","71.09"
"1051","70.23","70.23","70.23"
"1052","70.32","70.32","70.32"
"1053","71.22","71.22","71.22"
"1054","70.94","70.94","70.94"
"1055","71.32","71.32","71.32"
"1056","71.24","71.24","71.24"
"1057","70.08","70.08","70.08"
"1058","70.6","70.6","70.6"
"1059","70.46","70.46","70.46"
"1060","71.11","71.11","71.11"
"1061","71.4","71.4","71.4"
"1062","71.61","71.61","71.61"
"1063","70.97","70.97","70.97"
"1064","71.12","71.12","71.12"
"1065","70.26","70.26","70.26"
"1066","70.45","70.45","70.45"
"1067","71.32","71.32","71.32"
"1068","70.94","70.94","70.94"
"1069","70.92","70.92","70.92"
"1070","71.06","71.06","71.06"
"1071","70.84","70.84","70.84"
"1072","70.67","70.67","70.67"
"1073","70.94","70.94","70.94"
"1074","71.1","71.1","71.1"
"1075","71.22","71.22","71.22"
"1076","70.82","70.82","70.82"
"1077","71.32","71.32","71.32"
"1078","71.13","71.13","71.13"
"1079","71.36","71.36","71.36"
"1080","71.13","71.13","71.13"
"1081","71.01","71.01","71.01"
"1082","70.45","70.45","70.45"
"1083","70.86","70.86","70.86"
"1084","72.18","72.18","72.18"
"1085","71.16","71.16","71.16"
"1086","70.63","70.63","70.63"
"1087","71.27","71.27","71.27"
"1088","71.09","71.09","71.09"
"1089","71.09","71.09","71.09"
"1090","70.36","70.36","70.36"
"1091","70.65","70.65","70.65"
"1092","71.23","71.23","71.23"
"1093","71.06","71.06","71.06"
"1094","72.34","72.34","72.34"
"1095","70.68","70.68","70.68"
"1096","71.25","71.25","71.25"
"1097","71.37","71.37","71.37"
"1098","71.08","71.08","71.08"
"1099","70.93","70.93","70.93"
"1100","71.59","71.59","71.59"
"1101","71.45","71.45","71.45"
"1102","72.07","72.07","72.07"
"1103","71.1","71.1","71.1"
"1104","70.84","70.84","70.84"
"1105","70.63","70.63","70.63"
"1106","71.86","71.86","71.86"
"1107","71.59","71.59","71.59"
"1108","70.99","70.99","70.99"
"1109","71.26","71.26","71.26"
"1110","70.96","70.96","70.96"
"1111","71.09","71.09","71.09"
"1112","70.78","70.78","70.78"
"1113","70.22","70.22","70.22"
"1114","71.79","71.79","71.79"
"1115","71.12","71.12","71.12"
"1116","71.31","71.31","71.31"
"1117","71.36","71.36","71.36"
"1118","71.14","71.14","71.14"
"1119","70.65","70.65","70.65"
"1120","70.86","70.86","70.86"
"1121","71.83","71.83","71.83"
"1122","71.18","71.18","71.18"
"1123","71.26","71.26","71.26"
"1124","71.18","71.18","71.18"
"1125","71.8","71.8","71.8"
"1126","71.89","71.89","71.89"
"1127","71.18","71.18","71.18"
"1128","71.28","71.28","71.28"
"1129","70.65","70.65","70.65"
"1130","71.08","71.08","71.08"
"1131","71.16","71.16","71.16"
"1132","71.24","71.24","71.24"
"1133","71.13","71.13","71.13"
"1134","70.65","70.65","70.65"
"1135","71.96","71.96","71.96"
"1136","71.25","71.25","71.25"
"1137","71.01","71.01","71.01"
"1138","71.23","71.23","71.23"
"1139","70.59","70.59","70.59"
"1140","70.8","70.8","70.8"
"1141","71.87","71.87","71.87"
"1142","70.6","70.6","70.6"
"1143","70.78","70.78","70.78"
"1144","70.4","70.4","70.4"
"1145","71.3","71.3","71.3"
"1146","71.23","71.23","71.23"
"1147","71.69","71.69","71.69"
"1148","71.75","71.75","71.75"
"1149","71.32","71.32","71.32"
"1150","71.43","71.43","71.43"
"1151","70.79","70.79","70.79"
"1152","70.69","70.69","70.69"
"1153","71.09","71.09","71.09"
"1154","70.77","70.77","70.77"
"1155","70.69","70.69","70.69"
"1156","71","71","71"
"1157","70.98","70.98","70.98"
"1158","71.53","71.53","71.53"
"1159","70.17","70.17","70.17"
"1160","71.37","71.37","71.37"
"1161","70.81","70.81","70.81"
"1162","70.95","70.95","70.95"
"1163","71.2","71.2","71.2"
"1164","71.06","71.06","71.06"
"1165","71.9","71.9","71.9"
"1166","71.9","71.9","71.9"
"1167","71.76","71.76","71.76"
"1168","70.62","70.62","70.62"
"1169","70.98","70.98","70.98"
"1170","70.93","70.93","70.93"
"1171","71.7","71.7","71.7"
"1172","71.02","71.02","71.02"
"1173","71.02","71.02","71.02"
"1174","71.1","71.1","71.1"
"1175","70.73","70.73","70.73"
"1176","70.71","70.71","70.71"
"1177","71.2","71.2","71.2"
"1178","71.63","71.63","71.63"
"1179","71.16","71.16","71.16"
"1180","71.26","71.26","71.26"
"1181","72.17","72.17","72.17"
"1182","71.36","71.36","71.36"
"1183","70.02","70.02","70.02"
"1184","71.81","71.81","71.81"
"1185","71.2","71.2","71.2"
"1186","71.83","71.83","71.83"
"1187","71.83","71.83","71.83"
"1188","70.58","70.58","70.58"
"1189","71.59","71.59","71.59"
"1190","71.73","71.73","71.73"
"1191","70.87","70.87","70.87"
"1192","71.18","71.18","71.18"
"1193","71.44","71.44","71.44"
"1194","71.22","71.22","71.22"
"1195","71.54","71.54","71.54"
"1196","71.07","71.07","71.07"
"1197","71.08","71.08","71.08"
"1198","70.99","70.99","70.99"
"1199","70.92","70.92","70.92"
"1200","71.29","71.29","71.29"
"1201","70.84","70.84","70.84"
"1202","70.34","70.34","70.34"
"1203","71.76","71.76","71.76"
"1204","71.21","71.21","71.21"
"1205","71.32","71.32","71.32"
"1206","71.85","71.85","71.85"
"1207","72.04","72.04","72.04"
"1208","70.91","70.91","70.91"
"1209","71.73","71.73","71.73"
"1210","71.58","71.58","71.58"
"1211","71.33","71.33","71.33"
"1212","71.89","71.89","71.89"
"1213","71.6","71.6","71.6"
"1214","71.48","71.48","71.48"
"1215","71.25","71.25","71.25"
"1216","71.28","71.28","71.28"
"1217","70.99","70.99","70.99"
"1218","71.06","71.06","71.06"
"1219","71.22","71.22","71.22"
"1220","71.29","71.29","71.29"
"1221","71.6","71.6","71.6"
"1222","71.88","71.88","71.88"
"1223","70.71","70.71","70.71"
"1224","70.8","70.8","70.8"
"1225","70.7","70.7","70.7"
"1226","71.52","71.52","71.52"
"1227","71.36","71.36","71.36"
"1228","70.49","70.49","70.49"
"1229","71.68","71.68","71.68"
"1230","71.33","71.33","71.33"
"1231","70.59","70.59","70.59"
"1232","71.62","71.62","71.62"
"1233","71.74","71.74","71.74"
"1234","71.86","71.86","71.86"
"1235","70.99","70.99","70.99"
"1236","70.82","70.82","70.82"
"1237","71.76","71.76","71.76"
"1238","71.75","71.75","71.75"
"1239","72.55","72.55","72.55"
"1240","71.78","71.78","71.78"
"1241","71.86","71.86","71.86"
"1242","71.06","71.06","71.06"
"1243","71.42","71.42","71.42"
"1244","71.64","71.64","71.64"
"1245","71.07","71.07","71.07"
"1246","70.62","70.62","70.62"
"1247","71.33","71.33","71.33"
"1248","70.86","70.86","70.86"
"1249","71.87","71.87","71.87"
"1250","71.87","71.87","71.87"
"1251","72.17","72.17","72.17"
"1252","70.95","70.95","70.95"
"1253","71.62","71.62","71.62"
"1254","71.13","71.13","71.13"
"1255","71.23","71.23","71.23"
"1256","71.63","71.63","71.63"
"1257","71.68","71.68","71.68"
"1258","71.3","71.3","71.3"
"1259","70.32","70.32","70.32"
"1260","71.27","71.27","71.27"
"1261","72.24","72.24","72.24"
"1262","71.9","71.9","71.9"
"1263","71.99","71.99","71.99"
"1264","71.14","71.14","71.14"
"1265","70.95","70.95","70.95"
"1266","71.27","71.27","71.27"
"1267","71.92","71.92","71.92"
"1268","71.28","71.28","71.28"
"1269","71.34","71.34","71.34"
"1270","71.17","71.17","71.17"
"1271","71.22","71.22","71.22"
"1272","71.75","71.75","71.75"
"1273","71.68","71.68","71.68"
"1274","70.61","70.61","70.61"
"1275","72.29","72.29","72.29"
"1276","70.95","70.95","70.95"
"1277","71.82","71.82","71.82"
"1278","71.59","71.59","71.59"
"1279","72.68","72.68","72.68"
"1280","71.38","71.38","71.38"
"1281","71.22","71.22","71.22"
"1282","71.17","71.17","71.17"
"1283","70.66","70.66","70.66"
"1284","71.97","71.97","71.97"
"1285","71.98","71.98","71.98"
"1286","71.68","71.68","71.68"
"1287","72.17","72.17","72.17"
"1288","71.14","71.14","71.14"
"1289","71.97","71.97","71.97"
"1290","71.61","71.61","71.61"
"1291","71.08","71.08","71.08"
"1292","71.39","71.39","71.39"
"1293","71.14","71.14","71.14"
"1294","71.5","71.5","71.5"
"1295","71.37","71.37","71.37"
"1296","72.39","72.39","72.39"
"1297","71.78","71.78","71.78"
"1298","71.68","71.68","71.68"
"1299","70.72","70.72","70.72"
"1300","71.09","71.09","71.09"
"1301","71.22","71.22","71.22"
"1302","70.67","70.67","70.67"
"1303","71.37","71.37","71.37"
"1304","71.4","71.4","71.4"
"1305","71.02","71.02","71.02"
"1306","72.15","72.15","72.15"
"1307","72.17","72.17","72.17"
"1308","70.17","70.17","70.17"
"1309","72.2","72.2","72.2"
"1310","71.38","71.38","71.38"
"1311","72.08","72.08","72.08"
"1312","71.52","71.52","71.52"
"1313","71.48","71.48","71.48"
"1314","71.91","71.91","71.91"
"1315","70.56","70.56","70.56"
"1316","71.79","71.79","71.79"
"1317","71.1","71.1","71.1"
"1318","70.63","70.63","70.63"
"1319","71.38","71.38","71.38"
"1320","71.03","71.03","71.03"
"1321","71.39","71.39","71.39"
"1322","71","71","71"
"1323","71.72","71.72","71.72"
"1324","71.17","71.17","71.17"
"1325","71.24","71.24","71.24"
"1326","71.41","71.41","71.41"
"1327","71.58","71.58","71.58"
"1328","71.35","71.35","71.35"
"1329","71.2","71.2","71.2"
"1330","71.04","71.04","71.04"
"1331","71.53","71.53","71.53"
"1332","71.97","71.97","71.97"
"1333","71.75","71.75","71.75"
"1334","70.97","70.97","70.97"
"1335","72","72","72"
"1336","70.38","70.38","70.38"
"1337","71.89","71.89","71.89"
"1338","71.71","71.71","71.71"
"1339","71.67","71.67","71.67"
"1340","71.43","71.43","71.43"
"1341","70.92","70.92","70.92"
"1342","71.77","71.77","71.77"
"1343","70.89","70.89","70.89"
"1344","70.29","70.29","70.29"
"1345","71.64","71.64","71.64"
"1346","71.97","71.97","71.97"
"1347","71.53","71.53","71.53"
"1348","71.31","71.31","71.31"
"1349","71.13","71.13","71.13"
"1350","72.19","72.19","72.19"
"1351","72.07","72.07","72.07"
"1352","71.51","71.51","71.51"
"1353","71.68","71.68","71.68"
"1354","71.16","71.16","71.16"
"1355","71.72","71.72","71.72"
"1356","71.21","71.21","71.21"
"1357","71.62","71.62","71.62"
"1358","71.95","71.95","71.95"
"1359","71.08","71.08","71.08"
"1360","71.87","71.87","71.87"
"1361","71.49","71.49","71.49"
"1362","72.37","72.37","72.37"
"1363","71.03","71.03","71.03"
"1364","72.34","72.34","72.34"
"1365","72.79","72.79","72.79"
"1366","72.69","72.69","72.69"
"1367","71.6","71.6","71.6"
"1368","71.54","71.54","71.54"
"1369","71.96","71.96","71.96"
"1370","71.33","71.33","71.33"
"1371","71.85","71.85","71.85"
"1372","72.12","72.12","72.12"
"1373","71.17","71.17","71.17"
"1374","71.36","71.36","71.36"
"1375","72.55","72.55","72.55"
"1376","71.89","71.89","71.89"
"1377","71.07","71.07","71.07"
"1378","72.26","72.26","72.26"
"1379","71.26","71.26","71.26"
"1380","72.09","72.09","72.09"
"1381","71.56","71.56","71.56"
"1382","71.55","71.55","71.55"
"1383","71.67","71.67","71.67"
"1384","71.4","71.4","71.4"
"1385","71.5","71.5","71.5"
"1386","71.26","71.26","71.26"
"1387","70.6","70.6","70.6"
"1388","71.73","71.73","71.73"
"1389","71.38","71.38","71.38"
"1390","70.65","70.65","70.65"
"1391","71.36","71.36","71.36"
"1392","72.23","72.23","72.23"
"1393","71.92","71.92","71.92"
"1394","71.11","71.11","71.11"
"1395","72.35","72.35","72.35"
"1396","71.71","71.71","71.71"
"1397","71.85","71.85","71.85"
"1398","71.5","71.5","71.5"
"1399","70.84","70.84","70.84"
"1400","71.37","71.37","71.37"
"1401","71.93","71.93","71.93"
"1402","71.26","71.26","71.26"
"1403","72.09","72.09","72.09"
"1404","71.13","71.13","71.13"
"1405","72","72","72"
"1406","71.92","71.92","71.92"
"1407","72.26","72.26","72.26"
"1408","72.14","72.14","72.14"
"1409","71.16","71.16","71.16"
"1410","71.54","71.54","71.54"
"1411","71.77","71.77","71.77"
"1412","71.76","71.76","71.76"
"1413","71.7","71.7","71.7"
"1414","71.73","71.73","71.73"
"1415","71.79","71.79","71.79"
"1416","72.46","72.46","72.46"
"1417","71.94","71.94","71.94"
"1418","72.07","72.07","72.07"
"1419","72.74","72.74","72.74"
"1420","71.09","71.09","71.09"
"1421","71.97","71.97","71.97"
"1422","71","71","71"
"1423","71.65","71.65","71.65"
"1424","71.74","71.74","71.74"
"1425","72.34","72.34","72.34"
"1426","71.04","71.04","71.04"
"1427","71.94","71.94","71.94"
"1428","71.44","71.44","71.44"
"1429","71.4","71.4","71.4"
"1430","71.36","71.36","71.36"
"1431","72.93","72.93","72.93"
"1432","72.01","72.01","72.01"
"1433","71.06","71.06","71.06"
"1434","71.95","71.95","71.95"
"1435","71.92","71.92","71.92"
"1436","71.17","71.17","71.17"
"1437","71.96","71.96","71.96"
"1438","72.36","72.36","72.36"
"1439","72.55","72.55","72.55"
"1440","71.55","71.55","71.55"
"1441","71.09","71.09","71.09"
"1442","71.49","71.49","71.49"
"1443","72.4","72.4","72.4"
"1444","71.93","71.93","71.93"
"1445","72.23","72.23","72.23"
"1446","71.2","71.2","71.2"
"1447","70.73","70.73","70.73"
"1448","72.13","72.13","72.13"
"1449","72.91","72.91","72.91"
"1450","72.32","72.32","72.32"
"1451","72.79","72.79","72.79"
"1452","70.25","70.25","70.25"
"1453","71.47","71.47","71.47"
"1454","71.45","71.45","71.45"
"1455","72.43","72.43","72.43"
"1456","71.04","71.04","71.04"
"1457","71.17","71.17","71.17"
"1458","71.79","71.79","71.79"
"1459","71.4","71.4","71.4"
"1460","71.77","71.77","71.77"
"1461","71.37","71.37","71.37"
"1462","71.5","71.5","71.5"
"1463","71.81","71.81","71.81"
"1464","71.25","71.25","71.25"
"1465","72.36","72.36","72.36"
"1466","71.79","71.79","71.79"
"1467","72.05","72.05","72.05"
"1468","71.63","71.63","71.63"
"1469","72.35","72.35","72.35"
"1470","72.02","72.02","72.02"
"1471","72.01","72.01","72.01"
"1472","71.82","71.82","71.82"
"1473","72.71","72.71","72.71"
"1474","72.06","72.06","72.06"
"1475","71.88","71.88","71.88"
"1476","72.25","72.25","72.25"
"1477","71.9","71.9","71.9"
"1478","72.49","72.49","72.49"
"1479","71.91","71.91","71.91"
"1480","72.97","72.97","72.97"
"1481","71.87","71.87","71.87"
"1482","71.29","71.29","71.29"
"1483","71.55","71.55","71.55"
"1484","72.04","72.04","72.04"
"1485","72.3","72.3","72.3"
"1486","72.33","72.33","72.33"
"1487","72.8","72.8","72.8"
"1488","72.46","72.46","72.46"
"1489","71.81","71.81","71.81"
"1490","71.23","71.23","71.23"
"1491","71.96","71.96","71.96"
"1492","72.06","72.06","72.06"
"1493","71.55","71.55","71.55"
"1494","71.59","71.59","71.59"
"1495","72.03","72.03","72.03"
"1496","72.45","72.45","72.45"
"1497","72.08","72.08","72.08"
"1498","72.43","72.43","72.43"
"1499","72.15","72.15","72.15"
"1500","72.53","72.53","72.53"
"1501","72.46","72.46","72.46"
"1502","72.56","72.56","72.56"
"1503","72.12","72.12","72.12"
"1504","72.53","72.53","72.53"
"1505","72.32","72.32","72.32"
"1506","72.78","72.78","72.78"
"1507","72.22","72.22","72.22"
"1508","71.78","71.78","71.78"
"1509","72.41","72.41","72.41"
"1510","73.33","73.33","73.33"
"1511","72.8","72.8","72.8"
"1512","73.15","73.15","73.15"
"1513","71.69","71.69","71.69"
"1514","72.27","72.27","72.27"
"1515","73.09","73.09","73.09"
"1516","71.75","71.75","71.75"
"1517","72.31","72.31","72.31"
"1518","72.48","72.48","72.48"
"1519","72.11","72.11","72.11"
"1520","72.15","72.15","72.15"
"1521","71.55","71.55","71.55"
"1522","71.83","71.83","71.83"
"1523","72.55","72.55","72.55"
"1524","72.09","72.09","72.09"
"1525","72.05","72.05","72.05"
"1526","72.05","72.05","72.05"
"1527","71.78","71.78","71.78"
"1528","72.04","72.04","72.04"
"1529","73.12","73.12","73.12"
"1530","72.43","72.43","72.43"
"1531","72.38","72.38","72.38"
"1532","72.34","72.34","72.34"
"1533","72.57","72.57","72.57"
"1534","73","73","73"
"1535","72","72","72"
"1536","72.39","72.39","72.39"
"1537","72.03","72.03","72.03"
"1538","73.01","73.01","73.01"
"1539","72.4","72.4","72.4"
"1540","72.51","72.51","72.51"
"1541","72.96","72.96","72.96"
"1542","72.26","72.26","72.26"
"1543","73.34","73.34","73.34"
"1544","71.58","71.58","71.58"
"1545","72.1","72.1","72.1"
"1546","71.77","71.77","71.77"
"1547","71.96","71.96","71.96"
"1548","72.53","72.53","72.53"
"1549","72.48","72.48","72.48"
"1550","72.49","72.49","72.49"
"1551","72.9","72.9","72.9"
"1552","73.08","73.08","73.08"
"1553","73.49","73.49","73.49"
"1554","73.43","73.43","73.43"
"1555","73.11","73.11","73.11"
"1556","72.88","72.88","72.88"
"1557","72.82","72.82","72.82"
"1558","73.23","73.23","73.23"
"1559","72.24","72.24","72.24"
"1560","72.89","72.89","72.89"
"1561","72.64","72.64","72.64"
"1562","72.31","72.31","72.31"
"1563","73.43","73.43","73.43"
"1564","73.46","73.46","73.46"
"1565","72.51","72.51","72.51"
"1566","71.92","71.92","71.92"
"1567","72.95","72.95","72.95"
"1568","73.17","73.17","73.17"
"1569","73.31","73.31","73.31"
"1570","73.21","73.21","73.21"
"1571","73.86","73.86","73.86"
"1572","72.82","72.82","72.82"
"1573","73.36","73.36","73.36"
"1574","73.06","73.06","73.06"
"1575","72.78","72.78","72.78"
"1576","73.81","73.81","73.81"
"1577","73.65","73.65","73.65"
"1578","73.12","73.12","73.12"
"1579","73.54","73.54","73.54"
"1580","73","73","73"
"1581","73.5","73.5","73.5"
"1582","73.78","73.78","73.78"
"1583","72.53","72.53","72.53"
"1584","73.41","73.41","73.41"
"1585","72.91","72.91","72.91"
"1586","73.47","73.47","73.47"
"1587","73.2","73.2","73.2"
"1588","73.67","73.67","73.67"
"1589","73.46","73.46","73.46"
"1590","73.88","73.88","73.88"
"1591","73.49","73.49","73.49"
"1592","74.1","74.1","74.1"
"1593","73.47","73.47","73.47"
"1594","73.24","73.24","73.24"
"1595","73.55","73.55","73.55"
"1596","74.32","74.32","74.32"
"1597","74.23","74.23","74.23"
"1598","74.04","74.04","74.04"
"1599","73.76","73.76","73.76"
"1600","73.39","73.39","73.39"
"1601","73.66","73.66","73.66"
"1602","73.94","73.94","73.94"
"1603","74.3","74.3","74.3"
"1604","74.09","74.09","74.09"
"1605","73.48","73.48","73.48"
"1606","73.85","73.85","73.85"
"1607","74.63","74.63","74.63"
"1608","74.69","74.69","74.69"
"1609","74.42","74.42","74.42"
"1610","73.94","73.94","73.94"
"1611","74.98","74.98","74.98"
"1612","74.34","74.34","74.34"
"1613","74.12","74.12","74.12"
"1614","75.13","75.13","75.13"
"1615","74.25","74.25","74.25"
"1616","75.15","75.15","75.15"
"1617","75.14","75.14","75.14"
"1618","75.46","75.46","75.46"
"1619","74.7","74.7","74.7"
"1620","74.62","74.62","74.62"
"1621","74.27","74.27","74.27"
"1622","75.16","75.16","75.16"
"1623","75.24","75.24","75.24"
"1624","74.98","74.98","74.98"
"1625","74.63","74.63","74.63"
"1626","75.2","75.2","75.2"
"1627","75.08","75.08","75.08"
"1628","75.7","75.7","75.7"
"1629","75.9","75.9","75.9"
"1630","75.16","75.16","75.16"
"1631","74.65","74.65","74.65"
"1632","75.54","75.54","75.54"
"1633","75.41","75.41","75.41"
"1634","75.53","75.53","75.53"
"1635","75.31","75.31","75.31"
"1636","75.54","75.54","75.54"
"1637","75.56","75.56","75.56"
"1638","75.69","75.69","75.69"
"1639","75.31","75.31","75.31"
"1640","75.31","75.31","75.31"
"1641","75.81","75.81","75.81"
"1642","75.37","75.37","75.37"
"1643","76.22","76.22","76.22"
"1644","76.34","76.34","76.34"
"1645","76.12","76.12","76.12"
"1646","75.61","75.61","75.61"
"1647","75.57","75.57","75.57"
"1648","76.47","76.47","76.47"
"1649","75.9","75.9","75.9"
"1650","76.07","76.07","76.07"
"1651","76.46","76.46","76.46"
"1652","75.75","75.75","75.75"
"1653","75.44","75.44","75.44"
"1654","76.45","76.45","76.45"
"1655","76.59","76.59","76.59"
"1656","76.77","76.77","76.77"
"1657","75.98","75.98","75.98"
"1658","75.59","75.59","75.59"
"1659","76.24","76.24","76.24"
"1660","75.89","75.89","75.89"
"1661","76.42","76.42","76.42"
"1662","75.67","75.67","75.67"
"1663","75.84","75.84","75.84"
"1664","76.02","76.02","76.02"
"1665","76.66","76.66","76.66"
"1666","76.22","76.22","76.22"
"1667","76.22","76.22","76.22"
"1668","76.82","76.82","76.82"
"1669","76.44","76.44","76.44"
"1670","76.47","76.47","76.47"
"1671","76.24","76.24","76.24"
"1672","76.99","76.99","76.99"
"1673","77.23","77.23","77.23"
"1674","76.54","76.54","76.54"
"1675","77.51","77.51","77.51"
"1676","76.46","76.46","76.46"
"1677","76.57","76.57","76.57"
"1678","76.87","76.87","76.87"
"1679","76.25","76.25","76.25"
"1680","76.02","76.02","76.02"
"1681","77.15","77.15","77.15"
"1682","76.6","76.6","76.6"
"1683","76.29","76.29","76.29"
"1684","76.63","76.63","76.63"
